x,y,gesture
7.6500425,4.7816343,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_6.77
9.918681,8.807411,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_2_Gesture_7.80_10.33
8.758283,6.867681,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_3_Gesture_14.07_17.40
7.6634736,4.7036424,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_4_Gesture_0.80_6.63
9.935769,8.880184,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_5_Gesture_7.80_10.33
8.743904,6.829487,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_6_Gesture_14.00_17.40
2.2105536,7.9841943,103_203_12_1_20250113_152455_doughnut_board_guesser_cam02.mp4_segment_1_Gesture_3.07_3.67
0.80119175,8.585629,103_203_12_1_20250113_152455_doughnut_board_guesser_cam02.mp4_segment_2_Gesture_16.47_17.40
2.2273571,3.9547217,103_203_12_1_20250113_152455_doughnut_board_guesser_cam02.mp4_segment_3_Gesture_2.80_3.00
8.173631,4.9805474,103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_1_Gesture_8.40_9.90
8.388608,6.103778,103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_2_Gesture_11.00_17.50
8.523012,5.896664,103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_3_Gesture_7.87_17.50
1.5348012,8.640815,103_203_13_1_20250113_152513_spinach_board_guesser_cam02.mp4_segment_1_Gesture_16.20_17.50
1.2482443,8.67218,103_203_13_1_20250113_152513_spinach_board_guesser_cam02.mp4_segment_2_Gesture_16.90_17.00
6.9512854,3.7903872,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_2.00
8.939297,7.604487,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_2_Gesture_2.53_6.77
9.428818,7.1567044,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_3_Gesture_7.63_22.03
7.866344,5.3406825,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_4_Gesture_0.80_6.20
9.663459,9.636451,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_5_Gesture_7.73_7.97
9.373508,7.0948067,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_6_Gesture_8.63_22.03
8.463653,5.932771,103_203_15_1_20250113_152557_bacon_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_19.37
8.583785,3.7397993,103_203_15_1_20250113_152557_bacon_board_clueGiver_cam02.mp4_segment_2_Gesture_20.00_20.47
