gesture_id,video_id,active_hand,space_use,mcneillian_max,mcneillian_mode,volume,max_height,duration,hold_count,hold_time,hold_avg_duration,hand_submovements,hand_submovement_peak_max,hand_submovement_peak_mean,hand_mean_submovement_amplitude,elbow_submovements,elbow_mean_submovement_amplitude,hand_peak_speed,hand_mean_speed,hand_peak_acceleration,hand_peak_deceleration,hand_peak_jerk,elbow_peak_speed,elbow_mean_speed,elbow_peak_acceleration,elbow_peak_deceleration,elbow_peak_jerk
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_6.77,103,L,3,4,4,0.013629706605991533,2.506190554164193,5.96,10,4.28,10.7,11,0.5602005503493737,0.1634868567325737,0.1634868567325737,8,0.09560396485547264,0.5679061014967248,0.10301893897773107,2.7153244767067277,0.022723443378044227,35.71929161339688,0.23383474248483285,0.050118921856077886,1.2772241237823647,0.010123743172646258,16.606960723916888
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_2_Gesture_7.80_10.33,103,R,1,4,4,6.067293407590926e-05,2.890777191608791,2.52,2,2.04,25.5,5,0.14289464230665982,0.08042212377334663,0.08042212377334663,4,0.07857857774456728,0.1495998917692802,0.05355125648875289,1.0771394809502428,0.007437671466923083,15.200104337224422,0.10722244294459922,0.041923452350274594,1.1005388299473746,0.03003713803141047,14.532096932433173
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_3_Gesture_14.07_17.40,103,L,1,4,4,0.006102225286264201,2.374152937388322,3.32,5,1.32,6.6,8,0.517731981424746,0.24018418572773684,0.24018418572773684,7,0.13868391986141757,0.529351042120039,0.1671344601470152,2.4284315291258745,0.05291277297752304,29.43826725071494,0.2256428286739642,0.08962299924600663,1.37358275821608,0.023820095988509777,21.46435454491034
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_4_Gesture_0.80_6.63,103,L,2,4,4,0.00804348344953685,2.396253431904762,5.8,8,4.16,13.0,10,0.5428336822800421,0.1655046133579765,0.1655046133579765,8,0.09555123518887625,0.5455442464847847,0.0939865032704019,2.1776232501274944,0.022723443378044227,34.037087565452794,0.23813665081932636,0.04971166838033544,1.229725363666603,0.010123743172646258,14.818234736072792
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_5_Gesture_7.80_10.33,103,R,1,4,4,6.067293407590926e-05,2.890777191608791,2.52,2,2.04,25.5,5,0.14289464230665982,0.08042212377334663,0.08042212377334663,4,0.07857857774456728,0.1495998917692802,0.05355125648875289,1.0771394809502428,0.007437671466923083,15.200104337224422,0.10722244294459922,0.041923452350274594,1.1005388299473746,0.03003713803141047,14.532096932433173
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_6_Gesture_14.00_17.40,103,L,1,4,4,0.006671875767186579,2.38060592128388,3.36,5,1.32,6.6,7,0.5041681830269746,0.2385166795548833,0.2385166795548833,6,0.14332414461683568,0.5178894681757815,0.17167899227786731,2.9053052862538027,0.01310189213211542,24.198539857335266,0.21127273830849902,0.08575411275308456,1.355010907394102,0.03644535873762432,14.745489122396952
103_203_12_1_20250113_152455_doughnut_board_guesser_cam02.mp4_segment_1_Gesture_3.07_3.67,103,L,2,4,2,3.9518466489717206e-05,2.230518961576828,0.56,1,0.32,8.0,2,0.26480837676511887,0.1393000721357795,0.1393000721357795,2,0.1250000005723479,0.27938975329133914,0.10273290259337106,1.9356733291571375,0.040695993174105556,32.89626597431747,0.2486783557965395,0.0913838083028592,1.6770128682750005,0.021771679004581355,29.06872298795165
103_203_12_1_20250113_152455_doughnut_board_guesser_cam02.mp4_segment_2_Gesture_16.47_17.40,103,L,1,4,4,2.744272789978285e-05,2.8493405955137687,0.92,1,0.36,9.0,2,0.10103220588787323,0.09764865311284943,0.09764865311284943,1,0.05643690106230141,0.10608368408871056,0.0691117599743425,0.9597759046442846,0.1392763345263084,13.31268302343405,0.05765093286824671,0.029202428138018984,0.31226050409729117,0.021602177080412066,4.5525091399628215
103_203_12_1_20250113_152455_doughnut_board_guesser_cam02.mp4_segment_3_Gesture_2.80_3.00,103,L,1,4,4,2.926001287376884e-06,0.0,0.2,0,0.0,0.0,1,0.14841555715450347,0.14841555715450347,0.14841555715450347,1,0.040791357595186484,0.14841555715450344,0.11445847943805958,0.8404024686696259,0.21516765610303806,17.68609440216273,0.04079135759518648,0.031453184850076456,0.2195079648031245,0.0423703209356381,4.866841719163825
103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_1_Gesture_8.40_9.90,103,L,1,4,4,0.0007673992459138839,0.0,1.48,2,0.76,9.5,3,0.37886681751934576,0.18727604409593998,0.18727604409593998,2,0.08579429578842106,0.40186703830150594,0.1250955247636775,2.791164829648982,0.0854015769258453,35.34745959460472,0.0997850592253157,0.045735017827973026,0.6260680430335372,0.02698712892491363,11.558296228516996
103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_2_Gesture_11.00_17.50,103,L,2,4,4,0.008312891844581737,2.439845310099319,6.48,9,1.8,5.0,12,1.164062852725705,0.4419462209048391,0.4419462209048391,12,0.16104165397564532,1.2710430652809361,0.24207854646870527,8.827552391514141,0.08273082383394245,128.0555246849062,0.3307852714669664,0.0958874770091742,3.0967920114328273,0.05078613464527919,44.71226306825161
103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_3_Gesture_7.87_17.50,103,L,2,4,4,0.008441478613754157,2.4384600347256753,9.6,15,3.48,5.8,18,1.1161554363373012,0.3386352062736408,0.3386352062736408,16,0.1341933924453642,1.2021250442063647,0.19652817206912143,8.130635896903435,0.08840755888988658,114.06470533112355,0.32443008781011323,0.07823426605095207,2.70109095589682,0.032193521238983364,38.501901732095
103_203_13_1_20250113_152513_spinach_board_guesser_cam02.mp4_segment_1_Gesture_16.20_17.50,103,L,2,4,4,0.006039013388263485,2.8002997819793674,1.28,1,0.16,4.0,1,0.9440290880446083,0.9440290880446083,0.9440290880446083,1,0.25931071524712346,0.9761091397164978,0.2560049907883332,4.368667500545171,0.022511429518246345,57.24086526676081,0.2658494128756127,0.08163007928244814,1.2954346283034683,0.0069482080088341565,14.434233207706187
103_203_13_1_20250113_152513_spinach_board_guesser_cam02.mp4_segment_2_Gesture_16.90_17.00,103,L,1,2,2,1.4409524028875618e-06,2.59156188593021,0.08,0,0.0,0.0,1,0.004113319520762227,0.004113319520762227,0.004113319520762227,1,0.00029305506490892857,0.004113319520762227,0.004113319520762227,0.0,0.0,0.0,0.00029305506490892857,0.00029305506490892857,0.0,0.0,0.0
103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_2.00,103,L,1,4,4,5.1195809647806156e-05,0.0,1.2,2,0.68,8.5,1,0.18342980060682623,0.18342980060682623,0.18342980060682623,2,0.12434705110527847,0.19909545441147178,0.0752734253050827,1.5374218354446907,0.09089377770190228,20.702847393978143,0.1676644728576486,0.06778184836564441,0.949841345079948,0.04199819971700922,12.403917543610223
103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_2_Gesture_2.53_6.77,103,L,4,4,4,0.02609014108575347,2.6551098704177414,4.2,3,0.44,3.6666666666666665,9,1.0122861485143746,0.45542977276100177,0.45542977276100177,10,0.13703843613832428,1.0716498258026705,0.31189406242780127,7.652730696098045,0.07236910045813474,84.36618978257458,0.24197928861148055,0.09097942618676334,2.3593945326393833,0.07138310182820691,28.68953329181852
