end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.08062593,0.98834115,0.00020014949,0.18208617,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.2739508e-06,4.9122295e-06,172.26735,523.97986,3294.613,5914.512,0.0011436235,2079.37,6.7953286,7705137.5,1.9565264,8.632561,-5.6133345e-06,1.4718057,6.110671e-06,3.0616786,9.103805,4.8946457,13.764127,8.720125,-4.3192487,5.600485,-9.043352,-0.7484882,-3.7801056,0.5879014,-7.458283,-2.746565,2.2192452,103_203_13_1_20250113_152513_spinach_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.07928469,0.98834115,0.0002069128,0.15714286,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5086977e-06,4.0800737e-06,172.26735,523.97986,3380.7468,6007.824,0.0024217814,2110.6907,6.7596316,8245879.5,1.9630146,8.38087,-5.5584096e-06,1.4961133,6.4440214e-06,3.193516,11.154384,4.5551343,9.147769,7.4224772,-2.7521994,3.5393708,-13.230212,-3.9395084,-4.784517,3.9257824,-4.2085958,-0.32684752,1.2389159,103_203_13_1_20250113_152513_spinach_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.070027694,0.98834115,0.00019471836,0.12131519,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.9691854e-06,2.5853117e-06,143.55612,488.09082,3036.212,5964.7573,0.0034002152,2006.1332,6.5098805,8461138.0,2.2741406,10.67283,-4.474448e-06,1.4227571,5.4393167e-06,3.9783878,13.273712,3.7487786,5.6151032,8.658123,2.4681435,4.4293203,-14.666606,-4.174735,-6.4707565,6.9788456,-2.2795985,-0.23079078,2.356609,103_203_13_1_20250113_152513_spinach_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.05890079,0.98834115,0.00015585379,0.11700681,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.464034e-06,1.8386166e-06,129.20052,272.75662,1292.0051,4529.196,0.0027613118,1343.2452,6.027077,6448694.0,3.466472,19.343363,-3.2219853e-06,0.9750297,3.433913e-06,7.4751816,10.429814,5.0815034,2.380173,8.745463,4.1819253,3.1284475,-17.211027,-5.7764125,-11.46482,1.8218961,-2.6964705,-2.186504,1.6635386,103_203_13_1_20250113_152513_spinach_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.04748672,1.004892,0.00012809843,0.101814054,0.12632692,0.26907942,0.4293773,0.5806245,0.69159585,0.77004653,0.87399644,0.9239297,1.0170354,1.0595819,1.1392668,1.1577011,1.2128792,1.2962521,1.3561426,1.4264832,1.4413404,1.4469234,1.4931222,1.4589094,1.3962992,1.2565781,1.0703877,0.9036517,0.7362232,0.59343404,1.7663637e-06,9.69317e-07,71.77806,244.04541,710.6028,3323.3242,0.0020384013,1074.4362,5.5381923,5810854.5,4.392842,27.56687,-1.9272472e-06,0.7918295,1.815919e-06,9.594997,7.971041,5.6101403,3.4483669,7.357851,3.40745,2.882286,-10.588466,-6.547769,-13.917943,-0.0019996662,-3.2585812,-3.7823207,3.5716693,103_203_13_1_20250113_152513_spinach_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.04702991,1.0189302,0.00012238673,0.102040805,0.12604785,0.26601163,0.42838785,0.5835456,0.6922366,0.7740231,0.88582397,0.93713886,1.0413004,1.0789466,1.165438,1.1485084,1.1990398,1.2876408,1.3748382,1.4541107,1.4438695,1.4890412,1.560279,1.4986664,1.4440365,1.2881572,1.0811145,0.91310805,0.74015045,0.59072214,1.5720292e-06,1.2400333e-06,86.133675,366.0681,1435.5612,2878.3,0.0015912462,1207.3065,5.6680007,5707904.5,4.471783,29.085932,-1.6300928e-06,0.84986323,1.4148391e-06,9.365719,3.4063895,9.657424,-2.2808926,4.122114,-0.27995327,-3.6305275,-0.85349625,-10.357464,-16.684916,1.1630197,0.66156834,-3.3203967,2.7635777,103_203_13_1_20250113_152513_spinach_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.046632577,1.0127763,0.00012615921,0.09206349,0.12836498,0.2758439,0.44360113,0.58017534,0.7072139,0.7871943,0.88559765,0.9392493,1.0432024,1.0887617,1.175058,1.145904,1.180157,1.2529508,1.3501431,1.4681306,1.432437,1.4641069,1.5208515,1.4468933,1.4061536,1.278159,1.0876436,0.91984224,0.7384426,0.5861044,2.2111308e-06,1.1984795e-06,100.48929,380.4237,1435.5612,2311.2537,0.0017641475,1108.3151,5.570131,4988698.5,5.2655544,39.88316,-1.7777852e-06,0.7922197,1.7218148e-06,11.656425,3.3473442,10.424599,-3.1802733,-1.2490655,-3.9932902,-4.903673,2.6144176,-10.601827,-11.997386,5.1605506,-1.6321329,-5.4481854,3.428956,103_203_13_1_20250113_152513_spinach_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.043904405,0.9833366,0.00012212792,0.098185934,0.12810142,0.27587673,0.43946484,0.5568297,0.6793,0.76655245,0.8509149,0.9304218,1.0222459,1.076661,1.1310257,1.1321149,1.1552777,1.2038678,1.2995428,1.4061388,1.3828214,1.4220586,1.445859,1.3700601,1.354911,1.2323807,1.0847069,0.90920216,0.7277114,0.58270335,2.2066606e-06,1.051434e-06,136.37831,366.0681,1356.6053,1966.7189,0.0016638348,1051.1565,5.467934,4991413.5,5.545152,42.509846,-1.713922e-06,0.7588145,1.6779978e-06,13.151589,5.687321,9.543071,-5.469006,-4.1474004,-4.2015877,-6.2911377,1.2334551,-11.583041,-10.996385,7.633417,1.1033384,-6.9913354,0.2348717,103_203_13_1_20250113_152513_spinach_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03971697,0.9832397,0.00012368617,0.088208616,0.1296487,0.2739873,0.4322696,0.562862,0.6689234,0.7529631,0.85143024,0.92046404,1.0087429,1.0587581,1.125008,1.1414161,1.1872625,1.2230167,1.3010266,1.3835095,1.42065,1.425146,1.4416357,1.3933825,1.3578984,1.2184106,1.0797048,0.90246993,0.7194291,0.58421654,3.136451e-06,4.5363035e-07,107.66709,229.6898,387.60153,868.5146,0.0018637081,654.1577,4.99033,4013709.8,6.794268,56.326096,-2.1468816e-06,0.53019184,1.8126269e-06,16.981878,11.184466,7.625362,-0.48216283,-7.1208053,-4.115006,-3.733286,-4.691945,-6.931492,-4.5424705,8.6008415,0.16430672,-6.1064205,-0.644383,103_203_13_1_20250113_152513_spinach_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.040924087,1.0039577,0.00014081679,0.08208617,0.1278174,0.26903123,0.425033,0.5660195,0.65499896,0.7447265,0.86245817,0.93502146,1.0113543,1.0631202,1.1474942,1.1788446,1.2378162,1.2863415,1.346681,1.4137816,1.4497093,1.4736623,1.5069498,1.456863,1.4086212,1.2506701,1.0717527,0.8998289,0.72547644,0.5888288,3.1746542e-06,5.4411316e-07,114.84491,229.6898,358.8903,1040.7819,0.0018020846,711.9317,5.047257,4507433.5,6.222941,47.551437,-2.2322943e-06,0.56978816,2.209633e-06,16.354033,10.669108,7.19416,0.74090815,-3.6920764,-2.208975,-5.1401057,-6.4662743,-8.96645,-6.2463365,4.013369,2.4404469,-3.6923292,-2.4395387,103_203_13_1_20250113_152513_spinach_board.wav
