end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.08851092,0.98834115,0.00033945582,0.22154196,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.4132025e-06,1.8345172e-05,1399.6722,2131.8083,2741.9219,4543.5513,0.0050233654,2621.3328,6.2612433,6994681.5,3.228954,19.323133,-1.2586571e-05,1.8462368,2.5627012e-05,2.2288606,10.803741,0.99725515,9.614275,9.947147,4.8022056,-2.2570772,-12.084117,-5.7663093,-2.0136542,6.97621,6.1409087,-3.5809376,-4.350475,103_203_26_1_20250113_153140_siren_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.10748992,0.98834115,0.00037370095,0.21360545,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.6786918e-06,2.0932093e-05,1593.473,3416.6357,4486.129,6373.892,0.009078789,3573.864,7.145973,8528282.0,2.098874,12.0945215,-1.4172404e-05,2.4678938,2.8139353e-05,-3.1943028,9.335868,4.047953,9.148986,8.672428,0.75859994,0.9028042,-8.47458,-3.827835,-1.3085591,1.9569062,-1.2453709,-6.258063,-5.485522,103_203_26_1_20250113_153140_siren_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.11511103,0.98834115,0.0003749363,0.19387756,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.5232519e-06,2.1378117e-05,1615.0065,3761.1707,6029.357,7830.9863,0.010358916,4136.016,7.7894826,9660484.0,1.0798875,5.2150283,-1.438172e-05,2.831009,2.8461463e-05,-7.315544,9.026245,6.372952,9.044036,5.6014447,-0.6548111,3.771026,-7.573626,-2.750576,-0.020213326,-0.95161986,-8.152827,-7.0251746,-4.4306126,103_203_26_1_20250113_153140_siren_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.07418403,0.98834115,0.00018419384,0.15034014,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.7146285e-06,4.2677516e-06,308.64566,1844.6962,4069.8164,6682.5376,0.0060221,2684.0774,7.086247,8815308.0,1.7750139,8.677734,-3.8079825e-06,1.8493824,5.000689e-06,-0.22328949,9.403598,4.2861705,3.3277614,4.846894,3.8931472,6.1272697,-11.08977,0.72131175,-2.10977,-2.0840423,-6.2714477,-6.5073314,-6.778273,103_203_26_1_20250113_153140_siren_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.053663045,0.9830372,0.00013375854,0.12426304,0.13032883,0.2775276,0.43255627,0.5472997,0.67253065,0.75200444,0.8442104,0.90981084,0.9536605,1.038538,1.0940102,1.1636225,1.2405242,1.2495804,1.3268778,1.3706778,1.4083805,1.4408435,1.4378942,1.4068693,1.3473927,1.2475313,1.076911,0.88139135,0.72065717,0.58733225,1.253784e-06,1.5400409e-06,93.311485,581.4023,2304.0757,4644.0405,0.0024666637,1692.958,6.16841,7027336.5,3.145874,18.772768,-2.051824e-06,1.2004594,2.0525135e-06,4.9818783,10.740676,1.6495676,2.6134377,3.6711376,9.754231,6.5115294,-13.078326,-5.1114388,-7.0018654,-2.0344803,-5.3547063,-5.590342,-6.202684,103_203_26_1_20250113_153140_siren_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.043985784,0.9812774,0.0001160374,0.10725623,0.13132094,0.27699527,0.42943016,0.54931563,0.68365526,0.7623701,0.826716,0.9068339,0.92209315,1.0225013,1.100185,1.184791,1.2527035,1.2512122,1.3349847,1.3793141,1.4163815,1.4151745,1.4282554,1.386962,1.3308278,1.2592453,1.0939199,0.8731003,0.71036834,0.58455396,1.3761916e-06,9.2242584e-07,43.066837,287.11227,818.26996,2928.545,0.0016623723,1102.3817,5.500031,5924769.5,4.5456514,29.263931,-1.5593627e-06,0.8232539,1.3603968e-06,10.603921,8.471332,-2.5290177,0.8335301,2.2635946,7.4886017,6.650467,-8.822993,-8.507618,-10.683841,-1.7217942,-2.2216055,-5.054833,-5.405121,103_203_26_1_20250113_153140_siren_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.038594604,0.981247,0.00011436164,0.10045352,0.13254581,0.28095,0.4252976,0.54467034,0.68563986,0.766834,0.8114701,0.90669876,0.9055125,1.0230423,1.1168526,1.1743813,1.2408781,1.237477,1.3182858,1.3827301,1.4370742,1.4402071,1.4393477,1.399834,1.3369422,1.2595704,1.0964514,0.8718136,0.7046208,0.57329625,1.2711394e-06,6.7134306e-07,28.711226,222.51201,495.26865,1406.85,0.0014084838,814.0058,5.051508,5209557.5,5.67469,40.227818,-1.464956e-06,0.62948364,1.1571523e-06,14.140534,7.471424,-1.1919136,3.2374668,4.8243146,6.52144,3.853611,-8.034602,-11.347461,-10.679368,-0.1264879,-0.41394305,-5.3513722,-2.316737,103_203_26_1_20250113_153140_siren_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.03724071,0.97845894,0.00011700825,0.10045352,0.13056669,0.2823826,0.42431703,0.54720217,0.67643434,0.7638565,0.8134985,0.9026866,0.9197491,1.0237155,1.1037786,1.1741601,1.2012447,1.2211304,1.3076365,1.3816061,1.4400954,1.4404359,1.4273214,1.403924,1.3363942,1.2417587,1.0939032,0.88932914,0.71378595,0.5790221,1.613637e-06,6.2585417e-07,50.244644,229.6898,445.02402,1198.6937,0.0013342653,721.09424,4.9172325,4783834.5,6.4535747,50.001156,-1.5477814e-06,0.56980354,1.1822456e-06,17.159676,5.658857,-1.470709,4.4077563,6.047243,1.3982143,1.1615102,-7.890989,-10.813481,-9.093302,0.23429935,-2.3579016,-4.4591484,-0.581124,103_203_26_1_20250113_153140_siren_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.035469662,0.97270197,0.00011686794,0.10340136,0.12947953,0.27346066,0.4173304,0.5439141,0.6714566,0.7668929,0.83863324,0.9160883,0.93926114,1.0284272,1.0873632,1.1394436,1.1853871,1.2063166,1.2951862,1.3592663,1.4165277,1.4490099,1.4239511,1.3827685,1.3418694,1.2233428,1.0677627,0.8878657,0.7201875,0.57905924,1.4672106e-06,5.482322e-07,57.42245,208.15637,394.77933,1055.1375,0.0013673011,683.80865,4.9558034,4723231.5,6.593922,51.3995,-1.4696969e-06,0.54291356,1.00874e-06,18.277348,6.0548096,-0.34079304,3.204313,6.70248,3.3030899,-1.0342283,-8.121261,-8.8516655,-4.741778,3.0794735,-3.6026218,-3.6283066,1.1249858,103_203_26_1_20250113_153140_siren_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03425956,0.96820503,0.00011434819,0.09342403,0.12720896,0.27190784,0.41669664,0.54648393,0.6701563,0.7538268,0.84341407,0.9202208,0.945792,1.0268766,1.060824,1.1266404,1.1875917,1.2251253,1.2926561,1.3420056,1.3949727,1.4326805,1.4230794,1.3660135,1.3318071,1.2207268,1.0623584,0.8786967,0.7202945,0.5852754,1.5790729e-06,4.4815263e-07,57.42245,236.8676,445.02402,1033.604,0.001290744,727.2164,5.000681,5284410.5,6.3784003,47.969055,-1.3415091e-06,0.5787626,9.28843e-07,18.959867,6.726387,-2.793071,0.7301733,2.8550217,0.0570935,-1.4627177,-6.518294,-9.121931,-5.4186325,1.6347023,-3.3212569,-4.025061,2.2700243,103_203_26_1_20250113_153140_siren_ground.wav
