end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.092734925,0.98834115,0.00025565806,0.20408164,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.1741326e-06,8.292249e-06,1012.07074,2024.1415,3237.1904,5110.598,0.0026515222,2502.2756,6.4997425,6722560.0,2.4050863,13.2215185,-8.764412e-06,1.7553073,1.4143224e-05,2.923404,7.5091376,4.3007145,12.933576,5.918755,-1.2999929,7.4559035,3.823407,1.1393012,-8.327974,4.412704,-1.5149881,-4.4742513,0.42118564,103_203_27_1_20250113_153217_jungle_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.09332753,0.98834115,0.0002548222,0.18253969,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.2848366e-06,8.33986e-06,1069.4932,2304.076,3861.6594,6223.1577,0.005230633,2869.2715,6.9378333,7995668.0,1.9696685,10.055691,-8.050092e-06,2.0062065,1.3059598e-05,0.9262824,6.9921756,2.3741632,8.6465435,4.8146796,-0.19353874,2.8053932,-5.060269,-4.5462875,-7.3351364,4.286472,3.156908,-6.0071487,-0.7758804,103_203_27_1_20250113_153217_jungle_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.092405826,0.98834115,0.00025700577,0.14376418,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.948912e-06,7.687749e-06,1126.9156,2361.4983,3538.6582,5505.377,0.0064979456,2742.6213,6.801045,7281814.5,2.7817295,19.977364,-8.521998e-06,1.9438877,1.3108078e-05,3.189429,8.113299,-0.7658558,3.4547024,-1.2014996,0.76253825,1.2967352,-9.618314,-4.9856973,-8.087354,4.666345,3.580405,-8.893558,-3.517167,103_203_27_1_20250113_153217_jungle_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.067212544,0.98834115,0.00020180295,0.088208616,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.467715e-06,2.8496795e-06,258.40103,559.86884,1442.7391,3093.6345,0.005202821,1227.6438,5.7669983,4398244.0,5.19045,45.741558,-5.2023356e-06,0.93597037,5.803309e-06,11.493439,7.9252377,-1.3134065,1.4463224,-0.68830854,-1.4709549,-3.1844904,-11.077053,-5.9221454,-9.198508,0.29483095,-1.3487424,-5.9048595,-3.144453,103_203_27_1_20250113_153217_jungle_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.058673013,0.9831724,0.00021446508,0.05102041,0.124298535,0.26576832,0.41132036,0.557561,0.67411023,0.7702548,0.81534606,0.8967008,0.9950142,1.0536679,1.0857724,1.1645424,1.1925001,1.2667102,1.3637981,1.3913045,1.4172096,1.4528837,1.4598842,1.430921,1.3513875,1.2180454,1.0400616,0.85835457,0.71187615,0.5931888,1.2398533e-05,1.5697411e-06,244.04541,287.11224,387.60153,940.29254,0.0035357298,588.68915,4.498304,1882680.0,8.970466,115.37603,-6.7171513e-06,0.51495653,9.151639e-06,18.529993,9.765058,-0.8691532,2.9877393,-2.42125,-4.4050007,-2.687619,-10.459945,-4.1050525,-11.137574,-3.9243748,-4.9250803,-4.7610426,-6.5482736,103_203_27_1_20250113_153217_jungle_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.050582856,0.9840339,0.00025900116,0.02947846,0.12222844,0.2636541,0.40921798,0.57941675,0.66875666,0.8178281,0.8249171,0.89221215,1.0039169,1.0522577,1.0650425,1.1554948,1.1545388,1.2992862,1.4003907,1.4177638,1.424501,1.44233,1.4941063,1.4261824,1.3262981,1.1944537,1.0186316,0.83028716,0.7092264,0.591941,1.845001e-05,8.6437643e-07,229.6898,236.8676,279.93445,545.51324,0.0034561185,411.87027,3.4819765,1182935.4,14.274861,277.59042,-1.0600658e-05,0.38355336,1.7353239e-05,21.969873,10.827321,3.7892962,6.5508766,-1.6245807,-9.898846,-6.3244004,-14.814705,-12.746815,-13.909083,-9.655288,-7.2638154,-4.799398,-9.063412,103_203_27_1_20250113_153217_jungle_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.049455736,0.9811633,0.0003286537,0.021315193,0.120878,0.26114133,0.40428165,0.5878797,0.6658147,0.8193813,0.84070987,0.90067226,1.0134457,1.0735346,1.0660309,1.1472317,1.1189593,1.2765144,1.3876424,1.4126488,1.419898,1.442213,1.4906155,1.4269753,1.3127295,1.1929106,1.011517,0.82368237,0.7066253,0.58631307,4.018967e-05,6.673761e-07,236.8676,236.8676,258.40103,337.3569,0.0031579908,316.10916,2.7133884,555936.75,21.796576,608.70795,-1.9359602e-05,0.3189344,3.158909e-05,25.244505,12.164792,7.2334085,4.9841847,-8.0803175,-11.063591,-6.35673,-22.38386,-24.67919,-12.994049,-10.296594,-9.035003,-10.032994,-11.695404,103_203_27_1_20250113_153217_jungle_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.048474167,0.9840011,0.00038620175,0.021088436,0.12645857,0.26105604,0.40423688,0.5814678,0.6663808,0.8291817,0.8727651,0.92183065,1.0122627,1.0784672,1.094473,1.1744719,1.1493248,1.2681118,1.3359655,1.3772025,1.4334297,1.4294926,1.4820398,1.4240412,1.298808,1.187781,1.0201293,0.8510328,0.7189768,0.58463913,5.4704844e-05,5.7890225e-07,236.8676,244.04541,258.40103,272.75662,0.0029313117,283.5444,2.2961543,339828.53,26.196058,801.4388,-2.451542e-05,0.296534,3.942328e-05,27.052263,13.290855,8.354812,3.715998,-10.100513,-10.063445,-10.468644,-29.200506,-29.481329,-12.377431,-11.750236,-12.144272,-11.595281,-14.013627,103_203_27_1_20250113_153217_jungle_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.047503132,0.9804042,0.0003616535,0.022902494,0.12870507,0.2589389,0.39861682,0.55547804,0.6652785,0.7777314,0.86304253,0.91648155,0.9860773,1.0627017,1.1148587,1.1878219,1.1996874,1.2508472,1.2856925,1.3448514,1.4066118,1.4339895,1.4856485,1.4404584,1.3167729,1.2035705,1.0340186,0.8763948,0.71802896,0.5782051,5.1358726e-05,6.441025e-07,236.8676,251.22322,258.40103,279.93445,0.003117074,298.83618,2.400697,443422.6,24.506433,730.2011,-2.1381673e-05,0.30821612,3.4236462e-05,26.23567,13.937953,6.708454,-0.9920481,-5.5674872,-5.3370023,-14.624137,-33.377743,-23.496674,-11.959675,-8.908576,-13.835788,-10.541536,-13.57597,103_203_27_1_20250113_153217_jungle_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.04421732,0.9780565,0.00027928362,0.032199547,0.12913848,0.25971487,0.40165234,0.54917717,0.66242605,0.7730524,0.85532063,0.9214433,0.98905134,1.0276808,1.0909959,1.1688071,1.2090431,1.2787672,1.3200771,1.373333,1.3921214,1.443775,1.4533769,1.4164486,1.3228158,1.2092133,1.0255133,0.85960656,0.7144754,0.5824435,3.1309413e-05,5.62098e-07,236.8676,258.40103,265.57883,323.00128,0.0028342316,345.29468,2.7927969,925522.2,18.10139,420.31787,-1.2479868e-05,0.3386174,2.0262662e-05,24.332672,12.450157,5.1774306,-2.0838764,-2.446549,-0.9186494,-14.758584,-29.02099,-16.615036,-11.43636,-11.114409,-11.151806,-5.966846,-10.977244,103_203_27_1_20250113_153217_jungle_ground.wav
