end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.1129,0.98834115,0.0005149015,0.22448981,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.2834338e-06,1.1000374e-05,3596.0808,5282.865,6668.182,9481.882,0.0017192367,5363.989,8.165218,11829679.0,0.8562374,4.6118164,-1.01229025e-05,3.664071,1.44291525e-05,-9.684747,13.028501,6.9153576,5.606174,7.534949,-3.51774,13.507911,-4.5555835,-2.8826911,-6.984331,5.449206,-4.059836,-10.802177,0.85630256,103_203_29_1_20250113_153255_cherry_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.105378695,0.98834115,0.00039690602,0.20498866,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.096449e-06,9.835682e-06,2268.1868,3911.904,6015.0015,8362.144,0.0035609377,4414.138,7.937472,10767695.0,1.019663,4.893845,-8.493951e-06,3.0120907,1.2375127e-05,-6.460282,11.542874,6.2393494,4.167955,8.540946,-1.4632279,8.611341,-7.925028,-3.1796818,-5.71599,4.151321,-3.5861752,-7.193493,0.48172846,103_203_29_1_20250113_153255_cherry_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.08984626,0.98834115,0.00026156235,0.17437643,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.362441e-06,7.699707e-06,890.0479,2131.8083,4335.395,6696.893,0.00445724,3006.5117,7.2405834,8771812.0,1.7240235,8.300324,-6.2183462e-06,2.0553885,9.6124895e-06,-1.4420751,9.698642,7.792465,3.3463619,7.8804154,0.14114372,4.9859424,-8.932683,-3.5146854,-2.2631514,3.1416397,-1.5228615,-6.0712285,-1.7480549,103_203_29_1_20250113_153255_cherry_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.06576573,0.98834115,0.00017794843,0.119501136,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.738158e-06,2.6654345e-06,157.91173,681.89154,2469.1653,4170.3057,0.0033846917,1671.7627,6.211408,6192552.0,3.3552144,23.08109,-3.6860738e-06,1.1825227,4.2642787e-06,6.1706524,11.8943405,6.0201874,1.7812661,8.306823,2.4255202,4.052185,-11.358916,-6.1696687,-1.8251806,4.084042,0.9253084,-1.8280102,0.4824889,103_203_29_1_20250113_153255_cherry_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.05203798,0.98518103,0.00015383383,0.09614513,0.12645988,0.2697375,0.42161545,0.55578035,0.67220354,0.74739856,0.8324633,0.9072247,0.96547335,1.0356675,1.0865562,1.1764946,1.1941983,1.2598628,1.299994,1.3609124,1.4287071,1.4718113,1.4899253,1.4296921,1.3406535,1.2428321,1.066085,0.8890684,0.7458108,0.5980771,3.969482e-06,1.2329455e-06,122.022705,272.75662,890.0479,2275.3645,0.0022010338,934.4111,5.3299975,4245356.5,5.238768,41.24185,-2.9927457e-06,0.703574,3.0262192e-06,10.980221,12.299004,7.532125,0.90464896,7.006642,2.1233656,0.7374582,-10.009805,-8.760171,-5.620695,0.030752817,0.11105522,-2.140683,0.11331578,103_203_29_1_20250113_153255_cherry_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.045725256,0.98172504,0.00013830546,0.08231293,0.12516837,0.2658464,0.41018784,0.5422591,0.66657287,0.76139766,0.8226905,0.8777301,0.9684542,1.0425394,1.0670601,1.1922947,1.1818157,1.2459989,1.3121519,1.3723141,1.4532485,1.4685025,1.488978,1.416295,1.3260028,1.2474269,1.0595837,0.87412214,0.7365725,0.59963644,3.7854797e-06,8.9672994e-07,107.66709,287.11224,452.20178,1047.9596,0.0018763753,702.7676,5.0760174,3612569.2,6.4385886,53.1981,-2.632774e-06,0.56691784,2.304982e-06,15.435165,10.014518,3.1841376,-2.1365802,7.3722205,2.5367749,-0.15052593,-11.223945,-10.98481,-3.9683573,-3.2380645,-3.3064802,2.3115835,-0.32805777,103_203_29_1_20250113_153255_cherry_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.041163843,0.98012275,0.00012684702,0.08390022,0.1290345,0.26576567,0.40936872,0.53900254,0.67853993,0.776112,0.8141773,0.88472015,0.9667426,1.0396026,1.0706478,1.1831175,1.172211,1.2437137,1.3298302,1.3530575,1.439751,1.4728866,1.4776462,1.3932991,1.3198123,1.2375188,1.0673114,0.8766778,0.74049944,0.6021436,2.9681426e-06,6.6405795e-07,86.133675,287.11227,502.44644,990.5372,0.001729032,691.8986,5.0643425,3975736.8,6.7743545,55.82088,-2.0178593e-06,0.5613721,1.5726014e-06,17.206638,7.9694734,1.8476468,-2.4439266,3.583841,1.8548404,-2.1354134,-8.415899,-7.3239837,-1.5352492,-4.099474,-3.2512074,-0.32181707,-1.0097953,103_203_29_1_20250113_153255_cherry_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.04148909,0.98089355,0.0001270292,0.073242635,0.13171618,0.26785448,0.420243,0.5548508,0.6837802,0.78012246,0.8243518,0.8809592,0.9684853,1.0357084,1.0622511,1.1646854,1.1882806,1.2579271,1.3397936,1.3546652,1.4168291,1.4600338,1.4630585,1.4064131,1.3257545,1.2306981,1.0624167,0.8866318,0.73626566,0.59945387,3.8763515e-06,7.0989637e-07,114.8449,301.46786,552.6911,997.7151,0.0017279293,710.6037,5.121671,4251984.5,6.824532,54.670624,-2.1925666e-06,0.58677894,1.918482e-06,20.069723,6.063057,-2.7607813,-2.7630284,-0.32430825,-2.707689,-1.2941837,-6.2165895,-6.5398164,4.107717,0.941837,-4.6599126,2.7257862,-2.4304523,103_203_29_1_20250113_153255_cherry_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.044164967,0.9852073,0.00013821662,0.0675737,0.12931131,0.269205,0.42757973,0.56679547,0.6878225,0.7474108,0.81747574,0.91009235,0.98680353,1.0506784,1.0828378,1.1595664,1.192479,1.2641882,1.3091193,1.3608171,1.4097886,1.4569029,1.4719659,1.4306515,1.3508965,1.24324,1.0661198,0.89033985,0.736799,0.59650046,5.2654177e-06,9.871095e-07,186.62297,315.8235,602.9357,1012.0706,0.001899532,713.0262,5.0960135,3805840.8,7.043818,58.77959,-2.5399486e-06,0.6022399,2.559647e-06,19.90579,4.996273,-5.021611,-3.1291115,-1.9065424,-7.317123,-6.2475524,-7.865813,-11.779719,1.4013284,4.2059665,-1.0886158,4.792357,-0.88991183,103_203_29_1_20250113_153255_cherry_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.04578385,0.97485083,0.00014085245,0.06689343,0.12608649,0.2763182,0.4218314,0.5507112,0.6642499,0.72721964,0.8170054,0.8908116,0.9761289,1.0397601,1.0672171,1.1688393,1.1758484,1.2514395,1.2888525,1.3512121,1.4156138,1.4702431,1.4730058,1.402081,1.3254488,1.2294797,1.0480608,0.87352496,0.7269528,0.588178,5.4006937e-06,1.3150076e-06,244.04541,344.5347,739.314,1076.6709,0.0020242934,749.87384,5.226584,3656941.0,7.114628,60.172314,-2.6342125e-06,0.6389688,2.7651297e-06,20.30938,2.781731,-7.061873,-1.3774561,-1.2530683,-8.140387,-9.895157,-12.315944,-16.16941,-2.7532222,4.6805906,-0.70194346,5.8605804,-3.0992286,103_203_29_1_20250113_153255_cherry_ground.wav
