end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.108182736,0.98834115,0.00034095647,0.21247165,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.881852e-06,8.116082e-06,3452.5247,4823.486,6668.182,7838.1646,0.0021751046,4941.1094,7.5632896,9935202.0,0.67111367,5.0330997,-1.1693423e-05,3.4128458,1.6700002e-05,-7.7083955,16.512537,-0.21900368,8.363078,7.001118,4.36645,1.3268461,-20.528013,-4.393475,-6.5562444,3.750658,-8.384517,-6.8675766,-5.109293,103_203_34_1_20250113_153427_picture_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.09804229,0.98834115,0.0002878223,0.17981859,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.1302762e-06,7.4206196e-06,1851.874,3186.9463,5670.467,7127.561,0.0042647007,3785.5774,7.3613095,9321975.0,1.0900971,5.738196,-9.262756e-06,2.61467,1.3277625e-05,-4.176619,12.254035,3.185214,6.6748824,4.6823673,-1.8845173,-0.16737902,-16.503347,-0.6409896,-4.4762034,1.0342778,-5.2147846,-4.3354354,-3.6322308,103_203_34_1_20250113_153427_picture_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.081738494,0.98834115,0.00021950241,0.13809524,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.7149714e-06,6.049051e-06,186.62297,1292.0051,3933.4377,6029.357,0.0049769706,2340.4207,6.834002,8200874.0,1.9834862,9.820034,-6.433891e-06,1.6205739,9.283138e-06,0.62671417,7.7541366,6.961666,5.825091,4.5118427,-3.6270058,0.875067,-12.1819725,1.1060257,-4.161155,-0.73174495,-1.0704838,-2.4522974,-0.998009,103_203_34_1_20250113_153427_picture_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.05931373,0.98834115,0.00015765584,0.10748299,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.894463e-06,2.0004754e-06,179.44514,509.62424,2182.053,4127.239,0.003505885,1481.649,6.1526756,5786419.5,3.9038935,28.69275,-2.7513245e-06,1.0583252,2.7350034e-06,6.727974,7.0244546,4.0415273,4.2917895,3.6015255,-3.6552856,3.2065494,-5.671999,-0.6564048,-7.817553,-2.6323583,-2.52554,-3.6207552,4.061809,103_203_34_1_20250113_153427_picture_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.051412255,0.98702985,0.00014555108,0.09410431,0.12979214,0.26288489,0.39540783,0.5555279,0.69904166,0.76677275,0.8351302,0.90494585,0.96545047,1.0210063,1.0774587,1.1751572,1.2630911,1.2961563,1.3270054,1.3700781,1.4332724,1.481853,1.4486095,1.4179894,1.3575464,1.2282649,1.0710243,0.87510175,0.7164407,0.58776474,2.4573715e-06,1.2200168e-06,114.8449,244.04541,1062.3153,2526.5876,0.0021328917,935.43756,5.575155,4075748.0,5.8118553,50.178635,-2.6331245e-06,0.71057695,2.3290988e-06,12.616778,5.2486205,1.6349268,5.4368896,3.3710928,-0.203425,7.0950775,-2.552478,-3.1285927,-9.722074,-5.152435,-4.1912413,-1.9794093,6.89213,103_203_34_1_20250113_153427_picture_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.048102338,0.97963476,0.00014254353,0.088435374,0.13052022,0.25236544,0.3745549,0.54462755,0.7007866,0.75001174,0.79144126,0.8641828,0.945391,1.0117992,1.0441912,1.1695466,1.2610005,1.3058311,1.3066721,1.3853846,1.4338679,1.5064611,1.476808,1.3959513,1.3679609,1.2327209,1.0745764,0.85505366,0.706815,0.58198243,2.595946e-06,1.094215e-06,100.48929,215.33418,567.0467,1320.7163,0.0019688553,670.96875,5.2019973,3077759.0,7.094913,64.97466,-2.760451e-06,0.5449839,2.4202939e-06,16.927904,3.5740623,0.034380596,7.0360007,2.168977,-0.40237656,6.3143272,-3.5405033,-6.74182,-5.2511005,-6.8160014,-8.512,0.046893597,7.995683,103_203_34_1_20250113_153427_picture_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.04648133,0.97160643,0.00013746195,0.08027211,0.1290329,0.24646372,0.36983112,0.5393295,0.689544,0.7644439,0.79159516,0.8658428,0.9375372,0.996439,1.0096817,1.1455501,1.2381605,1.2929444,1.3007163,1.3609089,1.4124532,1.5000881,1.4708552,1.3893489,1.3684239,1.2323325,1.0727783,0.8541431,0.7063357,0.5769877,1.9571205e-06,1.0156994e-06,43.066837,236.8676,624.4691,1292.005,0.0018024603,675.6233,5.332673,3204450.8,7.241587,65.825905,-2.4506655e-06,0.5495832,1.8184561e-06,18.6305,1.3617715,0.16644292,5.865423,-2.640118,-1.661406,10.323699,-1.7989758,-6.514502,1.4005815,-4.3171773,-3.5048683,5.835627,6.521673,103_203_34_1_20250113_153427_picture_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.04543442,0.9691854,0.00013350298,0.07687075,0.12659244,0.25166276,0.39189562,0.5355674,0.66794777,0.7599039,0.80866265,0.88997585,0.9555783,1.0080178,1.0223016,1.129979,1.212371,1.2719445,1.2966666,1.3301717,1.3791176,1.4924554,1.4677986,1.3856754,1.3592491,1.2348269,1.0693578,0.8678364,0.705918,0.5773479,2.3443274e-06,8.756804e-07,100.48929,279.93445,602.9357,1198.6936,0.0017756852,691.59686,5.2368293,3319131.2,7.3378825,66.359406,-2.331665e-06,0.5696164,2.032912e-06,19.002808,1.38552,-1.4772248,1.5701799,-4.897879,-3.5604556,11.624245,-5.862099,-12.366492,2.3382585,-5.467623,-5.9383855,2.500879,1.7752548,103_203_34_1_20250113_153427_picture_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.047565285,0.9753955,0.00013809915,0.07301587,0.1283573,0.26369858,0.39795458,0.5527763,0.6725554,0.75789875,0.81906015,0.9070533,0.9610259,1.0127012,1.0790344,1.1629364,1.2253532,1.2848701,1.3097252,1.3141198,1.3804501,1.4713699,1.4628811,1.3996729,1.3389229,1.2239976,1.0676899,0.8750246,0.7086466,0.58250785,3.091144e-06,1.0518371e-06,143.55614,351.71252,717.7806,1270.4717,0.0019873884,735.15643,5.3295627,3160719.2,7.3969917,68.20466,-2.4237243e-06,0.6145629,2.4175217e-06,19.197437,0.7798608,-3.1115646,-0.58447474,-6.325718,-7.454907,12.06334,-6.283792,-12.15227,2.0357547,-3.1630304,-2.7973106,1.6821934,0.513818,103_203_34_1_20250113_153427_picture_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.04869504,0.97549456,0.00014299729,0.07052154,0.13340008,0.26499233,0.3964146,0.55126697,0.67696565,0.73900527,0.8212642,0.9029154,0.95873684,1.0117942,1.0970017,1.1739501,1.2473493,1.2809052,1.297933,1.337983,1.397152,1.4599732,1.4673972,1.4025103,1.330371,1.206385,1.0628098,0.86146194,0.70159173,0.58132976,3.4183656e-06,1.246888e-06,157.91173,351.71252,717.7806,1306.3607,0.0021524972,733.3791,5.3680673,2982294.2,7.5360374,71.2876,-2.5278741e-06,0.61740136,2.468714e-06,19.372654,0.33386293,-3.0346744,-0.86251885,-0.6727338,-8.561844,7.797337,-8.914739,-11.636472,0.43534037,-4.5875006,-2.175206,-0.994355,2.9827907,103_203_34_1_20250113_153427_picture_ground.wav
