end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.06732386,0.98834115,0.00018713302,0.19183673,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.241677e-06,4.685844e-06,904.40356,1959.541,2835.2334,7651.5415,0.0022197806,2821.002,6.7017617,10427360.0,2.091181,9.018961,-3.9751717e-06,1.9872656,6.9021403e-06,1.782197,11.0531225,-3.5900643,4.890989,1.4131002,-3.303313,-5.359179,-4.915789,-5.9983554,-8.903608,-1.3829163,1.652668,1.7648216,1.4264946,103_203_35_1_20250113_153443_yellow_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.07959779,0.98834115,0.00020904408,0.18435375,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.4169723e-06,6.052041e-06,983.35944,2318.4314,4076.9941,7694.608,0.004083894,3154.0437,7.1597614,10196417.0,1.7020787,7.294088,-4.84841e-06,2.1941454,8.29896e-06,-0.999235,9.086543,0.5573924,4.9160686,1.0561588,-4.911181,-5.319817,-12.597955,-6.1879,-8.718699,-3.0672905,0.7148318,-2.5400307,0.8635878,103_203_35_1_20250113_153443_yellow_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.083989106,0.98834115,0.00021967564,0.16417234,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.0102227e-06,6.3424814e-06,1019.2485,2332.787,4170.3057,7242.4067,0.0049758544,3088.6716,7.242926,9184798.0,1.8499988,9.007604,-5.1801885e-06,2.140134,8.799233e-06,-1.5478826,8.410579,4.9726386,4.986965,0.74488133,-6.908357,-4.0621424,-18.191008,-3.7804596,-5.568161,0.71221715,1.5207449,-5.9401646,1.2862421,103_203_35_1_20250113_153443_yellow_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.06139965,0.98834115,0.00016342428,0.11428571,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.2661372e-06,2.2724664e-06,186.62297,667.53595,2103.0974,4328.2173,0.0034462856,1577.7539,6.1837864,6236916.5,3.7022965,25.952162,-3.1275215e-06,1.1328197,3.6308163e-06,6.4380774,9.639943,6.1545587,4.2433887,-0.88072443,-6.1024456,-3.172239,-18.725252,-4.3858185,-8.869714,-0.82148045,2.2810261,-0.92840147,2.8498812,103_203_35_1_20250113_153443_yellow_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.049046617,0.99078864,0.00014653093,0.09274376,0.1272466,0.26993546,0.41597137,0.5583114,0.6878784,0.7729749,0.81996983,0.92806464,0.9887643,1.0314264,1.1084641,1.1630907,1.1989186,1.2798885,1.3363047,1.3630472,1.4484472,1.4790891,1.4851631,1.425126,1.3667259,1.2184235,1.062053,0.8884519,0.7323976,0.6043661,4.481099e-06,9.653814e-07,143.55614,315.8235,667.53595,2383.0317,0.0021236152,895.2315,5.317684,4168273.2,5.897425,50.73586,-2.72065e-06,0.6924508,2.7867293e-06,12.367345,10.286839,5.0417495,4.5872197,-1.265711,-6.594805,-3.6664536,-17.660578,-7.447931,-7.370468,6.949304,6.2043424,-0.06400015,3.6049783,103_203_35_1_20250113_153443_yellow_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.0425818,0.9869501,0.00013233318,0.07755102,0.12741633,0.27039197,0.40251422,0.5493581,0.6902525,0.78494716,0.80184823,0.9249161,0.97509617,1.0043778,1.1046726,1.1607419,1.1805354,1.2713771,1.3495817,1.3408618,1.4668258,1.4846293,1.4967664,1.4172484,1.3649555,1.2101871,1.0600197,0.8891862,0.7281602,0.6038323,3.9992256e-06,6.89519e-07,114.8449,258.40103,387.60156,1004.8928,0.0017399263,642.19525,4.9203324,3436922.2,7.057678,62.564037,-2.4669382e-06,0.526865,2.322883e-06,16.687342,8.7934065,3.321987,6.184265,-0.27396217,-7.75892,-0.94021434,-15.910529,-11.369142,-9.06359,8.77973,4.6480637,-1.9980401,1.5522372,103_203_35_1_20250113_153443_yellow_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.039834607,0.9876632,0.00012467372,0.084807254,0.12839732,0.2715585,0.40645137,0.55463,0.6896041,0.7850387,0.79635173,0.94300705,0.9760773,0.985209,1.0985895,1.1812984,1.1738149,1.2579039,1.3367682,1.3418931,1.4840153,1.4888235,1.51333,1.4178442,1.3675566,1.2145141,1.0540036,0.8860374,0.7260278,0.6004967,3.625747e-06,6.1742384e-07,86.133675,287.11224,394.77933,940.29254,0.0015338832,618.4411,4.8609843,3458371.8,7.511837,68.13137,-2.1899443e-06,0.513798,1.9728584e-06,18.750748,7.232717,2.5698645,6.238085,0.7544308,-7.7175565,-3.0346544,-12.435323,-13.753471,-7.3164554,13.667698,7.6431103,-1.7940768,4.269781,103_203_35_1_20250113_153443_yellow_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.0373741,0.9823389,0.00011530601,0.088435374,0.12945528,0.27175593,0.40823245,0.55225706,0.67866415,0.77418923,0.8105402,0.92667055,0.96946067,0.9948011,1.0926476,1.1643423,1.1882954,1.2347515,1.2999225,1.3474127,1.4633011,1.4665929,1.4931093,1.4280809,1.3518203,1.2305197,1.0535072,0.8883278,0.72421694,0.5979368,2.1669937e-06,5.7365844e-07,50.244644,236.86761,394.77933,1055.1376,0.0014766878,686.7341,4.9915814,4571905.5,6.792455,55.080875,-1.6857679e-06,0.5497615,1.3538247e-06,18.825684,5.8242717,1.5998029,6.780932,6.2627387,-6.914105,-1.9211845,-8.383254,-13.390878,-7.256903,9.027174,4.802839,-2.719177,3.1888561,103_203_35_1_20250113_153443_yellow_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.037230406,0.98044854,0.00011354993,0.09138322,0.1281194,0.27127853,0.41658273,0.5549299,0.6880323,0.77833,0.8316894,0.9198919,0.9730231,1.0065204,1.0790931,1.1530004,1.193799,1.2397771,1.2967863,1.3675648,1.440009,1.4542103,1.4648218,1.4209079,1.3339996,1.2169517,1.0545968,0.890284,0.7244757,0.5929863,2.105797e-06,5.4507944e-07,43.066837,265.57883,394.77933,1105.3822,0.00128213,705.3726,5.0010886,4674336.0,6.7142806,54.11095,-1.574448e-06,0.5629752,1.2515638e-06,18.255278,5.3631973,0.61207014,4.8410573,5.9069867,-7.9567733,-4.695498,-5.520941,-12.170979,-5.8256354,8.189214,4.1784267,-1.4494958,4.093826,103_203_35_1_20250113_153443_yellow_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03692189,0.9769147,0.00011629815,0.086394556,0.12779455,0.2716175,0.42204356,0.5684356,0.7042933,0.7760275,0.8209203,0.92266065,0.97980785,1.0249543,1.076081,1.1287998,1.1741935,1.2625109,1.324927,1.3587888,1.4229761,1.4378246,1.4413904,1.4052621,1.3118244,1.203436,1.0468116,0.87546843,0.72271067,0.5882207,3.0978863e-06,5.5911636e-07,86.133675,258.40103,387.60153,1062.3153,0.0014214227,680.1141,4.8788,4454964.5,7.1506844,61.99788,-1.8103632e-06,0.54939616,1.3943372e-06,18.619677,5.708822,-0.30620155,4.302181,4.122033,-10.519745,-4.705668,-8.68197,-19.032251,-7.140467,6.8542733,3.5482655,-3.2649362,2.661908,103_203_35_1_20250113_153443_yellow_ground.wav
