end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.07432868,0.98834115,0.00024626238,0.23628117,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.684281e-06,9.786332e-06,602.9357,1830.3407,2461.9875,3301.791,0.0034574184,2010.1759,5.814579,6009288.0,4.4497933,34.505035,-8.2825245e-06,1.438149,1.3041302e-05,8.108365,12.463906,-2.7745907,8.935988,0.56478167,-6.3186646,-1.0333966,-11.68264,-13.253532,-5.1327767,8.259834,9.297277,-2.4293587,-2.1670058,103_203_38_1_20250113_153528_puppy_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.09509923,0.98834115,0.000289075,0.21247166,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.899128e-06,1.2551204e-05,674.7138,2117.453,3854.4817,5211.0874,0.006140176,2645.4485,6.585008,7594087.5,2.8085117,19.733965,-1.0548288e-05,1.8568525,1.6379294e-05,2.4466465,10.135695,-0.24452527,6.8810635,5.4699974,-5.1211743,-3.0376441,-15.63384,-11.901927,-5.0736523,2.4699347,6.6953177,-2.787156,-3.4943066,103_203_38_1_20250113_153528_puppy_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.103781044,0.98834115,0.00029298503,0.17959183,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.696111e-06,1.3145684e-05,710.6028,2289.7202,5211.0874,6962.472,0.0076718186,3200.0664,7.3447022,9138281.0,1.298585,5.826594,-1.0581301e-05,2.2182019,1.6658229e-05,-2.2735574,8.409333,0.9714778,3.7449417,9.209455,-2.8499584,-3.8222573,-17.890083,-6.0222507,-4.0360317,-1.0179716,4.755113,-5.0760884,-1.4234141,103_203_38_1_20250113_153528_puppy_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.07144668,0.98834115,0.00018921384,0.12539683,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.328389e-06,3.9942606e-06,157.91173,674.7138,3172.5906,5261.3315,0.0049127215,1933.369,6.484543,7444582.5,2.494453,13.370097,-4.637981e-06,1.3504777,5.3392573e-06,2.630121,10.303838,7.194525,3.8630645,9.530488,2.1128716,-2.8313277,-17.486187,-6.280233,-6.6044483,0.50340176,3.6324356,-4.6071525,-0.23812835,103_203_38_1_20250113_153528_puppy_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.052443027,0.99026805,0.00014253105,0.10068027,0.12927829,0.27320662,0.43439755,0.5770788,0.6669956,0.7401059,0.8250573,0.90798014,0.9964714,1.0312086,1.1011606,1.1886479,1.2425646,1.2791845,1.3097763,1.39106,1.4528803,1.4429363,1.457641,1.4367394,1.364604,1.2297238,1.0608963,0.89707226,0.72571087,0.5845894,2.101564e-06,1.3454068e-06,86.133675,387.60153,1772.9181,3481.236,0.0027832526,1304.5858,5.8474784,5659824.0,4.2321153,30.42835,-2.3969242e-06,0.9371827,2.037973e-06,8.073995,10.894998,5.18882,4.392136,6.563123,1.8469757,-1.4367901,-16.217285,-3.9633892,-7.02616,5.5610027,1.9348761,-6.662432,1.5124125,103_203_38_1_20250113_153528_puppy_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.043613076,0.9862202,0.00013357293,0.08231292,0.12761872,0.2673709,0.42880258,0.5814742,0.66349417,0.7161095,0.80337757,0.9050069,0.98772734,1.001923,1.0817909,1.201692,1.239087,1.2582117,1.2898558,1.3826237,1.4848291,1.4522694,1.4754316,1.4336199,1.3796822,1.228776,1.0648658,0.8907055,0.7132452,0.5821335,2.4994151e-06,7.6092095e-07,43.066837,236.8676,409.13492,1751.3846,0.0017213604,751.19635,5.0698776,4148748.8,5.9280457,46.645493,-2.2228444e-06,0.57784986,1.5344326e-06,12.911887,10.496044,5.1416755,2.639911,1.7212533,0.0032253265,-1.637911,-14.115663,-6.444884,-6.7478485,7.529305,1.5808021,-5.4273515,1.1472427,103_203_38_1_20250113_153528_puppy_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.038070243,0.9839999,0.00012015639,0.088435374,0.12972958,0.2719815,0.4276645,0.5644274,0.65586925,0.68659145,0.78051263,0.90697604,0.98829156,1.0030657,1.0789438,1.1970264,1.2234377,1.2456964,1.2813187,1.3814088,1.4918832,1.4561125,1.4894743,1.4446467,1.3956485,1.2294444,1.0730973,0.8853891,0.7105255,0.58483523,2.122111e-06,5.339511e-07,35.889034,215.33418,358.8903,1047.9596,0.0015274844,654.9177,4.9005075,4212919.5,6.5712495,52.55633,-1.856316e-06,0.51984435,1.1362297e-06,15.731347,9.156724,2.5814333,4.0167785,3.8222606,1.477218,-1.0956929,-14.533919,-10.565929,-6.6931,7.781391,3.8170574,-0.70026904,4.804569,103_203_38_1_20250113_153528_puppy_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.03462798,0.9786803,0.000115918345,0.086621314,0.12957853,0.2752599,0.41753712,0.540157,0.65221494,0.71067697,0.79145914,0.91043377,0.9636073,0.99683577,1.0899342,1.1916736,1.2062248,1.249792,1.286743,1.366457,1.4544806,1.4488758,1.4758197,1.4277769,1.3728081,1.2260343,1.0767709,0.8846793,0.71672267,0.5831347,1.5542386e-06,4.368038e-07,28.711226,172.26735,351.7125,1047.9596,0.0013091549,660.158,4.8028007,4832555.5,6.528294,50.078793,-1.4934303e-06,0.5168064,7.665529e-07,17.115004,7.239863,1.129517,4.729483,5.4771667,1.7791482,1.9174436,-8.435441,-9.669515,-2.5508108,6.1507554,2.6449878,0.2007742,5.996324,103_203_38_1_20250113_153528_puppy_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.033921767,0.9803671,0.00012076382,0.088662125,0.13109444,0.27774516,0.429567,0.55769837,0.66894466,0.7462874,0.82547814,0.9001587,0.97646874,1.0059835,1.0745606,1.1606704,1.20442,1.2594901,1.301815,1.3712333,1.4342169,1.4445335,1.4696274,1.4268503,1.3504087,1.2264119,1.058935,0.88403195,0.7237491,0.5791633,1.2957383e-06,4.4188164e-07,43.066837,107.66709,358.8903,997.715,0.0012926236,607.21405,4.805454,4412494.5,7.1932774,61.383686,-1.6215694e-06,0.48040497,1.1082828e-06,19.687086,7.5233116,-0.7919729,6.418625,6.863441,2.1875618,6.377378,-3.848932,-12.58916,-0.37504265,8.105869,3.176255,0.82387763,5.723989,103_203_38_1_20250113_153528_puppy_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03399963,0.9801826,0.0001266258,0.08594105,0.12882684,0.27592966,0.4312581,0.5657005,0.67407686,0.7499369,0.82145953,0.8941304,0.98423046,1.0118548,1.0863127,1.1496055,1.2097992,1.2532417,1.2929454,1.3612232,1.4332341,1.4537281,1.4682127,1.4237838,1.3321018,1.2276129,1.0614566,0.89225906,0.72203904,0.5797859,1.4986086e-06,4.879128e-07,50.244644,86.133675,323.00128,954.64825,0.001193293,538.5738,4.588153,3913022.8,7.7472095,69.7098,-1.8542545e-06,0.43087935,1.513957e-06,21.04197,8.020926,-1.5006641,6.3844094,6.6738935,0.11955023,7.6378694,-0.853872,-10.2075815,0.8716491,9.102332,3.1641328,-2.961777,2.1510618,103_203_38_1_20250113_153528_puppy_ground.wav
