end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.100486934,0.98834115,0.00027544476,0.19750567,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.168196e-06,6.8915438e-06,595.7579,3294.613,5060.3535,7062.9614,0.0017331975,3413.3591,6.982914,9710251.0,1.115982,5.130643,-9.259663e-06,2.3543422,1.5930602e-05,-3.037692,11.429078,1.7621999,2.3057306,4.7118154,-4.3854365,11.09117,-19.673962,-11.437496,-13.928525,-13.672414,-9.011578,-4.351687,-3.2558746,103_203_39_1_20250113_153540_muscle_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.081510566,0.98834115,0.00022205441,0.15215419,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.8751137e-06,4.3389323e-06,373.24594,1780.0958,3352.0354,6151.3804,0.0027700954,2451.3306,6.518383,8146784.5,2.0549388,10.4525795,-6.3577904e-06,1.7134849,1.0226479e-05,1.528988,11.421459,3.372331,2.5500739,2.299833,-6.4837623,8.121797,-15.304835,-4.307977,-12.880508,-10.054593,-4.953179,-4.847159,-2.1912768,103_203_39_1_20250113_153540_muscle_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.059335675,0.98834115,0.00016210998,0.10793651,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5345764e-06,1.6390305e-06,136.37831,258.40103,1543.2284,4055.4607,0.0033043725,1336.765,5.8611865,6049620.0,3.708332,23.3309,-3.346234e-06,0.97312564,4.0153736e-06,7.766056,11.443103,4.0810013,0.52297324,2.026981,-6.1152706,3.8608115,-13.121826,-0.89482707,-9.111323,-4.0993767,-0.16947365,-4.5254617,-0.36343244,103_203_39_1_20250113_153540_muscle_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.046664983,0.98834115,0.00013552536,0.09229025,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.5187956e-06,7.38067e-07,86.133675,244.04541,602.9357,2390.2097,0.0019960504,907.2851,5.5798764,4772495.5,5.22984,37.887104,-2.1579024e-06,0.6921658,1.8737719e-06,13.136851,11.38264,2.0202062,0.44456866,1.9110079,-5.9175153,6.6262364,-7.946585,-0.37152162,-5.0988517,-0.68246347,3.4140177,-3.1522171,0.80688596,103_203_39_1_20250113_153540_muscle_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.04065245,0.9913791,0.00012635066,0.08775511,0.13165611,0.273048,0.404357,0.5567136,0.68365645,0.7725463,0.84542817,0.9160989,0.9701705,1.0370184,1.091465,1.145326,1.2466915,1.2933478,1.3325185,1.3707371,1.4419827,1.4592737,1.4722881,1.437747,1.3569609,1.2264018,1.0653788,0.9035373,0.74234986,0.5991537,2.3839677e-06,5.027554e-07,64.60026,244.04541,495.26865,1047.9596,0.0013906354,708.58716,5.2222266,4186276.0,6.3407364,49.653454,-1.8689033e-06,0.565471,1.3888697e-06,16.662401,9.968574,0.07661847,0.19817464,2.9801385,-7.335581,3.830364,-5.6265807,-3.0369184,0.026973724,4.1134477,3.616191,-1.3947884,1.5566176,103_203_39_1_20250113_153540_muscle_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.038493637,0.994534,0.000126243,0.08684807,0.13322692,0.27490747,0.40580764,0.5604004,0.6909943,0.77224845,0.8478956,0.92448205,0.9991372,1.046287,1.081306,1.1252003,1.2182455,1.2954262,1.3279506,1.3681008,1.4661217,1.4942198,1.4765774,1.4404039,1.3592051,1.2172769,1.0742384,0.90545267,0.74496555,0.6078041,2.481971e-06,4.306377e-07,71.77807,251.22322,459.37955,897.22577,0.0013949127,640.292,5.1381345,3824785.2,7.0537715,59.168407,-1.8878709e-06,0.52763206,1.3555468e-06,19.553679,9.20381,-1.8491149,1.6302876,-0.5049651,-7.621453,4.5679626,-4.5276866,-6.1647506,-1.482598,2.9226496,1.9191386,-4.8272595,1.3331115,103_203_39_1_20250113_153540_muscle_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.039122373,0.99071413,0.00012804595,0.08208617,0.13452171,0.27385208,0.40384784,0.5571947,0.69585043,0.7781654,0.832603,0.9336348,0.99441534,1.0335168,1.0813228,1.1156067,1.2143013,1.273222,1.3058944,1.3710755,1.4801855,1.4905304,1.4600364,1.4473647,1.3421699,1.2098064,1.0844897,0.9011383,0.73849577,0.60532457,3.297281e-06,4.569255e-07,93.311485,301.46786,437.8462,868.51447,0.0014676242,615.43335,5.0354633,3493983.0,7.5594306,67.278694,-2.1097983e-06,0.5194226,1.6446501e-06,20.635984,8.806546,-2.0605857,1.1858997,-4.7941837,-5.949348,1.3599867,-8.190644,-6.205993,0.86490124,4.3089824,2.8548677,-1.5571023,2.1910555,103_203_39_1_20250113_153540_muscle_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.04021303,0.98537475,0.00013072033,0.08503401,0.13312794,0.2685627,0.40880945,0.55223244,0.67420787,0.78505415,0.82313037,0.9199011,0.9923498,1.0338851,1.0783693,1.1196164,1.1992397,1.2641687,1.2871238,1.3619432,1.4439999,1.4700264,1.4499649,1.4768692,1.355354,1.2151648,1.0873824,0.8969145,0.72551775,0.5968277,3.8790017e-06,4.6484897e-07,93.311485,301.46786,409.13492,825.4477,0.0015506484,608.4262,5.021326,3280672.8,7.669277,69.855385,-2.2918473e-06,0.51778126,1.8074692e-06,20.231466,9.78934,-1.7246383,-1.3641491,-7.58861,-5.1781974,1.4214555,-11.837758,-8.540032,-2.3789098,1.5821422,-0.5304785,-4.062584,0.3969787,103_203_39_1_20250113_153540_muscle_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03863867,0.972495,0.00012875936,0.08344671,0.1330505,0.2695529,0.40050182,0.54726887,0.65639025,0.78063625,0.81218165,0.91215056,0.9720152,1.0210179,1.0708519,1.1381503,1.2158536,1.2608285,1.2874016,1.3237667,1.3916973,1.4248203,1.4397688,1.445291,1.3427548,1.2055465,1.0522956,0.8814707,0.713115,0.5864919,3.6405163e-06,4.0058634e-07,71.77806,279.93445,387.60153,768.0252,0.0015476517,591.88983,4.814367,3386376.8,7.6002254,68.49182,-2.1251315e-06,0.49787244,1.7603326e-06,19.432016,10.179086,-0.38538632,-1.6237391,-5.1221485,-6.036997,-3.6289365,-8.813144,-5.5065765,-1.8868963,2.5803235,-0.13407739,0.8151986,0.6547623,103_203_39_1_20250113_153540_muscle_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03783816,0.9739342,0.00012564105,0.09410431,0.13165621,0.27076375,0.39648947,0.55752736,0.67318565,0.7771289,0.8097682,0.9139016,0.981796,1.0341121,1.0885186,1.1424699,1.2093182,1.2889465,1.3204467,1.3294004,1.3748193,1.4255362,1.4357449,1.4127475,1.339409,1.1991053,1.0360825,0.872288,0.714947,0.586181,3.7922075e-06,4.029221e-07,78.95587,265.57883,394.77933,760.8475,0.0015607929,592.2812,4.713204,3366260.0,7.5798583,68.19334,-2.0631599e-06,0.4987638,1.7408784e-06,18.982958,9.580981,-0.19116795,-1.2165723,-3.7891452,-10.015373,-6.975081,-6.2230783,-10.610324,-4.3735785,7.6316857,2.4184544,-1.4845473,0.6568118,103_203_39_1_20250113_153540_muscle_ground.wav
