end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.09080288,0.98834115,0.00029999574,0.22312926,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.614183e-06,6.3865023e-06,265.57883,1528.8727,5225.443,6811.7383,0.0019332352,2868.5322,7.146932,10988735.0,1.5002538,5.757471,-7.5257376e-06,2.0181682,1.0964007e-05,1.044683,10.225605,-2.0077555,4.9789424,5.4045205,-11.5244,-0.9461495,-17.206282,-1.9291261,-5.977262,-13.076005,-12.499634,-0.1190958,-1.6554996,103_203_40_1_20250113_153555_beauty_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.091881074,0.98834115,0.00027204087,0.19773243,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.4712965e-06,6.270215e-06,287.11224,1478.628,5117.776,6560.515,0.003997659,2813.05,7.190435,10010280.0,1.463892,5.877506,-7.5269963e-06,1.9689445,1.0855584e-05,0.7223904,10.075669,-0.35761082,3.6991832,2.0964828,-14.025752,2.5998337,-14.0135145,0.7299352,-2.2457426,-8.051475,-10.48397,-1.5334629,-0.74664783,103_203_40_1_20250113_153555_beauty_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.0855526,0.98834115,0.00022884656,0.15873016,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.653674e-06,5.547785e-06,251.22322,1313.5385,3911.9043,6079.6016,0.0048421635,2434.9175,6.9444823,8312481.5,1.8998203,9.13132,-6.9165726e-06,1.7042674,9.727294e-06,1.8545104,10.136142,1.9809877,3.862128,-1.5944953,-14.204768,5.006474,-13.849312,0.12617986,-4.8399367,-0.04780197,-5.3831515,-4.0014744,0.91159123,103_203_40_1_20250113_153555_beauty_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.058958303,0.98834115,0.00014481228,0.12857144,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.6381468e-06,1.6460561e-06,172.26735,416.31277,2138.986,4522.018,0.003345606,1567.5321,6.249577,6497088.0,3.1902916,18.705732,-2.8411916e-06,1.1259398,2.5857273e-06,6.291935,11.885963,3.6422927,2.5357406,0.23633003,-9.968955,3.3644197,-14.259191,-3.1590252,-3.1063907,10.881181,4.876393,0.64634657,2.6307166,103_203_40_1_20250113_153555_beauty_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.0493962,0.9982664,0.00012654428,0.099999994,0.12790455,0.26723686,0.41335094,0.56374127,0.66340524,0.7714694,0.8912341,0.92077255,0.99283534,1.0565032,1.1471926,1.1942796,1.2343165,1.3039093,1.3343779,1.3804353,1.4440917,1.4530536,1.4652227,1.4429675,1.3612081,1.2160965,1.0882298,0.9013563,0.7234997,0.5962322,3.185202e-06,1.0610833e-06,122.022705,287.11227,803.91425,3086.4568,0.0018803995,1064.3705,5.6791263,5208664.0,4.483931,29.717905,-2.2267168e-06,0.7992513,1.701533e-06,9.914571,10.319761,3.2218027,1.0807444,-1.2458642,-4.4226713,-0.056931496,-16.461779,-8.597386,-9.591046,9.305928,4.745318,-5.1507277,-1.6313127,103_203_40_1_20250113_153555_beauty_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.04432875,0.9929554,0.00011862355,0.095464855,0.12946345,0.26066843,0.40582597,0.5574821,0.6679732,0.7625873,0.8709979,0.9200576,1.0016063,1.0311974,1.1423911,1.227499,1.2215184,1.3337933,1.3499999,1.3628191,1.4300674,1.426711,1.4614671,1.430129,1.3226508,1.197344,1.0982783,0.90349466,0.7123721,0.5884438,2.7607657e-06,8.414301e-07,93.311485,258.40103,538.33545,1959.541,0.001592734,877.814,5.368744,5022592.0,5.2891026,36.582703,-1.9270904e-06,0.67728204,1.5308357e-06,12.719319,8.548156,2.8882332,0.31586114,-2.047681,-2.8369768,0.77873087,-10.807918,-10.110223,-8.268306,7.594883,3.8851388,-6.028892,-3.949792,103_203_40_1_20250113_153555_beauty_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.048440102,0.98929024,0.000129418,0.088208616,0.13080429,0.25976777,0.39476094,0.5581639,0.6862747,0.76279765,0.8596806,0.92639834,1.0125619,1.0396351,1.1545649,1.2336475,1.2034341,1.3170792,1.3336835,1.3448142,1.3993958,1.4034768,1.442356,1.4184681,1.3178829,1.2061219,1.1009725,0.91623574,0.71688604,0.5816819,3.2518517e-06,1.651951e-06,165.08955,394.77933,746.4919,1658.0732,0.0018860608,905.23456,5.5541024,4502323.0,5.9078736,45.53921,-2.3015991e-06,0.72699857,2.1239277e-06,15.319252,3.9022934,-5.9186254,-1.0993149,-1.4593415,-3.2912724,1.5055538,-10.422133,-7.564043,-10.681802,4.4248357,-3.431907,-9.834755,-5.341232,103_203_40_1_20250113_153555_beauty_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.044663966,0.96928835,0.00012359666,0.09047619,0.13016802,0.26525643,0.39909482,0.559413,0.6820231,0.7311273,0.7883771,0.8965001,0.9790999,1.0069014,1.0943675,1.1779128,1.1865615,1.2760829,1.2976195,1.3314409,1.3698282,1.4138058,1.4367009,1.4040891,1.301688,1.2030216,1.0824099,0.8966062,0.7141704,0.5772305,2.6501978e-06,1.383111e-06,114.8449,380.4237,653.18036,1579.1173,0.0020234652,859.7692,5.411036,4557558.5,6.0409617,46.725452,-2.0280029e-06,0.6902185,1.7397239e-06,15.791469,4.467955,-5.752174,3.1086981,2.2234418,-7.609146,0.3475542,-9.07172,-7.196523,-11.560455,3.7358444,-0.6514635,-3.7367318,-2.65719,103_203_40_1_20250113_153555_beauty_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.042752896,0.9587252,0.00012510693,0.08049887,0.13092041,0.26881883,0.40448245,0.56214386,0.67380303,0.72679263,0.7886572,0.8746593,0.95709395,1.0074251,1.0592285,1.1141907,1.1565671,1.2469585,1.2886413,1.3354088,1.3748773,1.4287223,1.4238461,1.4048508,1.313929,1.189394,1.0492887,0.8650028,0.70489246,0.5762613,2.9118426e-06,1.2943275e-06,100.48929,373.24588,581.4023,1184.338,0.0018120129,756.0285,5.1811743,3932863.0,6.683431,55.487293,-2.16862e-06,0.61948276,1.7330407e-06,17.07446,5.7487082,-5.2280707,4.423782,3.9481,-8.2303705,-1.9329759,-13.562263,-12.295026,-11.010846,2.4167385,-0.4279593,-3.6275578,-3.641497,103_203_40_1_20250113_153555_beauty_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.035542086,0.9707151,0.00011307556,0.08004535,0.12744851,0.26625016,0.40784588,0.5559208,0.6673114,0.7605974,0.8512208,0.90770054,0.9724714,1.0162048,1.0799657,1.1267891,1.1740406,1.2582889,1.3037363,1.3403279,1.4050741,1.4491152,1.4513173,1.4263163,1.3043295,1.1782666,1.0533806,0.8680156,0.70302105,0.58363724,2.246006e-06,3.8349842e-07,21.533419,265.57883,387.60153,1055.1375,0.0014937454,706.34064,4.929121,4808452.0,6.4038258,48.94956,-1.5358045e-06,0.5649094,9.914785e-07,16.997461,8.538554,0.61778975,3.5776117,0.78596115,-9.229358,-5.7119393,-9.949686,-13.6854315,-13.145675,-0.8491144,2.512079,-1.8124946,-0.7179942,103_203_40_1_20250113_153555_beauty_ground.wav
