end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.08265138,0.98834115,0.00026349665,0.15941043,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.6833006e-06,1.0427539e-05,1500.1616,1945.1854,2548.121,3481.236,0.004391883,2185.759,5.80922,4515789.5,5.962169,63.423885,-1.1683856e-05,1.5395623,1.8000499e-05,6.8606544,11.202465,0.6492812,8.996595,9.023335,-6.6102295,4.228298,-4.713146,-5.0257597,1.4853584,16.39612,2.2371638,-5.270996,-0.25465074,103_203_43_1_20250113_153626_gravy_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.10344821,0.98834115,0.0003133103,0.17891157,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.9715622e-06,1.380772e-05,1607.8286,3215.6572,4270.7944,5519.733,0.007709009,3248.5183,6.827465,6912183.5,3.4657419,34.26623,-1.3398175e-05,2.226673,2.1423655e-05,-0.6486662,11.292381,3.9473293,8.803026,10.308667,-10.215047,0.9047372,-0.7201965,-1.7700195,1.9214424,10.266214,-0.7687909,-6.8153434,-1.3784727,103_203_43_1_20250113_153626_gravy_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.11296028,0.98834115,0.00033091463,0.1707483,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.0042504e-06,1.4651385e-05,1607.8286,3237.1907,4672.752,7106.028,0.009283335,3556.077,7.14424,8110310.0,1.4725128,7.3781466,-1.4193476e-05,2.4242127,2.2402428e-05,-5.119623,11.009301,4.821722,9.102626,9.316993,-10.800162,0.6440394,1.2128311,2.4990885,4.9660697,8.343322,1.7511004,-3.7549646,-1.5991606,103_203_43_1_20250113_153626_gravy_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.08212578,0.98834115,0.00023253809,0.13151927,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.6590644e-06,5.4819084e-06,179.44514,1528.8727,2619.8992,5304.399,0.005971736,2056.4126,6.4898467,6444960.5,2.5310059,14.679988,-6.288266e-06,1.4298707,7.73813e-06,2.66628,9.622268,5.0850463,3.2486172,4.266918,-5.2274404,2.4216611,-2.2400799,6.896366,1.1179787,4.7988877,2.2252474,1.6714517,0.40182686,103_203_43_1_20250113_153626_gravy_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.061200622,0.98598963,0.00018751038,0.09206349,0.13206893,0.2875134,0.43418518,0.5698302,0.6539233,0.7370579,0.8091633,0.8994891,0.9667546,1.0123945,1.0974132,1.1998255,1.2281713,1.2417623,1.3012762,1.3601165,1.436533,1.4582201,1.4621128,1.4411407,1.386273,1.2480173,1.0665218,0.8901494,0.72719336,0.58862275,3.878656e-06,1.9897418e-06,71.77807,251.2232,875.6924,3165.4128,0.0035505008,981.1106,5.409967,4039196.8,4.8603578,40.756603,-4.7616645e-06,0.72863555,4.3975765e-06,9.623143,11.380165,2.2937486,1.4760092,3.6326218,-0.5556063,8.289619,-2.8982818,4.709256,3.1563256,9.313331,3.7520854,0.03567632,-0.16853578,103_203_43_1_20250113_153626_gravy_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.050789904,0.9870936,0.00016482391,0.084807254,0.13407384,0.29018393,0.4331292,0.5973485,0.6577204,0.70447177,0.77961,0.89756364,0.9706667,0.9901261,1.0884017,1.247167,1.2596073,1.2450001,1.2879895,1.3748999,1.4649569,1.4808937,1.4551853,1.412973,1.39162,1.2574105,1.0439512,0.88920784,0.7273436,0.58293027,3.4317816e-06,9.770437e-07,86.133675,279.93445,502.44644,1571.9396,0.0028730265,736.13837,5.2691593,3351467.2,6.419996,57.41711,-3.4789275e-06,0.5816765,3.1878842e-06,14.637179,11.542083,1.0948166,-1.3098644,1.1368452,-1.900968,10.767631,-0.7344842,-2.112041,-2.2833004,7.8184032,2.1579635,-4.379646,0.4933845,103_203_43_1_20250113_153626_gravy_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.0424705,0.9892311,0.00016046544,0.08321995,0.13497134,0.28651977,0.42953205,0.59675175,0.65629345,0.70058584,0.7708209,0.89229846,0.9609023,0.994514,1.0923504,1.2740502,1.2725214,1.2289119,1.2871591,1.3899256,1.496885,1.507206,1.4713383,1.4130808,1.3870096,1.2433354,1.0312171,0.8981331,0.72434705,0.5793464,2.5689399e-06,5.7083736e-07,71.77806,143.55612,301.46786,631.6469,0.0025361727,490.58975,4.605289,2787692.8,7.9963794,78.80213,-3.4351535e-06,0.40015998,3.0273595e-06,17.748144,12.48529,2.7865875,4.6526465,6.255213,-0.77602935,8.24558,-1.8813344,-6.9853687,-2.2430112,8.421497,2.6810455,-3.4300811,1.2007908,103_203_43_1_20250113_153626_gravy_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.03888368,0.9876542,0.00014907516,0.088208616,0.13534723,0.27330038,0.4095695,0.5896272,0.66059405,0.7325643,0.80489033,0.9067709,0.9758551,1.0121452,1.0824885,1.2474685,1.2521944,1.227292,1.2740659,1.3936776,1.4894137,1.5058393,1.470164,1.3943585,1.3695291,1.233221,1.0364869,0.90076566,0.7235961,0.577783,2.1067515e-06,4.3753258e-07,64.60026,136.37831,265.57883,631.647,0.0021413472,473.25662,4.3978024,3002541.8,8.340614,82.04229,-2.9056694e-06,0.38461944,2.0721625e-06,18.988424,10.344753,2.1729786,2.9562051,4.200657,-2.0449157,7.0959992,1.5630913,-4.6747584,-4.568833,7.7157073,7.0375004,0.2663788,4.918701,103_203_43_1_20250113_153626_gravy_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.035482813,0.98498774,0.00014581253,0.0845805,0.13113667,0.27648798,0.4151369,0.57606226,0.66616964,0.7607899,0.8261886,0.9242491,0.9767156,1.0230054,1.0825796,1.2060276,1.214015,1.2240462,1.2805686,1.3877684,1.4751891,1.4847115,1.446937,1.4058424,1.3609337,1.2216372,1.0479579,0.8976123,0.7199998,0.5779112,1.7050485e-06,3.7669403e-07,43.066837,78.95587,244.04541,559.86884,0.0017349645,428.56454,4.2015176,3037997.2,8.4566345,83.08566,-2.6673752e-06,0.34431458,1.4814372e-06,19.575848,10.384608,2.1923563,3.4253883,4.801809,-0.46008423,5.386843,-0.33905935,-1.2369314,0.36159673,8.33113,6.3896127,2.9921277,3.4878533,103_203_43_1_20250113_153626_gravy_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03403057,0.9799407,0.00015392953,0.082766436,0.13424927,0.28609982,0.42528534,0.5719752,0.6664439,0.74782604,0.8131931,0.91464525,0.9811096,1.0169501,1.0844145,1.1753334,1.2177262,1.2402734,1.30152,1.3761053,1.4288603,1.4547306,1.430111,1.3988441,1.3471495,1.2328035,1.0454246,0.88029844,0.7272044,0.57988316,1.5807681e-06,2.9625733e-07,50.244644,71.77807,193.80077,473.7352,0.0019421043,367.1934,3.7594414,2606316.2,9.787114,114.368774,-3.5459623e-06,0.2966588,2.3780433e-06,20.251173,10.831496,3.1779473,4.130837,3.2524025,-1.2332692,8.537515,3.7794583,0.31100956,1.0765784,8.325788,11.939395,4.8706517,4.7851825,103_203_43_1_20250113_153626_gravy_ground.wav
