end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.107616715,0.98834115,0.00049282634,0.20907028,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.6011306e-06,1.20531595e-05,854.15894,1672.4287,5010.109,7285.473,0.002611792,2941.6504,6.883597,9898622.0,1.4339892,5.3192463,-1.4100343e-05,2.0478942,1.7398115e-05,0.12151877,14.828427,4.8985343,7.8470893,12.315754,-3.3131745,6.849375,-9.467478,-7.100718,-13.216676,5.233276,-6.9755063,-3.3836687,3.5431635,103_203_45_1_20250113_153745_walnut_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.10694331,0.98834115,0.00040681395,0.1952381,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.5916594e-06,1.3218287e-05,839.8033,1672.4288,4600.9736,7098.85,0.0051227785,2898.947,7.0197372,8998232.0,1.4998164,6.0077,-1.21896155e-05,1.9999541,1.633906e-05,-1.1974863,10.921674,7.1022925,8.048706,12.859597,4.141523,5.3477387,-6.9761257,-5.5451083,-9.979234,1.2780572,-9.908381,-2.2765813,3.4644814,103_203_45_1_20250113_153745_walnut_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.09679224,0.98834115,0.0002979173,0.16598639,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.5813928e-06,1.2384666e-05,811.0921,1658.0732,3359.2136,6452.8477,0.006218746,2607.4397,6.8299146,7570532.0,1.9767084,9.627686,-9.206174e-06,1.789698,1.3582576e-05,-0.6521201,9.347569,8.660057,5.1859865,12.756738,5.30608,4.686949,-4.7080016,-5.246143,-5.4544697,0.3521606,-6.401303,-2.057439,1.7483543,103_203_45_1_20250113_153745_walnut_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.06623931,0.98834115,0.00018687073,0.11564625,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.130726e-06,3.2161372e-06,129.20052,279.93445,1457.0946,4105.705,0.0044479226,1345.3014,5.920042,5649002.5,3.3996675,20.412249,-4.520051e-06,0.96717376,5.1336606e-06,6.5627894,11.548648,9.028713,3.2655401,6.7352853,1.5273457,0.8237777,-6.3048706,-5.2837806,-1.6227771,1.1721772,-6.401838,-1.847032,2.0168312,103_203_45_1_20250113_153745_walnut_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.049749825,0.9798815,0.0001520236,0.08956915,0.1313927,0.27702537,0.42327866,0.5307522,0.6362982,0.7529294,0.83794594,0.91457766,0.9413481,1.0335112,1.0835198,1.1894361,1.2030886,1.2506561,1.3058472,1.3994087,1.4423696,1.4534022,1.457884,1.425291,1.3255806,1.2048253,1.0691246,0.87741137,0.72047955,0.5895347,3.1882894e-06,8.8649193e-07,129.20052,244.04541,480.91306,2490.6987,0.0026163738,917.9661,5.2666144,4662177.0,4.784242,33.06408,-2.7894366e-06,0.6908645,2.7096173e-06,10.924415,12.5645895,7.6515527,0.6931863,5.62068,-4.2242637,1.1932493,-4.513191,-6.51214,-0.425601,2.9312963,-4.6840806,-2.2762518,1.4513597,103_203_45_1_20250113_153745_walnut_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.04252332,0.97213703,0.00013396204,0.08390022,0.13443117,0.2725689,0.43255103,0.5230258,0.61763126,0.75605696,0.8383557,0.9125002,0.9146321,1.0473372,1.0563809,1.1851659,1.1760398,1.2486719,1.2691101,1.3984789,1.4434131,1.4745378,1.4264656,1.3903313,1.3200388,1.2088617,1.0716397,0.8643374,0.70842224,0.5845765,2.3602586e-06,5.683671e-07,114.8449,222.51198,358.8903,1270.4717,0.0018518004,720.53143,4.975837,4144269.0,6.0408607,46.204494,-2.1696228e-06,0.56912607,2.089416e-06,15.041621,10.438525,3.9738426,-0.08732808,3.915866,-1.934194,2.209933,-5.005625,-8.530136,-0.026660899,-1.1623087,-7.7415996,-3.2996757,0.15989415,103_203_45_1_20250113_153745_walnut_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03633898,0.9697523,0.00011727229,0.08208617,0.13834767,0.27118862,0.4348257,0.53436893,0.6303618,0.76221395,0.8360252,0.89650995,0.90830946,1.0470572,1.0566646,1.181083,1.1588165,1.2410706,1.258473,1.3852849,1.4408921,1.4796432,1.4265026,1.3886787,1.3114337,1.1982795,1.0665457,0.8659008,0.7089553,0.58612746,1.0720778e-06,3.844581e-07,93.311485,165.08954,330.1791,940.29266,0.0014309799,620.6172,4.7000585,4119159.0,6.7728505,54.650654,-1.7242925e-06,0.4930339,1.3471373e-06,17.467802,10.394297,2.5015333,0.581371,7.147581,2.122943,4.1620035,-3.8582954,-4.6124682,2.668279,-1.7726446,-7.024498,-5.507396,-0.38840875,103_203_45_1_20250113_153745_walnut_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.034875933,0.9711545,0.0001119592,0.07324263,0.13656968,0.2628612,0.43459532,0.5492103,0.6623021,0.76326174,0.83163756,0.8900934,0.91471213,1.0262538,1.0556284,1.1510015,1.1703137,1.256369,1.290508,1.3599186,1.4183146,1.4649209,1.4262733,1.3956438,1.3314645,1.2184008,1.0600123,0.87535906,0.72164917,0.5827424,1.2361896e-06,3.6087576e-07,57.42245,150.73393,351.7125,846.98114,0.0011514261,595.43695,4.70559,4263067.5,6.9999027,56.89504,-1.6703328e-06,0.47591245,1.2457048e-06,19.258818,9.7239275,-0.04104173,1.4054204,4.7493935,2.569165,3.65285,-5.2060857,-5.9918504,4.2893186,0.047054928,-4.3920727,-3.7350924,0.038672764,103_203_45_1_20250113_153745_walnut_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.033764195,0.97417665,0.00011143342,0.07029479,0.13064866,0.2648541,0.4344639,0.5582852,0.6703765,0.76267844,0.83758277,0.8904956,0.94555163,1.0109091,1.0655893,1.1533158,1.1871918,1.2400222,1.3052448,1.3551788,1.417466,1.4509302,1.4438893,1.4102378,1.3371024,1.2118727,1.0577606,0.882385,0.71935445,0.58520514,1.7856904e-06,3.2600838e-07,71.77807,193.80078,358.8903,846.98114,0.0012246851,617.4971,4.689521,4441358.5,6.87607,54.751175,-1.5600355e-06,0.4975889,1.1638282e-06,19.278381,10.861119,-1.1211375,0.3970952,4.2200594,0.99743575,-1.8738292,-7.6929984,-6.1621475,2.6193864,3.0377357,-1.6411804,-0.9252877,2.6716223,103_203_45_1_20250113_153745_walnut_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03398781,0.97023344,0.000110054796,0.06825397,0.12785727,0.27168506,0.4253554,0.53509325,0.6541279,0.76412827,0.83778715,0.91064805,0.9464275,1.0235908,1.0636983,1.1545538,1.1833879,1.2486151,1.2940546,1.369083,1.4070629,1.4396868,1.4372438,1.4009017,1.3203219,1.202685,1.0558475,0.86559623,0.70746154,0.5791709,1.851005e-06,3.7906156e-07,43.066837,236.86761,459.3796,947.4704,0.001202696,698.59424,4.8077106,4998995.5,6.4489303,48.246967,-1.3735466e-06,0.5611673,1.0311655e-06,19.267775,8.380129,-3.747936,-1.0929801,-0.052235443,0.59787935,-2.794913,-8.816679,-9.618179,-0.5689592,3.4375966,-1.0355726,-0.9696786,3.5546992,103_203_45_1_20250113_153745_walnut_board.wav
