end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.15785636,0.98834115,0.00044858805,0.23696144,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.0889586e-06,3.7446862e-05,3122.3457,4600.9736,6050.8906,8398.032,0.0046990807,4902.471,7.9014373,7710100.0,1.1430554,5.603516,-2.966226e-05,3.324401,5.2450152e-05,-12.804017,5.481048,2.2895815,-2.2838814,5.0930023,-6.1384125,0.6167814,-9.604516,-4.7456927,5.8858705,5.869288,1.4038249,3.9115717,-1.0653124,103_203_49_1_20250113_153839_christmas_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.118846655,0.98834115,0.000319464,0.18616779,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.999787e-06,2.1159227e-05,1758.5626,2878.3,4859.3745,7228.051,0.0059370683,3625.9866,7.4999714,7574921.5,1.4889326,7.0069556,-1.6952334e-05,2.475907,2.8954242e-05,-5.525536,6.784056,3.211404,-1.9275904,4.7977214,-6.1442313,2.1618311,-9.507775,-5.255478,1.2267395,1.0247666,-0.07663854,1.6208221,-0.51242644,103_203_49_1_20250113_153839_christmas_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.075187884,0.98834115,0.0001818355,0.1276644,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.7241161e-06,4.5634965e-06,330.17908,1091.0265,2741.9219,5067.531,0.0066209063,2007.808,6.672447,6607947.5,2.5829298,14.448245,-4.3258365e-06,1.4001827,4.80591e-06,3.9280345,8.013169,5.1751614,-0.1189479,5.563591,-3.9774666,4.01886,-11.447125,-5.8655906,1.4107312,-0.9147087,1.3997358,1.8895411,0.79040974,103_203_49_1_20250113_153839_christmas_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.05748685,0.98834115,0.00014655832,0.1047619,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.9020238e-06,1.5601275e-06,129.20052,308.64566,1370.9609,3230.0125,0.0024954164,1207.7225,5.913448,5135368.5,4.097851,27.401796,-3.0028311e-06,0.88460225,2.6711402e-06,9.112475,8.584988,5.9398017,0.876668,4.499868,-6.2008452,2.013893,-14.689316,-8.28719,-1.2737702,2.015147,4.032946,1.9484068,2.2759242,103_203_49_1_20250113_153839_christmas_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.05036196,0.98267657,0.00013624864,0.093650796,0.125529,0.2622987,0.4184611,0.54897887,0.65403056,0.74392265,0.85878277,0.91661924,0.95519453,1.0208676,1.092052,1.1592019,1.2025666,1.2742049,1.3137366,1.3679098,1.4249943,1.4499909,1.4495717,1.410292,1.3509744,1.2315632,1.0649457,0.90968585,0.7497352,0.593479,3.1418695e-06,1.3114251e-06,64.60026,301.46786,689.06934,2232.2976,0.0019257059,961.17035,5.6059546,4790833.5,4.8633823,33.03306,-2.4730914e-06,0.7357416,1.9028284e-06,11.60031,5.1722465,2.6906202,1.4808191,4.6277347,-5.6611857,-3.0962658,-14.840514,-8.86849,2.493144,6.658319,5.8774495,3.8054152,-0.11690426,103_203_49_1_20250113_153839_christmas_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.047100782,0.97340566,0.00013014277,0.090022676,0.12830062,0.26670173,0.42470276,0.55097383,0.64084125,0.7202508,0.8562127,0.9167201,0.9341345,0.9784309,1.0593797,1.154346,1.1641442,1.2607852,1.3026361,1.3854977,1.4306245,1.4500808,1.4355216,1.3763995,1.3304366,1.2304454,1.0653023,0.90886694,0.7496044,0.58720756,2.701866e-06,1.1365439e-06,100.48929,315.8235,717.7806,1995.4302,0.0018048761,956.4605,5.5605063,5071045.5,5.255454,36.63725,-1.958163e-06,0.7395037,1.7877852e-06,12.810769,3.202075,1.5636662,2.1663947,2.9682868,-6.6730494,-5.7286067,-11.205392,-9.979098,-3.9988205,3.2850983,1.8614554,1.8569522,-0.94882995,103_203_49_1_20250113_153839_christmas_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.045093972,0.96586114,0.00012573024,0.09274376,0.13318656,0.2714052,0.4327828,0.55843,0.63964355,0.7269583,0.8606556,0.91878414,0.93063164,0.9744198,1.0470186,1.140143,1.1214328,1.2512884,1.2795228,1.3790804,1.4219383,1.43843,1.4216269,1.3483075,1.3131821,1.2234093,1.068459,0.8938598,0.7386344,0.5791588,2.1299936e-06,1.0694256e-06,93.311485,301.46786,760.8475,1873.4076,0.0017068639,905.00555,5.4780364,4861103.5,5.8022647,44.49164,-1.8251095e-06,0.7040015,1.5614891e-06,14.174853,2.7384245,0.49177042,2.6827462,1.7705945,-0.9549236,-3.6361933,-8.668753,-6.243016,-4.053489,-2.8175595,-3.922684,-1.2207862,-0.93774253,103_203_49_1_20250113_153839_christmas_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.044326205,0.9649257,0.00012865737,0.093877554,0.13531756,0.27299806,0.43082127,0.5673272,0.66718656,0.7354083,0.8248341,0.9047815,0.9550495,1.0092252,1.0635201,1.1431661,1.1290586,1.2343049,1.2859229,1.3683184,1.3894061,1.4339075,1.401379,1.3567487,1.327227,1.2110835,1.060942,0.8863084,0.72038054,0.57344395,2.9598798e-06,9.561326e-07,129.20052,244.04541,488.09082,1342.2496,0.0016044612,691.89594,5.143047,3761354.8,7.135229,64.02968,-2.4185608e-06,0.557995,2.1530734e-06,17.216516,5.248054,2.7104053,4.208261,4.7944064,1.5183612,-3.2789953,-11.160481,-8.203456,-6.85915,-5.4417453,-6.438109,-2.4132106,1.9059099,103_203_49_1_20250113_153839_christmas_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.04269287,0.96546096,0.00012895696,0.084353745,0.13107513,0.26242948,0.42042783,0.5560456,0.6712089,0.7525566,0.81441265,0.9048597,0.9679418,1.0267116,1.0679628,1.1231409,1.1747676,1.2473544,1.3029542,1.3314458,1.3784562,1.4124786,1.3883075,1.3818649,1.3290986,1.2097312,1.0594131,0.88753027,0.7218644,0.5779446,2.8724426e-06,9.965155e-07,100.48929,229.6898,509.62427,1040.7819,0.0017158972,609.51465,5.0533257,3163899.0,7.6615167,71.63134,-2.4939993e-06,0.50629365,2.297672e-06,19.190027,6.9698734,-1.0225759,3.826175,7.3386426,4.35687,0.49033865,-10.9570265,-9.215198,-3.188325,-1.6504704,-2.7685745,-3.2621157,-0.28152737,103_203_49_1_20250113_153839_christmas_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.041608382,0.9723142,0.00013345074,0.077551015,0.12790416,0.25852987,0.40878558,0.5426877,0.66092616,0.7534368,0.8363096,0.9095888,0.9542516,1.0085126,1.0775447,1.1320677,1.2033318,1.2589434,1.3148657,1.3516841,1.4187366,1.4419905,1.4129524,1.4033823,1.3292141,1.2100734,1.050362,0.8991134,0.73172283,0.58325195,2.4029584e-06,9.1877195e-07,107.66709,193.80077,466.5574,1026.4263,0.0017141498,598.83307,5.0572853,3231816.2,7.643791,70.673904,-2.4403853e-06,0.49747476,2.003859e-06,19.531593,7.6982517,-1.4606668,3.8474064,7.7856154,4.9474187,2.6578102,-8.933499,-6.9936485,-3.5566795,1.920771,-0.31801465,-0.0037784576,-1.4088879,103_203_49_1_20250113_153839_christmas_board.wav
