end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.08898383,0.98834115,0.00029108144,0.1659864,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.5593341e-06,1.4012258e-05,1600.6508,2081.5637,2612.7214,3904.7266,0.0062039015,2436.137,5.886826,4579512.5,5.4817796,49.31691,-1.6969301e-05,1.7223753,3.0291509e-05,6.6992073,7.8667397,0.32762274,2.8253057,5.7523937,-7.711721,3.6500013,-9.10938,-15.125463,-2.1672647,4.0214906,-9.0704775,-3.978902,5.380121,103_203_52_1_20250113_154037_zipper_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.11438519,0.98834115,0.00035812354,0.17687075,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.3604937e-06,1.8656174e-05,1794.4515,3064.923,4177.483,5921.69,0.011309336,3377.293,6.7984138,6687704.0,3.2772493,27.074736,-1.9978257e-05,2.333598,3.5232588e-05,-0.5414033,8.821139,1.5469075,0.71561265,8.269988,-2.993191,3.6037674,-10.019565,-12.510422,-3.4747877,0.038986366,-6.069348,-4.5350018,1.1926359,103_203_52_1_20250113_154037_zipper_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.12641303,0.98834115,0.00037861243,0.1770975,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.1005837e-06,1.95173e-05,1808.8071,3251.546,5491.0215,7515.1636,0.013044997,3927.8281,7.5180907,8196745.5,1.2791947,5.74295,-2.0590203e-05,2.6840465,3.607839e-05,-6.336347,10.324211,2.6982481,-3.9086812,7.169369,1.7677816,6.7753816,-8.512021,-6.409315,-4.505219,1.1688117,0.9365489,-2.1291847,-2.985278,103_203_52_1_20250113_154037_zipper_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.08634796,0.98834115,0.00022368203,0.15623583,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.957112e-06,6.7173787e-06,358.8903,1471.4502,3488.4138,5914.5117,0.007670879,2331.0017,6.9563656,7363688.5,2.0721345,10.795703,-6.2095824e-06,1.6183052,8.587677e-06,2.3878107,10.230412,2.9361534,-7.476191,5.137822,1.1545653,0.6399557,-10.961174,-4.246427,-0.30269727,2.535207,4.371822,-1.545781,-3.518962,103_203_52_1_20250113_154037_zipper_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.06570838,0.9977929,0.00016519307,0.11927438,0.13301799,0.2806878,0.42198798,0.5654417,0.6759197,0.7723565,0.87383366,0.93426114,0.99713486,1.0828788,1.1744151,1.1993028,1.2524155,1.2977985,1.3369818,1.3576088,1.414743,1.4516536,1.445984,1.4113579,1.3645655,1.2326816,1.0393535,0.8849446,0.744374,0.5969142,4.689801e-06,2.2683203e-06,186.62297,531.15765,1981.0746,4084.1711,0.0031355675,1480.9463,6.3466797,5489222.5,3.565735,23.260887,-3.4791872e-06,1.073554,3.7547368e-06,7.8305435,9.365113,2.958676,-8.991064,0.45385703,-2.7571924,1.4707651,-9.917568,-1.9073238,0.40655327,7.652838,8.2345705,1.6596402,-4.6712513,103_203_52_1_20250113_154037_zipper_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.054161176,0.99387527,0.00014582119,0.09682539,0.13472761,0.28158733,0.41120633,0.5566234,0.6730675,0.75960654,0.8805294,0.9563975,1.0097234,1.1030841,1.2063311,1.200951,1.2521561,1.2898682,1.3373832,1.3113087,1.3963052,1.4424869,1.430453,1.3786697,1.3589702,1.2172203,1.0190701,0.8801425,0.75058013,0.6023073,4.1971157e-06,1.5558793e-06,186.62297,387.60153,868.51447,2591.188,0.0020330597,1062.2993,5.9103503,4742400.5,4.832461,33.40575,-2.589194e-06,0.8201883,2.456705e-06,12.048139,7.3852706,-0.053971928,-6.6169906,2.0936449,-4.143394,-1.116118,-13.055808,-7.631134,-1.85353,6.508798,7.929251,0.75428575,-3.5079305,103_203_52_1_20250113_154037_zipper_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.04690194,0.98767954,0.0001327729,0.09160998,0.13625117,0.2800584,0.41696894,0.55695516,0.679256,0.758065,0.88816833,0.94987184,0.99592304,1.0950083,1.2044191,1.1871604,1.2289699,1.2787366,1.3132452,1.2761502,1.3979588,1.4576133,1.4297953,1.3658956,1.3624477,1.2158759,1.0001341,0.8686447,0.74272823,0.5933676,3.3485583e-06,1.228457e-06,122.022705,358.8903,696.24713,1500.1615,0.0016583236,885.13446,5.6046615,4515364.0,5.773521,42.723537,-2.1309227e-06,0.7096727,1.8799077e-06,15.457515,6.039124,-3.0535736,-4.4758124,4.5078645,-4.9499516,-1.4855467,-10.245747,-8.89146,-5.0875206,6.977859,10.78854,-1.1398131,-5.5857463,103_203_52_1_20250113_154037_zipper_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.040048387,0.9817977,0.00012300939,0.092743754,0.13760996,0.27778503,0.41756144,0.5517492,0.6850173,0.7851465,0.8773615,0.9366788,0.9748004,1.051792,1.1351885,1.1696206,1.1735317,1.2590164,1.3086356,1.2977792,1.4142551,1.4599725,1.4448255,1.393393,1.3534743,1.195671,1.0156609,0.8784062,0.74138975,0.5904177,2.2209006e-06,8.4686195e-07,78.955864,294.29007,617.2913,1148.449,0.0015501636,798.4069,5.3296113,4778101.5,6.1732955,46.244476,-1.7211738e-06,0.64089453,1.347092e-06,17.470797,8.446381,-3.4457607,-3.0643759,5.0756617,-0.99348164,-2.5811608,-7.6824136,-10.279156,-7.648709,7.6311173,5.8995857,-4.3866653,-4.681476,103_203_52_1_20250113_154037_zipper_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03696544,0.9858416,0.000119546945,0.093877554,0.13351725,0.27330428,0.42059186,0.55764556,0.6867997,0.7870488,0.8730483,0.9319484,0.9779372,1.049789,1.122898,1.1903564,1.1876621,1.2517104,1.309976,1.3483849,1.4352016,1.4633698,1.4444247,1.4028233,1.3505468,1.2084379,1.0320085,0.8719411,0.7345713,0.5859358,2.0638815e-06,5.1932346e-07,35.88903,258.40103,509.62427,983.3594,0.00136512,732.2309,5.1428494,4786508.5,6.3759446,48.19618,-1.5665852e-06,0.58999145,1.289548e-06,18.577658,8.913537,-2.7851188,-4.6277466,2.7364457,0.004037062,-3.3370368,-5.925695,-6.309559,-8.318104,3.4165077,2.8692973,-5.0051312,-4.9273853,103_203_52_1_20250113_154037_zipper_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.037768018,0.9926119,0.00013206387,0.07278911,0.13283603,0.27849984,0.42233297,0.5698609,0.6959931,0.7824126,0.85597914,0.9456072,1.0107054,1.0804697,1.1399657,1.2056893,1.2308673,1.269321,1.318787,1.364838,1.4301662,1.4359092,1.4290657,1.3998917,1.3533581,1.2212362,1.0371293,0.8767218,0.73138636,0.58887964,3.7469247e-06,6.1175047e-07,86.133675,244.04541,466.5574,868.5146,0.0017146375,633.836,4.9450264,3939086.8,7.8005524,75.049644,-2.381599e-06,0.5269459,1.8897869e-06,20.63672,10.754776,-3.7021034,-2.893218,3.12298,3.1475296,-5.669895,-10.001711,-10.025912,-8.251841,-0.9254443,-1.7409462,-0.8276534,-2.9719894,103_203_52_1_20250113_154037_zipper_board.wav
