end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.119819485,0.98834115,0.000374463,0.2521542,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.1378958e-06,1.6691183e-05,2440.454,3832.9485,6639.4707,9603.904,0.002711803,4685.1367,7.9924893,11316144.0,1.0386753,4.4585443,-1.14080385e-05,3.2293122,2.1813621e-05,-7.1803646,6.5950913,2.5039995,-1.212964,4.693339,-3.277095,1.327639,-5.1838613,-1.226457,-10.1712675,-8.403708,0.93323326,7.051786,-0.63770294,103_203_53_1_20250113_154055_river_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.09269103,0.98834115,0.00026554425,0.19138323,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.6090762e-06,9.549502e-06,1306.3607,2131.8083,4859.3745,7909.942,0.0037203748,3311.7458,7.2904468,9736015.0,1.5853596,6.8213043,-7.3519846e-06,2.294158,1.26435725e-05,-2.0232754,9.283321,4.582278,1.275699,2.8399365,-1.7275491,2.5595067,-5.934366,-0.7981081,-7.209474,-8.965991,1.909659,3.2586346,-2.357131,103_203_53_1_20250113_154055_river_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.062256765,0.98834115,0.00015779735,0.12539683,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.1635861e-06,2.2741065e-06,165.08955,387.60153,2397.3875,4823.486,0.004200377,1639.1422,6.2341447,7019269.5,3.0924008,18.130497,-3.2642981e-06,1.1620516,3.3972674e-06,5.718842,10.824372,6.676665,3.3882742,5.2240696,-0.32391986,1.9113802,-6.042998,-4.470125,-4.966209,-6.9826984,3.3603604,0.6457511,-0.3575929,103_203_53_1_20250113_154055_river_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.047188744,0.98834115,0.00013339923,0.10861679,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.0888695e-06,7.753479e-07,114.8449,244.04541,1105.3822,2993.1453,0.0019595989,1091.6917,5.592076,5629485.5,4.692855,32.77333,-2.068846e-06,0.8094817,1.9333565e-06,11.138394,11.731468,3.8565273,0.7366709,6.5140195,-1.752059,1.9846731,-5.393727,-3.121217,-0.6026707,-0.91877145,3.050331,-0.5342602,3.8578308,103_203_53_1_20250113_154055_river_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.041060273,0.98549384,0.00013011317,0.10045352,0.1287807,0.27667263,0.41482463,0.54175514,0.6566127,0.7514766,0.8234286,0.9127166,0.986499,1.0298514,1.0992818,1.1361653,1.2042726,1.2678057,1.3162396,1.3972074,1.4316441,1.4620777,1.4762393,1.424023,1.350193,1.2187226,1.0733737,0.8984774,0.74493045,0.59956336,2.5428e-06,5.224255e-07,78.955864,236.8676,409.13492,1263.2938,0.0014457771,707.06024,5.022871,4118678.0,6.386168,50.999424,-1.9805677e-06,0.5616095,1.800042e-06,16.16649,9.896324,1.879663,-0.20476,6.1138587,-0.862339,-1.4692854,-6.3415413,-10.8021555,-3.564949,1.8490556,0.7121322,2.3568895,6.3433843,103_203_53_1_20250113_154055_river_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.037468202,0.9830189,0.00011938936,0.09342403,0.13088544,0.28140032,0.4026014,0.5246132,0.63634604,0.73369867,0.7938719,0.91789776,0.98493767,1.0310093,1.1009508,1.1432589,1.1957855,1.2720127,1.2962955,1.4018087,1.4083582,1.4679484,1.5059953,1.4341826,1.3416573,1.2395247,1.0816954,0.89287496,0.74179125,0.59708613,2.2238985e-06,4.006338e-07,50.244644,222.51201,466.55737,954.64825,0.0013820967,654.4375,4.764698,4220613.0,6.800177,54.98026,-1.7646256e-06,0.5278168,1.4306505e-06,18.012491,8.320404,-2.1222243,-1.0082096,4.8606296,0.7511883,-0.5278892,-4.189635,-10.645594,-6.034397,1.2475809,-1.729174,2.799557,6.5600033,103_203_53_1_20250113_154055_river_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.035229806,0.97595024,0.0001125175,0.08798186,0.13151418,0.280926,0.3989514,0.5263215,0.6361849,0.73288226,0.7842429,0.89517194,0.9659557,1.0330247,1.089874,1.1242417,1.1928064,1.2515098,1.2805251,1.387177,1.3915925,1.4583716,1.5019354,1.4145603,1.3341794,1.2584614,1.0883185,0.8866377,0.738184,0.5911558,1.8284658e-06,4.0169525e-07,21.533419,208.15637,430.66837,997.715,0.0013070103,665.1677,4.646007,4684211.5,6.683889,52.563293,-1.5792962e-06,0.5300912,1.1980836e-06,17.998695,6.668123,-2.483874,1.2271465,6.8183274,4.3992505,-1.8975283,-6.9297814,-15.546008,-12.509896,0.3377956,-0.07928944,3.132921,5.0902314,103_203_53_1_20250113_154055_river_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.034289155,0.9759739,0.000105718755,0.088208616,0.13168454,0.28114128,0.40252972,0.53655523,0.66408443,0.7534577,0.80605406,0.9082422,0.9544017,1.0338184,1.1013316,1.1402429,1.1855446,1.2443595,1.2928892,1.3837742,1.3725697,1.4319199,1.4774545,1.4182385,1.3338575,1.260965,1.0767957,0.8802021,0.72053367,0.5826752,1.2666511e-06,3.895997e-07,21.533419,215.33418,567.0467,1105.3822,0.0011705788,745.3995,4.760163,5401250.0,6.1551137,44.389374,-1.3062709e-06,0.58807904,9.3339867e-07,17.689112,6.072661,-5.013525,0.2557508,8.056634,1.3081279,1.2003897,-5.754152,-10.364701,-9.903854,-1.9615507,-1.4143289,0.2928059,6.4045715,103_203_53_1_20250113_154055_river_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.035122033,0.97708756,0.00011116081,0.08367347,0.13006863,0.27957013,0.41244033,0.5586325,0.6795309,0.7674951,0.8410831,0.91254663,0.9660621,1.0278124,1.0960425,1.1295928,1.1826377,1.2489462,1.2949,1.3818164,1.3948005,1.4210507,1.4564104,1.4252974,1.334772,1.2227807,1.0568303,0.88134235,0.7157039,0.5861113,2.6499317e-06,3.8596303e-07,86.133675,279.93445,488.09082,1040.782,0.0013732169,709.8553,4.7578692,4737517.0,6.813488,55.4612,-1.5541133e-06,0.5784064,1.3150335e-06,18.710756,6.8640075,-4.084828,-1.6105734,3.1514308,-1.7623984,-1.668475,-9.512904,-14.272141,-11.663452,-5.584198,-2.772829,0.5344533,4.22181,103_203_53_1_20250113_154055_river_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.036220472,0.9777584,0.00011277488,0.08594104,0.13239533,0.27801624,0.4089147,0.54881924,0.6748337,0.7571147,0.8262944,0.9095063,0.9879985,1.0367075,1.0933001,1.1427919,1.1872112,1.2666084,1.2948204,1.3741279,1.3922921,1.4441189,1.4624909,1.4418541,1.330226,1.197391,1.0467151,0.8785016,0.7208576,0.5878107,2.6854666e-06,3.9690028e-07,86.133675,222.51201,502.44644,990.5373,0.0016602423,645.0175,4.62394,4103264.0,7.241066,62.21376,-1.7706725e-06,0.5303969,1.4143478e-06,19.40458,7.0931416,-4.273236,-3.843549,1.1032616,-3.1560707,-2.1577785,-4.8149323,-8.692526,-6.7696033,-2.9175425,-2.1165323,1.8966261,4.0046573,103_203_53_1_20250113_154055_river_board.wav
