end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.08537128,0.98834115,0.00026157952,0.13673468,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.5272055e-06,5.304482e-06,172.26735,215.33418,696.24725,3359.2131,0.001714598,994.50494,5.5039096,3914153.8,3.577138,19.756027,-1.2300551e-05,0.7611771,1.3860979e-05,9.87026,12.73578,3.6220694,-1.1845206,5.7806525,6.873226,2.835431,-11.987541,-7.387832,-4.6555696,-0.50914663,-9.229096,-6.792038,-3.6925604,108_208_12_1_20250114_162456_flower_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.07082933,0.98834115,0.00021795894,0.10952381,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.941101e-06,3.4666882e-06,157.91174,208.15637,602.9357,2677.3215,0.0025558167,923.1741,5.480702,3828262.2,4.2944703,28.07797,-8.007894e-06,0.71024495,9.056833e-06,10.979772,11.540301,3.9229763,0.6102247,7.6520534,2.7621362,-0.97419506,-12.196835,-1.2491039,-4.838742,1.1414506,-6.3521976,-7.459825,0.22890107,108_208_12_1_20250114_162456_flower_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.062553346,0.98834115,0.0001740845,0.08321995,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.7868266e-06,1.960316e-06,157.91174,294.29007,1902.1187,3136.7012,0.0034353107,1272.1718,5.8015733,4388738.5,3.6905572,25.486525,-4.248641e-06,0.9067684,4.294304e-06,9.489483,10.730323,7.513086,-1.273396,13.225364,-7.4830565,-2.8429673,-14.118794,2.8407135,-8.670871,-1.5857668,4.0648327,-10.545941,1.8228933,108_208_12_1_20250114_162456_flower_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.054768007,0.98834115,0.00014533439,0.079138316,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.7485814e-06,1.5222435e-06,136.37831,287.11224,1887.7631,2533.7656,0.002657452,1179.3116,5.6750693,4282788.0,4.7343574,38.451138,-3.0897336e-06,0.84286267,2.7120122e-06,11.84308,8.630548,6.9401793,-3.4618804,14.359971,-7.6506057,0.084052086,-12.027217,-0.14219029,-7.693842,-3.3390172,3.937705,-9.585124,1.694809,108_208_12_1_20250114_162456_flower_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.048718978,0.98604965,0.0001287106,0.08027211,0.13011217,0.27383104,0.4041411,0.5434895,0.6651688,0.76851606,0.83982205,0.9151227,0.98126596,1.0367699,1.1309944,1.1704379,1.2285951,1.2685207,1.3303216,1.3582729,1.4012634,1.4434038,1.4615489,1.4236469,1.3416901,1.2377526,1.0768657,0.89063144,0.72345185,0.5916527,2.448366e-06,1.1007372e-06,122.022705,287.11224,1830.3405,2289.72,0.0021925399,1134.1436,5.49959,4749373.5,5.025416,40.014347,-2.5902057e-06,0.81146747,1.945301e-06,13.690074,8.902759,8.371943,-5.4403777,9.152265,-8.766559,3.0863507,-6.8470864,-5.8600426,-8.67092,-1.6847628,6.8050694,-7.7478485,-2.9023287,108_208_12_1_20250114_162456_flower_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.037770014,1.0260534,0.00011943255,0.07845805,0.1331066,0.27621204,0.40866557,0.54443675,0.6678582,0.75004846,0.83601975,0.92098147,1.0011349,1.0375824,1.2054577,1.227822,1.2655638,1.3156503,1.3447965,1.3459557,1.4704195,1.5346017,1.5414237,1.5209662,1.4378351,1.4041052,1.2088037,0.9256091,0.74076575,0.61156565,1.8217346e-06,3.7888535e-07,86.133675,179.44514,344.5347,904.40356,0.0018607858,658.6694,4.9881454,4451272.5,6.5339255,51.70055,-1.8087491e-06,0.5192194,1.1904458e-06,16.837406,10.677531,6.1887107,-2.9704883,5.0343494,-0.35227904,1.5654188,-0.73832935,-10.029052,-5.1548905,0.8660743,-0.08892318,-0.9722895,0.15773933,108_208_12_1_20250114_162456_flower_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.036969695,1.035591,0.00011904748,0.07687075,0.12891592,0.27521268,0.41117772,0.5429896,0.67429686,0.7526407,0.83301765,0.929229,0.9994926,1.0541221,1.2184129,1.2508429,1.274598,1.3211294,1.3512512,1.3620553,1.4908842,1.5899206,1.5585771,1.5241103,1.4407107,1.4395027,1.2318348,0.9246356,0.74030703,0.6054998,1.6993089e-06,3.5047333e-07,57.42245,186.62297,366.0681,976.18164,0.0014527299,726.42975,4.956157,5114085.5,6.034664,43.616055,-1.6373424e-06,0.56425613,1.115129e-06,15.845134,10.748055,6.6300673,-4.9149146,1.0733881,1.8204284,-2.6026208,-2.0657167,-9.187578,-5.787477,-0.5282003,1.7287856,-2.0111325,1.7085066,108_208_12_1_20250114_162456_flower_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.036145482,1.0313991,0.00011646673,0.070068024,0.12822257,0.27531734,0.406446,0.54119426,0.66861844,0.76886064,0.83431864,0.9097879,1.0059032,1.0518275,1.1671777,1.2406172,1.2864106,1.3422829,1.3666438,1.3599046,1.47406,1.5904039,1.5445627,1.5130006,1.4436069,1.4350033,1.224881,0.91262275,0.73126554,0.5934369,1.4601063e-06,3.4917298e-07,35.88903,172.26735,387.60153,1105.3822,0.0015710787,754.6856,4.8584437,5535885.0,5.783446,40.46932,-1.5202932e-06,0.57334274,9.802161e-07,14.628537,9.716781,6.486517,-4.4330664,1.183424,4.4995303,-5.0901136,1.1276582,-3.9951115,-4.322442,0.35932288,4.01506,-3.7686403,5.8616652,108_208_12_1_20250114_162456_flower_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.05551834,1.0375477,0.000149082,0.10952381,0.13067703,0.2742187,0.4130276,0.5565957,0.6679611,0.7921669,0.85492516,0.922395,1.0249758,1.0933505,1.1639448,1.227588,1.2911505,1.3371369,1.3759499,1.4128731,1.4628973,1.5173198,1.551189,1.5608076,1.4776913,1.3736593,1.1813766,0.9426963,0.7552635,0.61440295,2.4637022e-06,4.4022e-06,301.46786,1363.7832,1952.3633,3445.347,0.0027128235,1810.3485,5.80051,7704378.5,4.2408514,27.92024,-2.940434e-06,1.260279,3.6401277e-06,8.963763,7.6912494,4.6354995,-8.848793,0.340614,2.7706528,-10.295129,2.3880537,-4.2091203,-1.0149636,6.927035,4.1264386,-5.1403832,3.653107,108_208_12_1_20250114_162456_flower_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.062643886,1.0145746,0.00015663244,0.13786848,0.13109599,0.27569613,0.42109057,0.55532634,0.6518751,0.7709734,0.84098816,0.9151054,1.0163388,1.0641092,1.1338327,1.1874753,1.2703791,1.2980494,1.3477856,1.3817449,1.4466597,1.4575086,1.4843003,1.5125548,1.4583536,1.3375767,1.1460326,0.9249668,0.74109435,0.60802937,2.2036868e-06,4.841488e-06,344.5347,1615.0063,3265.9016,5591.511,0.0035488612,2441.2607,6.46166,9698908.0,2.8542995,16.221415,-3.11821e-06,1.6713759,4.0231766e-06,4.698547,7.8875356,2.97075,-7.304297,7.013979,2.0894725,-8.266828,6.4176993,-7.474659,3.4910278,6.6120186,4.774182,-3.5141814,0.5481224,108_208_12_1_20250114_162456_flower_ground.wav
