end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.11129314,0.98834115,0.00037788958,0.17052154,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.2840962e-05,1.32332e-05,193.80077,387.60153,2907.0115,5849.912,0.002295653,2020.7972,5.844232,10843065.0,2.8939772,16.437044,-2.4031551e-05,1.465037,3.341124e-05,7.6425233,15.8378725,3.4098651,-3.9142172,17.23905,11.145848,-5.728067,-10.384404,-6.1579957,-4.0269203,0.99821407,-6.523538,-6.154244,-1.0969027,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.09192339,0.98834115,0.00034058245,0.10884354,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.0236136e-05,8.451809e-06,157.91173,279.93445,1622.1842,3409.458,0.004700352,1260.1407,5.1679797,6259580.5,5.2910557,51.2155,-1.9495834e-05,0.9446172,2.4844865e-05,12.142552,14.417712,2.906004,-1.6701337,15.454007,11.277957,-1.8117784,-9.591167,-3.8434217,-4.410905,2.3070488,-3.6801472,-4.6298833,-1.5005194,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.06543986,0.98834115,0.00027360747,0.055555552,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.9449217e-06,2.8901693e-06,157.91174,193.80077,287.11224,825.44775,0.0062994156,511.89758,4.2350063,1945449.5,7.500421,78.53641,-1.2790703e-05,0.43141904,1.5089019e-05,15.279846,13.530334,3.9351103,3.9189856,14.257573,8.34269,0.8548561,-12.255485,-7.451014,-8.310652,-0.9779447,-4.260567,-6.9362016,-2.7857006,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.05037762,0.98834115,0.00019639039,0.067800455,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.2075703e-06,1.4859539e-06,122.022705,179.44514,279.93442,689.0694,0.0048344443,474.17603,4.4225726,2107689.8,8.347188,90.60345,-5.9582067e-06,0.40065685,5.963171e-06,17.386545,12.351195,6.162533,4.9442644,12.466876,4.5858684,0.8457885,-10.411781,-9.100144,-4.8471985,8.472087,0.7547543,-6.7614837,-2.5832837,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.041095965,0.99328905,0.00015511626,0.077097505,0.13454704,0.269484,0.40592718,0.57931334,0.69192535,0.79409724,0.8825402,0.9717917,1.0168078,1.0599785,1.1306252,1.1728941,1.2360195,1.2626147,1.3336229,1.3707962,1.3969635,1.4431553,1.4396362,1.3945398,1.3420548,1.2111946,1.0700431,0.8952257,0.7329872,0.58672804,2.1887445e-06,6.625142e-07,129.20052,179.44514,251.22322,595.7579,0.0031622674,458.88852,4.276453,2337233.2,8.58462,90.22949,-3.487663e-06,0.38628426,3.9019255e-06,18.274385,12.81525,5.6774,7.408195,11.624336,3.4056625,1.7603434,-9.051429,-11.417056,-4.6266017,7.461019,1.9727646,-8.103664,-3.2004788,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03797816,0.9888262,0.00013330922,0.082993194,0.12883091,0.26117834,0.41273832,0.5843481,0.69065624,0.79634005,0.8573013,0.9944694,1.0076714,1.0479187,1.1589946,1.1747934,1.2397511,1.2536675,1.3542129,1.3656288,1.3609333,1.415358,1.4224817,1.3790051,1.3310047,1.1943964,1.075092,0.8963515,0.7243889,0.58196825,1.8017246e-06,6.292552e-07,78.955864,193.80078,323.00128,796.7365,0.0023353572,530.7219,4.6181693,3125072.0,8.01313,78.01481,-2.5854667e-06,0.4395926,2.3636408e-06,19.738531,10.622786,2.049187,5.415178,8.958096,0.2270209,-2.2296486,-5.905271,-13.198037,-1.5696388,12.900104,1.6139388,-7.6059966,-2.3085635,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.036253173,0.98421305,0.0001268807,0.0814059,0.13095935,0.2592714,0.4083749,0.58258504,0.68312407,0.8005693,0.8500507,0.9753478,1.0026048,1.0352381,1.1509881,1.1570626,1.2375374,1.2445612,1.3421144,1.3704858,1.3678774,1.4336271,1.424229,1.3740286,1.3287054,1.1984231,1.0606705,0.8874014,0.71305853,0.5706429,1.8537886e-06,5.551139e-07,57.42245,186.62297,394.77933,947.4704,0.0018832706,577.6766,4.7941275,3735398.0,7.7462745,71.97384,-2.1061337e-06,0.47505307,1.736471e-06,21.229362,8.880689,-1.8166353,2.5282352,7.1214385,-0.59692645,-3.5472202,-4.0799603,-10.349824,1.273405,10.455523,1.6956902,-6.1731105,-0.83864206,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.035022423,0.9761084,0.000119763055,0.07823129,0.13170807,0.26392418,0.41922876,0.5664021,0.6594402,0.7670134,0.8201954,0.9287831,0.9916746,1.0228353,1.1172856,1.1434873,1.2119795,1.2408472,1.3293934,1.3625436,1.3880415,1.425821,1.4207853,1.3813063,1.3297876,1.2083478,1.0675951,0.8871794,0.720448,0.5727642,1.6485891e-06,6.03558e-07,43.066837,186.62297,437.84616,1062.3153,0.0015214157,640.178,5.003667,4295831.0,7.033074,57.140453,-1.6083353e-06,0.5218635,1.0988613e-06,21.387436,7.515425,-3.2036178,1.1399568,8.538951,0.04361407,-7.4171576,-6.4543023,-11.448955,3.4439316,11.541885,-0.41076633,-4.1026964,-1.813271,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.034640383,0.9781265,0.00012021442,0.07210884,0.13200898,0.26959792,0.41200414,0.5676697,0.6705491,0.7676063,0.8276059,0.9184606,0.97810435,1.021963,1.0873629,1.1232868,1.2100617,1.2749554,1.3551021,1.3579096,1.395299,1.4364185,1.4363455,1.3911763,1.3296887,1.2107224,1.065969,0.8898186,0.720941,0.5806619,1.6923095e-06,5.268996e-07,50.244644,186.62297,437.8462,1004.8929,0.0012524069,626.85223,4.950146,4209865.0,7.1527963,58.931732,-1.5882534e-06,0.51209277,1.1723301e-06,21.391577,7.800771,-1.1017828,0.32949117,5.308472,0.7745786,-5.3794084,-4.855541,-9.493694,3.7928534,11.970654,3.6966715,-5.038203,-3.1105967,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.035091985,0.9800947,0.00011677386,0.0739229,0.13032006,0.26898763,0.4117494,0.5733435,0.66959935,0.7694319,0.84670216,0.9430723,0.98141646,1.0233697,1.0932064,1.1501331,1.2112155,1.2775928,1.3536276,1.3564806,1.3889183,1.4195586,1.4315809,1.3744713,1.323523,1.2076347,1.0716807,0.89589244,0.7213512,0.58760196,1.8436166e-06,5.145453e-07,64.60026,222.51201,430.66837,990.5373,0.0013236693,638.2867,4.999973,4137946.0,7.105848,58.426483,-1.6032178e-06,0.52499145,1.2996389e-06,21.243217,8.090247,-1.7605556,1.4618493,2.5069265,0.7639167,-3.6902125,-6.8099747,-10.50368,-0.2408363,11.19344,3.283231,-4.668403,0.076775074,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.366666667,0 days 00:00:00.333333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.035126865,0.97892255,0.00011341755,0.075283445,0.12611575,0.26740682,0.41355932,0.5569887,0.66339344,0.7697591,0.83260316,0.93744975,0.9711042,1.0422592,1.1246508,1.1624255,1.2015256,1.2609254,1.3332342,1.3712444,1.3749651,1.415688,1.435441,1.4017887,1.3401185,1.2043153,1.0587254,0.8902295,0.71394104,0.5821289,1.6399428e-06,4.7376454e-07,50.244644,229.6898,423.49057,1033.6041,0.0014130329,645.3796,4.896296,4223750.0,7.081206,58.10748,-1.5149895e-06,0.52708906,1.4022779e-06,20.47779,7.023983,-0.74649423,0.4359691,0.64350384,1.0657648,-1.9954132,-8.074883,-10.635596,-0.6729903,9.841445,-0.75141335,-9.550763,1.1148208,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.400000,0 days 00:00:00.366666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.035359282,0.9780738,0.00011195809,0.07777777,0.1298951,0.26642638,0.41442457,0.5580842,0.6675358,0.7788617,0.8300691,0.92665243,0.9846876,1.0434409,1.112278,1.153721,1.2062651,1.2480496,1.2986149,1.3575033,1.3821574,1.4325782,1.4304832,1.4069546,1.366334,1.2091438,1.0490849,0.8798733,0.7199995,0.57680047,1.8087215e-06,4.6717741e-07,43.066837,229.68982,409.13492,1012.0706,0.0013687835,640.9024,4.906901,4276279.0,7.1137223,58.342316,-1.5835147e-06,0.52390724,1.4989745e-06,20.835665,7.6805663,-1.237346,-1.7249559,3.0113134,2.7483194,-2.161151,-10.665366,-11.375145,-1.2100097,8.437747,-1.7313771,-6.5999227,0.8005747,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.433333333,0 days 00:00:00.400000,0.0,0.0,0.0,0.0,0.0,-100.0,0.0349353,0.97895217,0.00011576299,0.07619047,0.13174601,0.26607656,0.41103005,0.5620463,0.67242557,0.762162,0.82973003,0.910386,0.9956948,1.0472175,1.0964307,1.1510277,1.2288288,1.2695991,1.3262129,1.3517909,1.3838791,1.4257134,1.4138371,1.4086276,1.3518156,1.206194,1.0535071,0.8826645,0.73262906,0.58148324,1.6219456e-06,5.0407976e-07,35.889034,200.97858,401.95715,1055.1375,0.0013947425,641.9588,4.8573766,4357110.0,7.0680156,57.63208,-1.5554573e-06,0.5200269,1.3762788e-06,20.631273,6.8311024,-0.7410927,0.11588653,5.4746146,3.0521479,-0.24899912,-10.995003,-14.5648575,-0.19243288,13.094566,0.9869685,-3.7620494,-2.002473,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.466666667,0 days 00:00:00.433333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.034400847,0.9820517,0.000111977686,0.08390022,0.12762535,0.2684979,0.415078,0.5568349,0.6738229,0.771918,0.85178375,0.9045744,0.967446,1.025787,1.087215,1.1492152,1.2368814,1.2734132,1.3413798,1.3529154,1.4060122,1.4368328,1.441536,1.4089683,1.3331352,1.2225105,1.0638231,0.8898835,0.73000616,0.5962484,1.7958583e-06,4.2714927e-07,35.88903,215.33418,409.13492,1004.8929,0.0014176625,651.09576,4.9087434,4488263.5,6.8266377,53.798157,-1.4855672e-06,0.52682894,1.1777566e-06,20.161596,8.08284,-0.9819989,0.65610653,3.6010573,-0.021426817,-2.3918426,-9.189193,-13.369351,-1.7403021,11.322576,3.6109762,-3.6562588,-5.3155303,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.500000,0 days 00:00:00.466666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.033619214,0.9838643,0.00010912601,0.084353745,0.12711443,0.26749244,0.4168937,0.55660003,0.6674333,0.764143,0.8692841,0.9241486,0.9790716,1.035645,1.108772,1.1645995,1.2238588,1.2563319,1.3079394,1.3728553,1.4107333,1.4222441,1.4557511,1.4135914,1.3222772,1.2314433,1.0726953,0.88869613,0.72592163,0.59493333,1.4189309e-06,4.4724842e-07,28.711226,229.6898,452.20178,1083.8486,0.001338164,691.6551,4.916844,4937503.5,6.560034,49.87732,-1.3109158e-06,0.5533897,8.955881e-07,19.73294,6.9919243,-3.8594453,1.51432,4.3011775,-0.7581597,-1.7765571,-8.604335,-11.881835,-1.9119526,8.698174,4.3366246,-3.47145,-4.652788,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.533333332,0 days 00:00:00.500000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03401751,0.9885225,0.00010362568,0.08684808,0.1286958,0.2753125,0.41548577,0.5466997,0.66882616,0.7678962,0.8461806,0.93579394,0.9857784,1.047039,1.1247425,1.1575996,1.1946523,1.2732878,1.3363835,1.3921828,1.4210248,1.4384761,1.4656372,1.4387594,1.3429247,1.2257913,1.0759912,0.88239264,0.72452694,0.5895013,1.2316913e-06,4.6105365e-07,21.533419,229.6898,495.26865,1098.2042,0.0012798953,710.73804,4.8808455,5129755.5,6.39327,47.469997,-1.2995846e-06,0.56501096,9.642507e-07,19.181498,6.491461,-4.011332,0.21541421,3.911806,0.6378191,-0.89260644,-7.154125,-10.464639,0.022677898,6.320333,1.8867459,-8.943413,-4.7427344,108_208_13_1_20250114_162512_traffic_ground.wav
0 days 00:00:00.566666667,0 days 00:00:00.533333332,0.0,0.0,0.0,0.0,0.0,-100.0,0.03449799,0.98855233,0.00010814011,0.082539685,0.13229656,0.2702897,0.4261476,0.5641694,0.6749167,0.7679041,0.8395012,0.9318498,0.98518467,1.0325912,1.1006231,1.157611,1.1916348,1.2826824,1.3411446,1.374958,1.418527,1.4386147,1.4662226,1.4395537,1.3618809,1.2241272,1.0694718,0.8933286,0.73012525,0.587003,1.4799838e-06,4.544344e-07,21.533419,229.6898,459.37955,1026.4263,0.0013647573,680.8115,4.8140063,4953387.5,6.636028,51.125866,-1.4701486e-06,0.5417934,1.1354954e-06,19.5669,6.6049633,-3.6477985,-0.27707294,5.0072494,0.49899924,1.5602008,-6.437613,-12.070171,-0.67864233,6.6363864,0.6636734,-6.9649634,1.4990014,108_208_13_1_20250114_162512_traffic_ground.wav
