end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.09200435,0.98834115,0.00034274804,0.116553284,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.770168e-06,4.912644e-06,172.26735,193.80077,308.64566,3186.946,0.0018718778,822.7576,4.410582,3402991.2,4.0363636,24.592417,-2.400957e-05,0.62870115,3.1111467e-05,8.927662,17.00023,6.866371,2.565412,18.404085,2.8438108,2.0466597,-19.333244,-8.464929,-9.8278265,-12.85403,-0.19687279,0.14017916,-5.68911,108_208_23_1_20250114_162817_tiger_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.07437064,0.98834115,0.00027015168,0.10204082,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.5391442e-06,3.2071355e-06,157.91174,186.62297,330.17908,2433.2764,0.0031641794,780.27496,4.6224,3426082.0,4.629022,31.426554,-1.4863289e-05,0.60001963,1.8900177e-05,9.964421,14.544147,6.704804,3.0595157,15.020088,4.160411,1.9896816,-13.734028,-4.072601,-12.539346,-9.096799,0.7450082,-3.8069637,-5.2380013,108_208_23_1_20250114_162817_tiger_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.053416867,0.98834115,0.00018431153,0.0845805,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.5187568e-06,1.4025096e-06,129.20052,186.62297,351.7125,1378.1387,0.0038560193,699.5651,4.804773,3483698.0,5.6908174,43.57811,-5.375783e-06,0.549253,6.280861e-06,12.606869,12.860387,4.737742,1.5068334,13.994472,4.017143,-2.5094712,-10.744273,-3.0316963,-13.97861,-6.575142,5.4138107,-3.8430965,-5.4082847,108_208_23_1_20250114_162817_tiger_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.042628895,0.98834115,0.00013956548,0.084807254,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.6866858e-06,6.7191127e-07,78.95587,215.33418,401.95715,1356.6053,0.0023877774,724.5835,5.039346,4160857.0,6.0523543,46.740314,-2.199025e-06,0.5678707,2.0866435e-06,14.42521,11.529472,1.4661074,-1.9939599,11.511688,1.5754542,-2.7645981,-5.990471,-1.5246801,-10.632796,-4.389608,6.1871758,-2.375759,-5.574612,108_208_23_1_20250114_162817_tiger_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.0403745,0.99994916,0.00012222175,0.08049887,0.13050367,0.2718841,0.41826382,0.51840365,0.6619285,0.74586743,0.8438625,0.9308526,0.9915753,1.0325179,1.0995182,1.1703634,1.2129432,1.3283716,1.4174849,1.4045333,1.454584,1.4715868,1.488966,1.4543484,1.3535314,1.2395419,1.0917338,0.9124064,0.7539568,0.5991458,1.6011874e-06,6.93063e-07,50.244644,244.04541,624.4692,1421.2057,0.0015359534,808.34467,5.2719936,4737703.5,6.0284142,45.59877,-1.5929545e-06,0.62915826,1.3452712e-06,15.080345,7.7863545,-0.2953056,-2.0200024,10.033809,-0.54242724,-6.844063,-5.8008537,-2.5205116,-9.087947,-5.346632,5.375937,-0.5349622,-2.7079232,108_208_23_1_20250114_162817_tiger_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.042407285,0.9969941,0.00011967366,0.08231292,0.13310921,0.27391067,0.42088103,0.5218989,0.6555412,0.73094624,0.83905166,0.9353511,1.001851,1.0384115,1.0718465,1.1450373,1.195815,1.3305343,1.4150947,1.3855577,1.4694971,1.4588958,1.4723678,1.4722219,1.3525447,1.2471142,1.0863346,0.91567296,0.7576309,0.5947294,2.3725843e-06,7.63828e-07,64.60026,279.93445,646.00256,1442.7389,0.0013890546,810.8738,5.3518925,4514236.0,6.144217,47.757736,-1.7376625e-06,0.63666177,1.3305408e-06,15.469551,4.7805333,1.5760447,-1.5477616,3.931802,-1.632091,-7.2178626,-3.753587,-1.9432522,-10.37313,-6.761996,-0.08391937,0.15453959,-0.31500745,108_208_23_1_20250114_162817_tiger_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.043375075,0.9758792,0.00011950693,0.09024944,0.1325321,0.27033463,0.41382638,0.5114716,0.6546206,0.7380809,0.82733613,0.9196975,1.0074371,1.0359488,1.0452915,1.1090517,1.1551526,1.2869864,1.3815962,1.337595,1.4193062,1.4216455,1.4417096,1.426365,1.3243532,1.2278947,1.0630237,0.8967506,0.7417342,0.58311725,2.542196e-06,8.441595e-07,86.133675,272.75662,660.35815,1471.4502,0.0014941398,810.9041,5.3623085,4411180.5,6.2869124,49.787205,-1.8227223e-06,0.6395338,1.4965211e-06,16.249279,2.433173,2.5044174,-0.5465536,0.08880416,2.28324,-4.457128,-5.4059434,-5.7411237,-11.697152,-2.7585971,-1.3697637,-2.0201962,2.1731758,108_208_23_1_20250114_162817_tiger_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.04130511,0.9582371,0.000121802535,0.08775511,0.12972532,0.2692409,0.40668008,0.53388196,0.6510946,0.7402659,0.8274107,0.9001422,0.98975414,1.0333624,1.0471581,1.1145115,1.1469352,1.2385659,1.2801238,1.2877584,1.3665472,1.3724092,1.3936399,1.4059558,1.3273267,1.2205522,1.0490743,0.8801856,0.7260316,0.57583123,3.5205449e-06,6.442809e-07,122.022705,287.11227,430.66837,1019.24854,0.0015685344,661.47235,5.047447,3670877.2,7.2142773,62.236485,-2.089081e-06,0.54681474,1.8030747e-06,19.02919,5.64159,1.7396735,-2.840904,-1.0162834,1.2328758,-5.9853644,-7.5665994,-7.5679507,-12.443901,-3.9091012,-4.8998485,-0.69255066,2.4428375,108_208_23_1_20250114_162817_tiger_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03764957,0.9652435,0.000117499665,0.08730159,0.12736106,0.2662238,0.39947996,0.5266871,0.6610035,0.74738675,0.8381858,0.89529586,0.977241,1.0067531,1.0645899,1.1353813,1.1838676,1.2535449,1.2782351,1.3208219,1.3872722,1.3839356,1.3969158,1.4165224,1.3477454,1.2281047,1.0640175,0.8830311,0.7247133,0.5820145,2.9683495e-06,4.3753224e-07,100.48929,287.11227,445.02402,933.1148,0.0014900021,670.4716,5.0357957,4107836.8,7.105553,58.982147,-1.7398007e-06,0.5559935,1.5219963e-06,20.043646,7.4222603,-0.83983755,-4.9755893,-1.6575803,-1.7113042,-4.41266,-8.322177,-6.052208,-7.7776895,-4.7629113,-3.9535096,0.99368113,2.5480802,108_208_23_1_20250114_162817_tiger_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.036178347,0.9848294,0.000121108686,0.097278915,0.13039021,0.26943022,0.40820825,0.52825457,0.661892,0.73687476,0.83844346,0.9044547,0.9749493,1.026035,1.0909339,1.1415864,1.2175112,1.3066313,1.3512288,1.3751537,1.4302951,1.4408365,1.4428859,1.4367806,1.3550783,1.2389485,1.0748696,0.8943518,0.73867846,0.5908637,3.2899013e-06,3.0859064e-07,114.84491,287.11227,387.60153,746.4919,0.0014294941,607.7001,4.8672457,3756475.2,7.5855603,66.7266,-1.8858005e-06,0.5120651,1.6212776e-06,20.758675,10.418918,0.5977843,-3.0652177,-1.3729299,-6.025933,-3.0280836,-8.886957,-4.904263,-5.571605,-6.868162,-5.05019,2.3021886,1.8780783,108_208_23_1_20250114_162817_tiger_ground.wav
