end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.08920989,0.98834115,0.0002889088,0.11587302,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.8473484e-05,7.5668545e-06,272.75662,394.77933,796.7365,1794.4515,0.0018731662,873.44867,5.6156693,2578329.5,4.874599,41.355545,-1.3183322e-05,0.7199146,1.38460055e-05,15.107043,7.6505523,-2.1611116,-3.369571,8.0768175,-11.201983,5.5025,-4.7457175,-9.406335,8.754354,7.7449627,5.2686443,-1.5847341,-2.0550442,108_208_27_1_20250114_162936_bacon_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.08264067,0.98834115,0.00028064346,0.112244904,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.2718253e-05,5.4864463e-06,208.15637,287.11224,660.35815,2763.4553,0.003367278,967.75507,5.4817123,3856514.8,4.1171713,28.901667,-1.18532735e-05,0.7575899,1.2328084e-05,12.33329,12.594995,0.11397982,-0.5994184,14.16973,-4.4685726,1.9429659,-5.328956,-6.522742,4.7617154,4.298433,1.1602852,-4.2409573,-0.95101815,108_208_27_1_20250114_162936_bacon_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.07062847,0.98834115,0.0002537359,0.09160998,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.8411373e-06,2.831163e-06,157.91174,186.62297,409.13492,2505.0544,0.0046326406,855.0053,4.989205,3985502.0,4.842381,37.491512,-1.0099302e-05,0.66160804,1.1127157e-05,12.211112,16.30561,2.1699107,2.8590508,16.903812,0.53479815,-1.6454381,-7.0812154,-4.350493,-4.0382867,-1.2177144,-5.273541,-6.867077,-2.4930801,108_208_27_1_20250114_162936_bacon_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.056880478,0.98834115,0.00020510465,0.08571428,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.8130855e-06,1.7147618e-06,150.73393,186.62297,344.5347,1916.4742,0.0033997046,670.637,4.556373,3042840.2,7.0812554,74.8966,-6.578933e-06,0.5288996,7.6526785e-06,14.54038,15.244863,3.881857,3.5383768,18.192474,2.704656,-0.9239254,-3.1305084,-3.681114,-3.1175773,-4.753714,-10.960812,-11.746857,-2.5344794,108_208_27_1_20250114_162936_bacon_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.044672757,1.0006067,0.00016366162,0.07120181,0.13002743,0.26654896,0.40938655,0.55229264,0.66690654,0.7553366,0.82979625,0.93220466,1.0003519,1.0656039,1.1106483,1.1679182,1.2076223,1.266758,1.3317586,1.3725811,1.4366559,1.4861441,1.5275539,1.4675196,1.4152306,1.2626792,1.0872674,0.91201615,0.74253243,0.61242825,2.078618e-06,7.916041e-07,136.37831,193.80077,258.40103,660.35815,0.0026012051,467.62427,4.357725,2281451.8,8.6648035,94.52416,-4.513417e-06,0.3955755,5.4203974e-06,18.408447,13.4587965,3.4083645,4.5940385,13.03328,1.4048638,-2.3289201,-3.923045,-1.9991775,-5.5695777,-6.4255233,-11.605469,-10.237964,-1.2291492,108_208_27_1_20250114_162936_bacon_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.0374724,1.0150797,0.00013583344,0.08208617,0.1280809,0.26392922,0.4092358,0.5526932,0.66015226,0.7492723,0.82164574,0.9688396,1.0177803,1.0994567,1.124666,1.1720475,1.2154112,1.2931186,1.3450779,1.3801807,1.4657005,1.519042,1.5783373,1.4950482,1.4634552,1.2805918,1.0896572,0.9305586,0.7496775,0.6184153,1.2822002e-06,4.6924058e-07,86.133675,200.97858,308.64566,782.38086,0.0017107055,546.5207,4.626928,3409661.2,8.184186,83.29257,-2.6148816e-06,0.44710374,2.6664463e-06,19.091461,10.580391,2.2993076,4.329064,11.21382,2.953983,-3.1908042,-3.4825866,-1.5709742,-4.3264885,-6.8636174,-10.914444,-8.459346,2.7825673,108_208_27_1_20250114_162936_bacon_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.035636213,1.0189193,0.0001214141,0.0798186,0.13071151,0.27138248,0.41697788,0.5554945,0.65968305,0.76239705,0.8191286,0.9671685,1.022349,1.1106464,1.1373085,1.165202,1.2106713,1.3050388,1.3316528,1.3704605,1.4674631,1.5187154,1.5807701,1.5157698,1.4762436,1.2913663,1.0999975,0.93186545,0.75473064,0.6187089,1.5844644e-06,4.909618e-07,57.42245,200.97858,351.7125,911.58136,0.0014762966,583.258,4.9313703,3816520.8,7.6499996,69.211815,-1.8462579e-06,0.4752097,1.2562144e-06,20.490328,9.173037,0.08046937,2.3676472,10.447434,4.521954,-7.162773,-7.6251545,-3.171996,-6.3389688,-2.3364053,-3.6065214,-3.290493,3.2700527,108_208_27_1_20250114_162936_bacon_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.03400931,1.0029595,0.000117446536,0.088435374,0.13079377,0.27687606,0.42226157,0.5507924,0.66137457,0.76063865,0.82342213,0.9597721,0.9884389,1.0806686,1.1311445,1.1430293,1.1945882,1.3081459,1.3213547,1.3624116,1.4535016,1.4547458,1.5267501,1.4764436,1.4341866,1.2726938,1.0809312,0.91527444,0.74345237,0.603257,1.4601807e-06,4.91193e-07,43.066837,186.62297,366.0681,997.715,0.0012804582,611.2077,4.9149265,4285259.5,7.3222194,62.900543,-1.6497655e-06,0.49277875,1.0198354e-06,20.763666,8.803706,-1.0181173,2.152253,12.857193,5.466334,-5.417923,-9.589615,-7.4602203,-3.0816333,1.095778,-1.2568444,-1.3022931,3.9409122,108_208_27_1_20250114_162936_bacon_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.033487648,0.9921327,0.000118310585,0.0798186,0.12786923,0.27254084,0.42102042,0.5434234,0.6541101,0.76339465,0.84846526,0.92452216,0.9661062,1.0402745,1.1182741,1.1485049,1.1925209,1.2812492,1.3143083,1.3642392,1.4363676,1.44767,1.4912132,1.473369,1.4033031,1.2623072,1.0720359,0.89347845,0.73378897,0.6010944,1.640291e-06,4.6971195e-07,43.066837,215.33418,387.60153,997.715,0.0013132788,615.26044,4.8633447,4246512.0,7.334578,63.079617,-1.6211403e-06,0.5006347,1.0748469e-06,21.037367,9.664797,-2.2751372,-1.2401031,12.69545,2.3514488,-8.807174,-11.383199,-9.60647,1.4494203,0.97873753,0.118143715,-1.2530454,1.5644406,108_208_27_1_20250114_162936_bacon_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.032231316,0.9902697,0.00011503146,0.08321995,0.12700711,0.26889756,0.42038515,0.5513854,0.6591408,0.7544028,0.8499344,0.92592716,0.96262366,1.0278267,1.0922856,1.1658854,1.209762,1.2613746,1.3282627,1.3692147,1.4485787,1.4711269,1.4967779,1.4525312,1.3707126,1.2334591,1.0625052,0.9046812,0.7350066,0.59731865,1.763798e-06,3.417207e-07,50.244644,236.8676,394.77933,933.11475,0.0012813726,641.6553,4.73406,4611740.5,6.902456,54.761566,-1.4194597e-06,0.51956207,1.0254453e-06,19.859346,10.374167,-0.88348514,-1.8795056,9.111642,0.18914437,-9.70432,-12.9083605,-8.873089,2.5989578,-2.3042128,-4.6889806,1.6524233,3.5281296,108_208_27_1_20250114_162936_bacon_ground.wav
