end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.105091594,0.98834115,0.0004263951,0.15578233,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.3874948e-05,1.256954e-05,193.80077,423.49057,2031.3192,3624.792,0.002687781,1437.3248,5.452621,6340390.0,4.3299265,30.872902,-2.3520362e-05,1.0730196,2.9099436e-05,11.029569,13.990924,-8.066287,0.40908465,5.5161095,4.6561737,4.849392,-7.193768,-13.536113,-9.763898,-8.646734,-10.547488,-22.522459,-6.471767,108_208_36_1_20250114_163248_balloon_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.10302466,0.98834115,0.00037248383,0.14263038,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.0072942e-05,1.1217642e-05,186.62297,495.26865,3330.502,5218.265,0.0054147406,1947.2738,6.132814,8267768.0,2.9786127,18.465925,-1.8061352e-05,1.3935453,2.4355346e-05,6.5100536,13.434686,-2.2124102,-0.6837354,6.6427875,2.666871,3.300441,-9.765628,-8.615972,-10.512696,-4.356573,-7.3061905,-17.964827,-0.16521771,108_208_36_1_20250114_163248_balloon_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.092163,0.98834115,0.00029106127,0.12970522,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.8907676e-06,8.957302e-06,165.08954,480.913,3251.5461,5928.8677,0.006374512,2041.1752,6.38871,9026005.0,2.444804,12.349977,-1.1963027e-05,1.4394695,1.808472e-05,3.921106,13.527284,5.617882,-0.73697466,7.8734856,4.2069287,1.0758724,-13.292428,-5.3773365,-11.453347,-1.5228968,-1.4374481,-9.57755,4.0388303,108_208_36_1_20250114_163248_balloon_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.061713558,0.98834115,0.0001824884,0.101587296,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.23283e-06,2.0078494e-06,150.73393,294.29007,1851.874,3840.1262,0.0044554328,1397.8885,6.013971,6109872.5,3.4970577,20.912485,-3.7502134e-06,1.0113896,4.2993715e-06,7.2848706,12.233528,3.7202377,0.36587262,5.812861,0.38308382,0.49867836,-13.573457,-7.102595,-8.882356,1.3660053,0.15471053,-5.3079567,2.696882,108_208_36_1_20250114_163248_balloon_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.048511256,0.9861947,0.00014117964,0.09342403,0.13483904,0.2737051,0.41299284,0.56274223,0.664057,0.74506634,0.8269395,0.9026548,0.9841094,1.0333985,1.1201073,1.1799024,1.2090584,1.2642146,1.3238561,1.3737339,1.3878641,1.4301772,1.4561567,1.4484482,1.3582717,1.2420945,1.078313,0.90286654,0.73075265,0.5947376,2.493518e-06,9.4414764e-07,129.20052,222.51198,473.7352,2289.7202,0.0022006994,886.1836,5.4686694,4562457.5,5.218656,38.042694,-2.5662011e-06,0.6802502,2.2220818e-06,11.846146,10.592682,2.568771,1.426858,6.8484797,1.1949824,-0.018236468,-13.725356,-11.477712,-8.523232,-0.3410913,1.4237024,-4.5509653,1.5988469,108_208_36_1_20250114_163248_balloon_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.04277299,0.97720164,0.00012795038,0.08140589,0.14224365,0.27375922,0.40809047,0.56891125,0.66658056,0.7256238,0.80684906,0.8748601,0.97413397,1.0183657,1.0991813,1.1648812,1.2037745,1.224171,1.3064462,1.3721966,1.3788275,1.4256612,1.4416733,1.4511118,1.3630794,1.2155334,1.0743743,0.90442777,0.7298239,0.59265774,2.3345865e-06,7.1929634e-07,107.66709,258.40103,495.2686,1564.7617,0.0017242591,782.6246,5.3675556,4335728.0,6.2101917,49.156597,-1.9127272e-06,0.6201985,1.5952874e-06,15.619588,8.543709,-1.1106663,0.26201698,3.726177,-3.2292254,0.20322728,-11.154865,-12.236271,-5.0929,2.8600016,-0.17436667,-6.432526,0.3267688,108_208_36_1_20250114_163248_balloon_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03850117,0.9682898,0.000115857176,0.080952376,0.138623,0.2643542,0.39264143,0.5565136,0.6596761,0.7085673,0.79610807,0.8513646,0.9667627,1.004509,1.0789038,1.1590981,1.1956886,1.2033846,1.2828456,1.3895122,1.3583325,1.4221293,1.4406209,1.4437776,1.3546338,1.2049822,1.0758084,0.90741444,0.7314482,0.5878323,1.9208426e-06,6.1731924e-07,64.60026,215.33418,545.51324,1205.8715,0.0014915671,746.4436,5.0110145,4827159.5,6.4139957,50.238697,-1.6520339e-06,0.59134686,1.2740496e-06,16.690422,6.081225,-3.6959617,-0.25474596,5.157145,-2.3470552,-0.44111857,-10.622823,-11.076781,-1.1281549,7.6541123,-0.57263964,-2.3260725,4.175918,108_208_36_1_20250114_163248_balloon_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.03566807,0.9653155,0.000110656816,0.0798186,0.13769738,0.27114943,0.4037784,0.55768913,0.6558019,0.70927626,0.7966972,0.8668292,0.9580925,1.002395,1.0674334,1.1298262,1.1983157,1.2262632,1.2886604,1.3625817,1.385027,1.4290695,1.4242845,1.4234585,1.3497506,1.195144,1.0575281,0.8913397,0.72183424,0.58827835,1.6514832e-06,5.165143e-07,35.88903,215.33418,588.5801,1205.8715,0.0014231233,775.56836,4.9997697,5534808.0,6.1992455,45.54385,-1.3364855e-06,0.6085349,1.0081638e-06,18.220179,4.7220054,-4.3241844,0.0386761,1.4756465,-3.8766754,0.9800641,-6.247434,-10.9319105,1.2475449,12.115166,0.6621327,-2.970709,3.4255142,108_208_36_1_20250114_163248_balloon_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03415307,0.9701538,0.00010586509,0.09433106,0.1356641,0.27968845,0.4169625,0.56162673,0.65493673,0.7177214,0.81280786,0.89017344,0.963782,1.0229275,1.081719,1.1294404,1.2122918,1.2397376,1.2875189,1.3509363,1.3881804,1.4252167,1.4275156,1.4187838,1.3468202,1.2059289,1.0592669,0.88776445,0.71543294,0.5911537,1.0851294e-06,4.9167124e-07,28.711226,172.26735,559.8689,1169.9824,0.0013276389,734.6809,4.86235,5335672.0,6.4722304,50.003235,-1.3276136e-06,0.57409996,9.16032e-07,18.97375,4.1055274,-4.0803685,1.8889064,5.8403373,0.8063364,1.6143235,-4.706962,-12.887665,-1.3909832,11.383046,2.1594057,-3.6275628,5.6242003,108_208_36_1_20250114_163248_balloon_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.035067733,0.9747116,0.00011460229,0.093650796,0.1358993,0.27815497,0.4280635,0.57725483,0.6661939,0.73983574,0.8136,0.8987274,0.9685919,1.028345,1.0915645,1.1391323,1.212226,1.2258669,1.2849612,1.3619848,1.3969717,1.4150461,1.4320134,1.4184475,1.3549913,1.2075592,1.0627489,0.8970683,0.71630865,0.5909424,2.645091e-06,4.5047625e-07,93.311485,215.33418,401.95715,911.5815,0.0014174659,601.3223,4.8353934,3952475.0,7.7250266,70.0904,-1.8533206e-06,0.495018,1.4551906e-06,22.017021,7.4237885,-1.4932371,3.5880518,4.798656,0.2686561,-0.0039037068,-6.260166,-16.880087,-4.316467,9.386969,3.2681906,-4.0304646,5.038809,108_208_36_1_20250114_163248_balloon_board.wav
