end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.16252127,0.98834115,0.00071330805,0.18730159,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.357142e-05,4.55566e-05,251.22322,473.7352,1894.9408,5182.376,0.0030730898,1583.3385,6.46495,6215515.5,2.6259825,10.735156,-5.487984e-05,1.2031871,6.3478605e-05,9.569493,9.056233,-7.5726743,-0.5191457,8.08639,-8.967687,-5.9449553,-14.35096,-1.9903024,-1.3344761,-6.883304,-10.279779,-10.022225,-5.1986294,108_208_41_1_20250114_163344_trumpet_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.15834402,0.98834115,0.00073121133,0.14036281,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.00016495632,3.417618e-05,301.46786,480.913,1672.4287,3876.015,0.00791102,1361.1638,5.9591603,4917978.5,3.9825327,28.430704,-7.079969e-05,1.0647961,7.0827984e-05,10.890819,10.015887,-6.875044,-6.2665157,0.44561228,-16.53334,-9.27671,-10.256244,4.196426,2.7877448,-3.9791262,-1.7284317,-5.4453073,-5.5713577,108_208_41_1_20250114_163344_trumpet_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.15694314,0.98834115,0.0007558937,0.08526077,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0001863155,4.9181912e-05,394.7794,552.6911,1780.0958,2928.545,0.012869348,1230.4647,5.6966653,3498087.2,4.97984,51.86912,-7.863072e-05,0.9921953,7.524314e-05,14.271107,6.3261914,-8.970787,-7.8106,-1.3090076,-22.01008,-9.644252,1.7547064,14.078178,2.1538827,-4.3960843,9.080743,0.62336373,-8.856078,108_208_41_1_20250114_163344_trumpet_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.14995898,0.98834115,0.0009195381,0.051927436,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.00033304663,4.9304057e-05,466.55737,574.2245,918.7591,997.715,0.016885942,733.1189,4.5372605,603762.3,8.937259,198.04991,-0.00012956125,0.6885291,0.00015358956,21.166138,0.8124113,-11.40508,-10.470675,-8.919066,-31.583267,-4.9691525,13.158462,21.645575,3.5692437,-7.954599,8.211106,-0.9871723,-11.493472,108_208_41_1_20250114_163344_trumpet_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.1443103,0.97205883,0.0010320266,0.037641723,0.12578551,0.26084307,0.41238537,0.5915324,0.66970015,0.76578426,0.83731294,0.90407467,0.9502041,1.030148,1.0808295,1.1208321,1.1682042,1.2210202,1.2642611,1.3320346,1.3934151,1.4549578,1.4526606,1.4051384,1.3424946,1.221945,1.045447,0.9006307,0.737024,0.5848635,0.00029454488,5.129972e-05,545.51324,638.82477,947.4704,1012.0706,0.016904198,730.5994,4.203031,312002.78,13.100404,434.11703,-0.00013686008,0.6994793,0.00018095491,26.48121,-4.285558,-12.013537,-6.455602,-9.548736,-32.68455,1.570027,20.516747,25.177088,2.468379,-12.995742,1.9632097,-2.4610593,-11.386474,108_208_41_1_20250114_163344_trumpet_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.12786032,0.9619782,0.001001359,0.0292517,0.12443781,0.24923718,0.40810958,0.59747314,0.6698399,0.75926614,0.8075466,0.89597315,0.9672547,1.0356694,1.0655785,1.1018497,1.174985,1.2011696,1.2093512,1.2756983,1.374301,1.4566933,1.4464346,1.3971103,1.3305947,1.2069361,1.0355377,0.89983624,0.7383855,0.5821634,0.0003238897,2.2502092e-05,523.97986,581.4023,638.82477,660.35815,0.01659863,602.4733,3.8061867,148587.38,19.332262,726.3916,-0.00013583603,0.6148611,0.00018307625,30.215805,-3.8259308,-8.41454,-7.032577,-20.010176,-37.794632,5.675777,16.941885,18.830545,8.44423,-10.153114,-4.6378417,-5.3811855,-8.006132,108_208_41_1_20250114_163344_trumpet_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.095927715,0.9539545,0.0006799046,0.03537415,0.12230856,0.24187021,0.40689722,0.58286023,0.66373247,0.750634,0.7892747,0.89912754,0.97024965,1.0243138,1.0524842,1.0989023,1.178686,1.2005574,1.1832186,1.2275006,1.3749508,1.4419836,1.4370917,1.3937535,1.3255463,1.1921537,1.0379561,0.8948593,0.73112226,0.58078367,0.0001571495,8.819355e-06,452.20178,516.80206,624.4692,681.8916,0.013733056,573.1131,4.311466,401843.4,19.339273,657.5988,-6.89783e-05,0.5784529,8.5380896e-05,30.683586,-1.962634,-7.0819364,-4.961021,-20.774935,-34.615547,3.9370053,8.88165,9.889442,2.6951516,-9.189816,-6.4606724,-2.8910692,-4.3411117,108_208_41_1_20250114_163344_trumpet_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.06854197,0.9663477,0.00037210857,0.053514738,0.12743248,0.24901326,0.40788814,0.5479109,0.639012,0.74928117,0.8028524,0.9192455,0.9906314,1.0536765,1.0735999,1.1411668,1.2452992,1.2295493,1.214548,1.2415694,1.3752848,1.4395145,1.453309,1.4183258,1.3414254,1.2008085,1.053551,0.8913186,0.7314288,0.5873963,8.265733e-05,2.711107e-06,265.57883,387.60153,574.2244,724.95844,0.009961917,530.49945,4.7519755,1080431.4,16.101482,437.65115,-2.8787113e-05,0.5131592,3.100211e-05,28.661871,1.1032121,-5.098135,-2.0634184,-17.497332,-28.833261,5.022152,4.599935,-3.854576,-0.44241634,-3.7074416,-6.6447387,-2.9953575,-0.9790077,108_208_41_1_20250114_163344_trumpet_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.047195803,0.9829859,0.00019449035,0.07460318,0.12994586,0.26336697,0.4045156,0.55060214,0.6615901,0.776221,0.8509287,0.9282573,0.9848366,1.0643039,1.0883974,1.1664069,1.2531337,1.2641538,1.24861,1.3022465,1.4145845,1.4624408,1.4583277,1.4361706,1.3540668,1.2301444,1.055489,0.89319044,0.72804445,0.5876589,9.163256e-06,9.290386e-07,136.37831,308.64566,523.97986,832.62555,0.005917605,557.9692,5.15715,2205305.5,10.41392,140.23949,-4.469886e-06,0.4988807,4.3608393e-06,25.19364,3.5328476,-3.6142547,1.1324204,-7.3434844,-16.838823,5.6740136,2.422162,-10.474455,-6.1513443,-2.8819797,-3.9160995,-0.8620022,-1.110708,108_208_41_1_20250114_163344_trumpet_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.038759638,0.9922159,0.0001356404,0.084353745,0.13063537,0.2694974,0.4046835,0.5760617,0.6813338,0.80501413,0.8845679,0.9125654,0.99183625,1.0722438,1.1208853,1.18053,1.2602568,1.2744902,1.2634715,1.3504934,1.4115602,1.4770597,1.466456,1.4248625,1.3456103,1.2336472,1.0478977,0.8970631,0.7314269,0.58346367,2.889475e-06,5.607955e-07,50.244644,208.15637,452.20178,918.7592,0.0021241,552.5894,4.981156,3058998.8,8.418592,84.15751,-2.2773154e-06,0.46567187,1.5941542e-06,22.725752,5.9482675,-2.4122264,3.1784585,0.99877477,-7.6768117,4.0815167,1.3614583,-13.225423,-2.1389241,6.3132653,-1.9752697,-3.1314876,-2.5356097,108_208_41_1_20250114_163344_trumpet_board.wav
