end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.06895847,0.98834115,0.0002260561,0.17278911,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.0045266e-06,4.210952e-06,1794.4515,2002.6079,2576.8323,4435.8843,0.0039177835,2550.9656,6.2179604,6546081.5,4.8573475,37.064903,-7.3125843e-06,1.7978607,9.341171e-06,8.693384,8.3887825,0.24251981,3.6383476,8.5888815,1.4634022,-0.19066556,-7.0281715,-3.6011322,-0.62730783,1.0263807,-7.446214,-2.1185439,5.6640277,108_208_43_1_20250114_163408_hunger_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.092776,0.98834115,0.00028132994,0.19024943,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.4326994e-06,7.2083585e-06,2347.1426,3445.347,4292.328,6696.893,0.0069183833,3747.013,7.0792117,8180202.5,2.933246,21.045755,-9.357145e-06,2.5747693,1.3742087e-05,-0.30508503,8.415568,-0.64073986,0.91675884,8.573667,-1.1758933,4.664371,-8.742803,-4.981899,-1.2928108,-2.0021842,-3.893222,-0.45341292,4.0660377,108_208_43_1_20250114_163408_hunger_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.10381028,0.98834115,0.00029735485,0.18231292,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.3219197e-06,8.052934e-06,2368.676,3639.1475,5419.2437,8225.766,0.00849917,4224.312,7.5851417,9218081.0,1.3067036,6.0268064,-9.948205e-06,2.8796818,1.4460639e-05,-6.223871,9.550317,-0.018159151,0.09650588,10.826825,-1.1357241,7.8217278,-11.562486,-2.2548091,-2.3030255,-4.88425,-4.9145064,0.64377993,0.022613367,108_208_43_1_20250114_163408_hunger_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.078392185,0.98834115,0.00019862036,0.15215419,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.4546607e-06,4.7162252e-06,667.53595,1873.4073,3373.5686,5770.9565,0.0054475865,2500.679,6.771379,7413414.5,2.2894416,12.65097,-4.586275e-06,1.7227087,6.7977503e-06,0.83158207,7.7004495,3.0868099,-3.9050207,10.049004,2.1305635,4.1792436,-13.735398,-6.4090714,-3.8356884,-3.9275188,-3.5088232,-3.196336,-1.589167,108_208_43_1_20250114_163408_hunger_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.05588841,1.0047616,0.00014436852,0.10997733,0.1243512,0.26385272,0.4075811,0.5530469,0.66993886,0.80217296,0.8954148,0.9509255,1.0300837,1.073138,1.1021265,1.1525779,1.2661546,1.3029128,1.3601004,1.4135022,1.4062567,1.4629742,1.4719778,1.4424058,1.3958669,1.2670695,1.0798197,0.89770246,0.73120934,0.6006333,1.9160268e-06,1.6734899e-06,93.311485,452.20178,1758.5625,4148.772,0.0030738215,1430.9874,5.965303,6282490.0,3.4717586,20.200033,-2.4942035e-06,1.0304027,2.3232342e-06,7.00767,9.309032,2.050846,-3.7049522,12.150234,3.2276142,5.0403414,-13.106402,-6.2991676,-6.6145344,-1.004454,-3.918824,-3.1688766,0.08300924,108_208_43_1_20250114_163408_hunger_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.044639762,1.0170417,0.00013023448,0.09410431,0.12180585,0.27138036,0.40779498,0.54300594,0.68361807,0.81994224,0.92601985,0.9605264,1.050979,1.0876545,1.1221443,1.1627322,1.2873169,1.3326031,1.3688722,1.4636912,1.4281898,1.4908746,1.4740793,1.4515461,1.4077727,1.2815932,1.0655737,0.9001768,0.73264694,0.6005407,2.1696685e-06,7.2089165e-07,57.422455,258.40103,581.40234,2519.41,0.0019082077,946.1691,5.324223,5216205.5,4.987891,34.074738,-1.9738893e-06,0.7168665,1.6265334e-06,11.738297,10.226032,1.5479441,-2.836049,10.318963,2.674565,6.909225,-13.355495,-12.967995,-7.7155824,0.9212287,1.0890229,-1.9879643,3.4480286,108_208_43_1_20250114_163408_hunger_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.040124472,1.0253099,0.00012894253,0.086394556,0.12069943,0.2747675,0.41442075,0.5431581,0.69549656,0.82865286,0.93820685,0.9535211,1.0587773,1.0913663,1.1342883,1.1802648,1.2922167,1.3421518,1.369329,1.463172,1.4596376,1.5199078,1.5067524,1.4774913,1.4266161,1.2843564,1.0621485,0.8935855,0.7296405,0.59743184,1.9325832e-06,4.4095069e-07,50.244644,258.40103,545.51324,1643.7177,0.0013825794,815.02716,5.193085,4800512.0,6.009851,46.017193,-1.7160955e-06,0.63912916,1.4180863e-06,15.44265,10.389903,-1.9536783,-4.9260387,9.486741,-1.40066,8.702866,-8.335458,-14.199855,-8.924947,1.5509353,2.9184875,-1.400671,2.7967436,108_208_43_1_20250114_163408_hunger_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.036007795,1.0062358,0.0001250833,0.084353745,0.12400403,0.2800297,0.41182128,0.5342335,0.68477297,0.79355717,0.9025113,0.9262449,1.0233439,1.0645689,1.1252208,1.1848515,1.2516514,1.3073481,1.3411003,1.428182,1.4516058,1.504522,1.4907078,1.4628321,1.3727039,1.2459728,1.0468541,0.88988566,0.72436005,0.5892448,1.7079034e-06,3.1614925e-07,43.066837,193.80077,387.60153,882.8701,0.0012517022,667.8631,4.898416,4588172.0,6.6597495,52.730877,-1.6406772e-06,0.5317603,1.3261933e-06,17.993881,10.695996,-0.9062896,-1.2689983,8.196685,0.16475837,8.7929125,-4.976465,-14.3521805,-8.590329,2.428111,6.0511703,0.88599515,5.090301,108_208_43_1_20250114_163408_hunger_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.034783818,0.9979536,0.00012417449,0.08684808,0.12526111,0.27459195,0.41649583,0.54984754,0.673049,0.7851112,0.87480587,0.9210179,1.0113634,1.0665953,1.1179901,1.1803986,1.2334018,1.2913375,1.3426075,1.400333,1.4364437,1.4918019,1.4778525,1.4441601,1.3667527,1.2285547,1.0455395,0.8847285,0.7184672,0.58828336,1.6170293e-06,3.1816003e-07,50.244644,186.62297,380.42374,861.33673,0.0012471032,631.07886,4.8990526,4357454.0,7.0536265,58.03441,-1.6022059e-06,0.51009804,1.2854292e-06,20.055313,10.175569,-2.2189808,0.28201547,8.9271345,-1.4560021,5.158413,-0.94043285,-12.97005,-9.578837,3.0227387,7.489224,2.5147104,6.240886,108_208_43_1_20250114_163408_hunger_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.034184713,0.99785346,0.00011592661,0.08956916,0.12410072,0.26895085,0.41772166,0.5475735,0.6672264,0.7889771,0.87448317,0.94781685,1.0178739,1.0750349,1.1366078,1.1509044,1.2243903,1.2987113,1.3504429,1.4071132,1.4143337,1.4746059,1.4610626,1.4345608,1.3758225,1.2344567,1.0490447,0.89123684,0.7252323,0.5859071,1.2904479e-06,3.8566927e-07,50.244644,186.62297,516.80206,911.58136,0.0014660651,636.28253,4.802422,4355022.5,7.1491237,59.281727,-1.5731181e-06,0.51597977,1.2670172e-06,20.737144,7.935728,-3.9216642,3.7311513,8.091678,2.5328157,6.5022182,-0.23942964,-17.056623,-9.615356,6.1881986,6.872544,3.2912781,9.070411,108_208_43_1_20250114_163408_hunger_board.wav
