end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.1271783,0.98834115,0.00065332284,0.10294784,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.495085e-05,1.1731257e-05,172.26735,323.00128,538.33545,2569.6545,0.00507428,797.5567,4.9205966,2477212.2,7.101915,123.641205,-6.867866e-05,0.64618415,7.7772645e-05,15.795003,12.98878,4.806118,-3.3135471,-2.2337873,-9.803124,-3.8350334,-1.3456148,2.7531807,-0.011539976,-5.641487,-2.4990025,-0.3818871,-5.3171563,108_208_45_1_20250114_163506_sushi_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.113006435,0.98834115,0.0006312835,0.06734694,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.432466e-05,8.456888e-06,172.26735,258.40103,452.20178,1557.5839,0.008645194,563.2884,4.201937,1397606.8,11.244896,247.10051,-7.375301e-05,0.48759428,8.911168e-05,20.288465,12.941768,8.383484,-0.47950268,-9.522288,-11.282634,2.7210598,-1.3552213,-2.3427916,0.14820419,-3.277689,-4.362844,-5.725405,-9.749347,108_208_45_1_20250114_163506_sushi_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.091423295,0.98834115,0.0005403953,0.03333333,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.125982e-05,5.1403713e-06,165.08954,186.62297,380.42374,997.715,0.011890653,401.11743,3.7943547,652889.9,12.892167,277.48196,-6.48802e-05,0.37090775,7.767571e-05,22.97551,9.571155,12.663795,4.071137,-15.890152,-10.695989,9.30689,-2.3431792,-8.324016,3.8067982,0.4752377,-5.5395017,-8.779288,-13.962171,108_208_45_1_20250114_163506_sushi_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.06780613,0.98834115,0.0003299264,0.051247165,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.768676e-05,2.7833978e-06,157.91174,179.44514,409.13492,1134.0934,0.007826145,466.36633,4.178308,1215350.8,10.997287,199.91144,-2.0877844e-05,0.4042116,3.2012762e-05,21.008087,5.584498,13.256927,4.905309,-12.817505,-5.798943,17.861849,-2.563454,-13.904109,0.87927943,-0.6537855,-3.2177598,-7.2742877,-10.504263,108_208_45_1_20250114_163506_sushi_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.052268837,0.9810479,0.0002011243,0.07097506,0.13044131,0.27178678,0.42288756,0.5608222,0.6700273,0.7788703,0.81724864,0.8928097,0.9885158,1.0197235,1.0671543,1.1410061,1.2072899,1.2595791,1.3070337,1.3781077,1.4070343,1.441362,1.4505965,1.4310507,1.343544,1.2191526,1.081777,0.8984449,0.72960216,0.59137607,3.5202363e-06,1.7833863e-06,129.20052,186.62297,473.7352,1449.9169,0.0051342696,603.123,4.8077807,2518397.0,7.9703636,88.88688,-4.7055823e-06,0.49203846,5.9573413e-06,18.750135,2.4887276,10.380603,4.652346,-4.6541123,-2.6762056,12.533299,0.25272074,-11.651676,-4.8542724,-4.0937476,1.8669844,-2.5547554,-6.046385,108_208_45_1_20250114_163506_sushi_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.042792812,0.9769406,0.00013752894,0.08185941,0.13148035,0.2750292,0.4205073,0.5608771,0.68984383,0.782485,0.79420215,0.85147315,0.9849779,1.030363,1.0466808,1.1038054,1.1840343,1.2499876,1.3313309,1.4307575,1.4199071,1.419703,1.4256753,1.4354576,1.3297602,1.201846,1.0855078,0.8978043,0.73081917,0.58613664,2.1025057e-06,7.786885e-07,93.311485,186.62297,459.37955,1112.5599,0.0023919984,602.4922,4.99844,3219392.0,7.8471475,76.92011,-2.6327607e-06,0.4923352,2.689825e-06,19.717588,4.8563237,5.094924,1.8457638,3.9858282,-1.7537856,6.2775517,1.0481486,-10.661269,-12.314525,-3.4960625,5.9174094,-0.74539846,-2.540951,108_208_45_1_20250114_163506_sushi_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03602993,0.9790561,0.00011892608,0.08185941,0.131968,0.28093025,0.41173348,0.54497087,0.682559,0.7824745,0.80829024,0.8461179,0.9825515,1.0300077,1.0432879,1.1032828,1.1541433,1.2623407,1.3758521,1.4812685,1.4690577,1.4067625,1.4101123,1.4147438,1.3361503,1.1973467,1.0855179,0.89765054,0.72735125,0.58898854,1.4782232e-06,4.5799175e-07,50.244644,172.26735,358.8903,1098.2043,0.0018713615,603.82196,4.856175,3984222.8,7.306353,62.33504,-1.7133642e-06,0.48423764,1.3341329e-06,19.693354,6.9327507,1.1501626,2.275162,9.586051,1.7057053,1.5748369,0.9792145,-2.8824928,-7.8418617,-1.7026529,7.2255898,1.7752095,-2.2843533,108_208_45_1_20250114_163506_sushi_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.03369652,0.98602533,0.000113936905,0.0798186,0.12972124,0.26913702,0.40871885,0.541123,0.673189,0.7625639,0.8238232,0.8658719,0.9804334,1.024197,1.0665098,1.1046275,1.1599959,1.2895867,1.4226685,1.4914635,1.4989542,1.4184724,1.443873,1.4195839,1.349475,1.2178469,1.0647727,0.88986397,0.7300008,0.5901867,1.423739e-06,3.834219e-07,35.889034,136.37831,323.00125,933.11475,0.0015488706,579.75024,4.715668,4121509.8,7.2737346,61.110596,-1.6266637e-06,0.46656752,1.2080977e-06,20.239637,8.350425,-2.6481326,-0.5305948,8.811321,4.046152,1.5090123,-0.1668216,-3.8429165,-1.458408,4.0187488,5.047917,0.57331246,2.1847053,108_208_45_1_20250114_163506_sushi_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03301857,0.9867889,0.000111786445,0.0845805,0.12508972,0.2709498,0.4218231,0.5532978,0.66583693,0.7473669,0.8173972,0.8975679,0.99007535,1.0147218,1.0754856,1.1182865,1.2051295,1.291368,1.3890581,1.4431019,1.4789156,1.4255686,1.4620374,1.4266287,1.3489317,1.2404724,1.0530068,0.8847425,0.72529435,0.5843592,1.4881289e-06,3.8058204e-07,64.60026,172.26735,337.3569,969.00385,0.0015590363,620.3034,4.701744,4404807.5,7.006493,56.35661,-1.4507563e-06,0.50096315,1.0761775e-06,20.011894,7.5931354,-4.8612924,-1.8513292,8.339611,4.5354447,-2.6747215,-3.7040997,-6.1798844,0.22134416,-1.4795122,1.5491296,1.5597814,3.6957407,108_208_45_1_20250114_163506_sushi_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.034136463,0.9830785,0.00011645147,0.076643996,0.12706506,0.27730507,0.4227992,0.56065154,0.6577521,0.74507934,0.79523844,0.8938436,0.9809616,1.015348,1.0626754,1.120221,1.2362142,1.2924018,1.3432058,1.4022261,1.4482235,1.4402155,1.4686693,1.4419295,1.3382372,1.2334827,1.0572457,0.8923256,0.72675914,0.57996565,2.4971857e-06,3.825338e-07,100.48929,222.51201,387.60153,911.58136,0.0015224684,606.4765,4.731734,3959149.8,7.477588,64.97678,-1.6758173e-06,0.5023362,1.4214124e-06,20.351652,8.185012,-3.143178,-2.7426484,7.3143144,2.5566938,-7.248553,-6.827904,-15.297137,-8.327635,-1.4632053,0.12090143,2.109206,5.3003697,108_208_45_1_20250114_163506_sushi_board.wav
