end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.10755239,0.98834115,0.00031927056,0.15600906,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.970149e-06,1.3603636e-05,595.7579,2088.7415,2899.8337,4500.4844,0.0039344653,2296.2825,6.872648,5632375.5,2.8870268,19.701586,-1.4369502e-05,1.652669,2.095584e-05,6.3925605,6.845329,-7.1984925,2.2229874,6.4081054,-7.583261,5.534296,-9.6146,7.435533,-0.35417747,-8.988742,-0.37767562,-3.4408169,-1.1647272,108_208_48_1_20250114_163634_flannel_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.11364124,0.98834115,0.0003448109,0.14240363,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.357512e-06,1.4292124e-05,588.5801,1966.7189,2799.3445,5132.1313,0.007774292,2318.7117,6.493885,6162834.5,2.4866989,14.874504,-1.7565302e-05,1.6457745,2.4774135e-05,4.0192146,9.082422,-2.6599226,4.0740733,9.814798,-1.1078764,6.9068437,-7.705112,1.2538147,-3.0628521,-9.93435,0.542651,-5.588634,-0.35487914,108_208_48_1_20250114_163634_flannel_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.11137527,0.98834115,0.00035364414,0.11360544,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.2055925e-06,1.3507043e-05,581.4023,1851.874,2454.8096,4500.4844,0.009005469,2129.1074,5.8303027,5755920.5,3.108209,22.559958,-1.9694102e-05,1.5022384,2.6508913e-05,3.9242523,12.401413,2.785372,6.733537,10.113936,3.4707038,5.0051227,-8.773825,-2.3325326,-4.9150233,-11.4528,-1.1975731,-7.516178,0.16013539,108_208_48_1_20250114_163634_flannel_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.07151089,0.98834115,0.00024359743,0.08390022,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.546312e-06,3.4589623e-06,150.73393,186.62297,466.55737,2038.497,0.006102115,740.6272,4.6711836,2986436.0,5.373713,46.398357,-1.077593e-05,0.5652601,1.0982233e-05,9.787906,13.257076,7.737638,9.242397,12.998978,8.101205,3.5192006,-4.5259957,-2.096573,-7.9961724,-11.992401,-7.1134725,-10.201025,-3.5910404,108_208_48_1_20250114_163634_flannel_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.053137273,0.9814369,0.0001913521,0.0707483,0.13538176,0.27557206,0.40892085,0.5476044,0.66120535,0.7478362,0.8357685,0.9178353,1.0055932,1.0552092,1.0807241,1.1256838,1.1818162,1.2559372,1.377462,1.3731321,1.389362,1.4433466,1.4301509,1.413969,1.3853607,1.2409346,1.0500937,0.86655354,0.72309893,0.5888045,2.8879085e-06,1.353428e-06,129.20052,186.62297,258.40103,839.8034,0.003120536,559.68463,4.614443,2656985.8,6.638716,59.903748,-6.398893e-06,0.45203653,5.7827256e-06,13.6286745,13.718202,5.4413114,7.6689734,10.329278,5.9648666,3.0728252,-6.4504476,-1.9342867,-8.600044,-9.410993,-6.5923676,-6.2497506,-3.9040372,108_208_48_1_20250114_163634_flannel_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.042452376,0.98034143,0.0001409084,0.086394556,0.13955511,0.28243068,0.41541448,0.5468709,0.67657137,0.75409317,0.8450871,0.9045927,1.0059448,1.0607697,1.0889577,1.1175808,1.1590235,1.2179798,1.4166793,1.3844404,1.3867773,1.4579102,1.4176583,1.4085509,1.3869101,1.237821,1.0323356,0.8475876,0.706693,0.5906411,1.9447161e-06,6.900493e-07,86.133675,186.62297,351.7125,868.5146,0.0024276094,571.18353,4.759127,3165500.0,7.2213936,65.58007,-3.0717345e-06,0.4654814,2.5796671e-06,16.49922,12.498843,0.19834328,1.3851719,8.8813505,5.2753577,0.58505154,-6.2810607,-0.6091321,-6.969227,-6.8234906,-6.4075446,-4.505753,-3.3917863,108_208_48_1_20250114_163634_flannel_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.037544843,0.9787708,0.00012471795,0.09274376,0.14309663,0.2940026,0.4227182,0.53842336,0.6640826,0.7445731,0.8297079,0.903975,0.9930871,1.0558319,1.0929875,1.1320173,1.1643745,1.2181836,1.4336205,1.3771709,1.3889184,1.4640608,1.4242735,1.4120688,1.3859979,1.2264287,1.0097728,0.83891255,0.7018068,0.5879479,1.5873393e-06,5.336492e-07,71.77806,172.26735,452.20178,990.5373,0.0018270413,614.56195,4.9518147,3780240.0,7.175284,61.03417,-1.8870104e-06,0.50151515,1.4882295e-06,19.333443,11.227982,-4.211964,-1.5880642,9.255052,6.6415596,1.9844674,-6.3832817,-3.423475,1.3543545,-2.471203,-3.2851086,0.043045204,0.11667856,108_208_48_1_20250114_163634_flannel_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.036487494,0.98182636,0.00011273084,0.098185934,0.14004101,0.29063988,0.43223062,0.5513138,0.663555,0.7445952,0.8332689,0.8861056,0.9583767,1.0371805,1.080631,1.1443354,1.1901957,1.2460939,1.4297953,1.3775082,1.423348,1.4719886,1.4441284,1.4194034,1.3597797,1.223907,1.0229937,0.86097854,0.7107108,0.58438045,1.8153214e-06,4.9898796e-07,50.244644,222.51201,488.0908,997.715,0.0014524353,624.1245,4.8934503,3975191.2,7.2761307,61.566193,-1.7194008e-06,0.5125516,1.3545487e-06,20.52258,8.776632,-4.7702227,-3.797246,6.3102894,3.6204815,-2.7038505,-7.0085483,-0.44864893,4.0644703,-0.059677918,-4.8667274,0.44220662,3.0942166,108_208_48_1_20250114_163634_flannel_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.034895524,0.9732445,0.00011591086,0.08390022,0.13501532,0.28582907,0.4303204,0.54432267,0.64486,0.7257166,0.8333095,0.8791647,0.9556307,1.0228368,1.0625024,1.1333882,1.1944516,1.2601739,1.3753638,1.3540602,1.4086633,1.4522325,1.4384389,1.4129905,1.340123,1.2227622,1.0297562,0.8663438,0.71705455,0.57904714,1.4247971e-06,4.6804323e-07,57.42245,229.6898,480.913,1091.0265,0.0013485579,701.1081,4.986307,4847292.0,6.6916637,52.25246,-1.3929076e-06,0.56481725,1.1959659e-06,20.206392,7.0638747,-4.179456,-0.50365883,7.6279044,2.2597816,-2.2233675,-6.983265,-2.5642376,1.8132204,-0.77150744,-4.580359,1.6792873,4.6794753,108_208_48_1_20250114_163634_flannel_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.034511264,0.9680894,0.00011212376,0.08208617,0.13538738,0.28162873,0.42635986,0.54932016,0.6528485,0.74012303,0.83056474,0.9003022,0.9823702,1.0350097,1.0673455,1.1023754,1.1690186,1.2389351,1.3492308,1.3415421,1.3801212,1.4291444,1.4137875,1.3954061,1.335328,1.2202458,1.0334432,0.8597722,0.7176204,0.583095,1.7728022e-06,4.125213e-07,28.711226,244.04541,409.13492,1026.4263,0.0014171967,666.7222,4.9107447,4670178.0,6.940069,56.47937,-1.5144182e-06,0.53809375,1.0528416e-06,20.412813,7.6968575,-3.611686,0.22442353,6.0168915,1.1625053,-2.8320332,-9.549394,-5.7124953,-2.3566577,0.6120665,-2.9178257,-1.2747737,6.9114423,108_208_48_1_20250114_163634_flannel_board.wav
