end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.1338089,0.98834115,0.00062279106,0.23356009,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.2905624e-06,1.1062242e-05,3725.2812,4751.7075,5677.6445,7687.43,0.0036790734,4641.8735,6.670069,7019789.5,0.3147138,5.108792,-2.8257482e-05,3.1585515,3.6868514e-05,-4.7625685,18.43262,-2.291371,1.6932017,16.95472,-10.117768,15.108146,-11.62485,9.743702,-5.7722354,5.9415474,-4.6612325,-4.305906,-3.59921,108_208_49_1_20250114_163641_doughnut_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.11930248,0.98834115,0.00047966125,0.18843538,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.0609524e-06,1.06404295e-05,1966.7188,3230.0127,5239.799,6818.9155,0.0064257495,3623.0051,6.8352394,7417480.5,0.812771,5.4073577,-2.025717e-05,2.4733374,2.8129944e-05,-2.2461286,13.928883,0.96956235,3.1045368,18.995203,-6.151488,10.177175,-11.441451,4.240538,-3.7790241,1.7715057,0.14843495,-3.0032823,-1.723216,108_208_49_1_20250114_163641_doughnut_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.098287664,0.98834115,0.000314225,0.12426304,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.9230234e-06,9.099264e-06,193.80077,1414.0278,3588.903,5067.5312,0.0077024903,2129.2795,6.428889,6592133.5,2.2142022,13.214108,-1.2238056e-05,1.4799055,1.924961e-05,2.7853029,9.66833,4.461574,3.419162,18.677446,1.4518017,9.1468115,-7.076161,1.1668679,-7.6543274,-5.0433364,-0.33120942,-7.224388,-4.4435935,108_208_49_1_20250114_163641_doughnut_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.06949648,0.98834115,0.00019671956,0.10136054,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.6201953e-06,3.3012113e-06,186.62297,602.9357,2217.9421,4500.4844,0.005143071,1611.3711,6.26679,5825042.0,3.0810165,18.534922,-4.3672712e-06,1.149532,4.890409e-06,6.3882146,7.957247,1.0652272,-3.4402606,14.012696,-0.9190078,6.6863384,-7.4027157,-0.116764866,-4.4895306,-0.8134394,4.8068423,-5.303121,-4.911806,108_208_49_1_20250114_163641_doughnut_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.05615142,0.987179,0.00015571725,0.08231292,0.13388301,0.27585366,0.4189922,0.5857772,0.685898,0.7324727,0.8270734,0.9113932,0.990328,1.1031685,1.118098,1.1607085,1.2101197,1.275714,1.3267089,1.3826851,1.4059391,1.4227686,1.4339371,1.4089159,1.3517896,1.2399263,1.0634319,0.8724734,0.72844696,0.6001458,2.06137e-06,1.5819613e-06,143.55612,308.64566,875.6924,2985.9675,0.003096058,1050.8746,5.645473,4488278.5,4.663673,34.068104,-3.4584743e-06,0.7853458,3.4154382e-06,10.727879,9.464893,-0.080706514,-4.441707,12.1901045,-0.64622086,6.391293,-6.381865,-1.4205953,-4.224523,-3.1051137,3.5098932,-7.3614974,-6.7669735,108_208_49_1_20250114_163641_doughnut_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.04776497,0.98661643,0.00013388135,0.08639455,0.1368349,0.2857749,0.42014685,0.59034234,0.6825204,0.72581714,0.8507576,0.9132418,1.0031704,1.1477796,1.1003084,1.1616102,1.2106177,1.283873,1.3265235,1.393352,1.4118532,1.4353317,1.4319057,1.3958756,1.3235167,1.2075638,1.0469421,0.8548011,0.71494967,0.5966161,2.3205087e-06,9.012595e-07,129.20052,301.46786,775.20306,2304.0757,0.002335603,967.2908,5.5511703,4537701.5,5.5748897,44.20754,-2.2705844e-06,0.7351544,2.1171334e-06,13.353337,9.296507,-1.0409343,-6.916525,9.627349,-2.677127,0.4192063,-5.91201,-0.8102722,4.363431,-2.525613,7.926357,-2.2350216,-6.233804,108_208_49_1_20250114_163641_doughnut_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.044653777,0.9835593,0.00013531315,0.07301587,0.13438453,0.27541092,0.4144486,0.59213024,0.67384845,0.72298336,0.85460615,0.921138,1.0070896,1.1551784,1.0787946,1.1401683,1.1954261,1.2925407,1.3338894,1.3853112,1.4126447,1.4437408,1.444399,1.3852262,1.3057919,1.2033472,1.0440989,0.8615417,0.7050299,0.58937126,2.5893953e-06,8.6240453e-07,93.311485,236.8676,523.9798,1083.8488,0.0017760514,699.1342,5.2176423,3703537.8,6.5918846,54.715397,-2.4227077e-06,0.5652233,2.0135367e-06,16.868593,9.646046,-0.6802146,-6.771812,6.7655334,1.2399725,0.71883297,-8.888783,-5.23122,3.2586412,-2.1177347,12.682053,-2.7790985,-3.4173253,108_208_49_1_20250114_163641_doughnut_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.04074039,0.9766164,0.00012903509,0.08321995,0.13171309,0.27640656,0.42565858,0.5620436,0.6552782,0.7350417,0.8427848,0.9296964,0.98668283,1.1071447,1.0850376,1.1405722,1.2016698,1.2841483,1.3317919,1.3653578,1.3895383,1.4298583,1.4331217,1.3744637,1.3103453,1.1936727,1.0356226,0.87669355,0.7079873,0.57969433,2.3139614e-06,6.9905565e-07,86.133675,244.04541,509.62424,1012.07074,0.0015073074,663.36835,5.112439,3850730.0,7.1102815,60.643116,-2.0248824e-06,0.5414871,1.7496712e-06,18.78158,8.35651,-0.55326754,-5.069202,5.4983125,1.6988922,-0.83804184,-8.932086,-5.196852,3.188266,-2.6673052,12.324662,-0.24692018,-3.5072448,108_208_49_1_20250114_163641_doughnut_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.037322197,0.97186214,0.00012417296,0.07800453,0.12808456,0.27142414,0.41418275,0.55150527,0.6543457,0.7427971,0.8340087,0.9131808,0.9657564,1.0623001,1.0962462,1.139904,1.2035683,1.2574056,1.3195133,1.3465619,1.369925,1.4103699,1.4335371,1.3891407,1.3302364,1.2015504,1.0472597,0.88644415,0.7174642,0.58170295,1.772576e-06,5.5374187e-07,50.244644,244.04541,473.7352,1004.8929,0.0014180738,661.43536,5.049703,4248404.5,6.9159203,56.813404,-1.7017143e-06,0.53357273,1.2990454e-06,18.88559,8.791885,-1.4856926,-2.012825,5.4167457,1.8869988,0.8324836,-9.279348,-5.3535275,-2.9636514,-2.1415622,7.272508,-2.3162975,-0.5014512,108_208_49_1_20250114_163641_doughnut_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.036250684,0.9838355,0.000114657254,0.08231293,0.12881891,0.2778183,0.41517678,0.56616855,0.676097,0.7425568,0.8395474,0.92109436,0.98235875,1.0869676,1.1027218,1.142507,1.2092069,1.2680681,1.331422,1.3810292,1.4059066,1.4317456,1.4476403,1.4247965,1.3422974,1.2216579,1.047521,0.87023705,0.725585,0.5907791,1.413017e-06,5.1702085e-07,64.60026,244.04541,480.913,1112.5599,0.001243235,701.2033,5.0607376,4662954.5,6.643387,52.78488,-1.4853371e-06,0.55835456,1.2015224e-06,18.354935,6.9808025,-0.47606155,1.2507325,5.9012775,1.7667056,-2.4738066,-9.766591,-9.952522,-2.5367982,-2.2764375,2.320894,0.48585978,-0.26554644,108_208_49_1_20250114_163641_doughnut_board.wav
