end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.082051665,0.98834115,0.00022877277,0.19750567,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.3510667e-06,8.378273e-06,1449.9169,1815.985,3072.1008,4033.927,0.00438152,2444.5466,6.3368683,5493880.5,4.847188,41.596306,-9.935899e-06,1.7138516,1.7308432e-05,6.629978,3.280592,3.8857613,-6.4856124,11.677424,-3.7226982,-1.6421481,-2.7464478,0.9385266,10.091296,-2.0539742,-5.298606,-4.807676,1.4556986,108_208_52_1_20250114_163842_blanket_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.09441099,0.98834115,0.00026159539,0.19750567,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.5967794e-06,9.322718e-06,1478.628,2311.2537,4536.3735,6015.0015,0.00818504,3217.0579,6.9371257,8169025.5,3.00416,23.219233,-1.1023253e-05,2.2175515,1.9554938e-05,0.8335409,8.20765,4.5792546,-6.0568223,12.461739,-0.7627147,-0.106038414,-5.1710563,2.4146261,6.1014524,-4.318353,-4.088339,-0.19658661,3.3476036,108_208_52_1_20250114_163842_blanket_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.09799986,0.98834115,0.00027355255,0.16825396,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.2920865e-06,9.250579e-06,1528.8727,2339.9648,5275.6875,7536.697,0.009402935,3546.3225,7.163216,9575387.0,1.5254456,6.725536,-1.1200683e-05,2.4285262,1.9936297e-05,-3.9005108,14.1965475,6.279529,-6.4445205,7.295939,-0.75076413,-3.8390024,-10.302989,-0.7981641,-2.1750345,-9.775321,-4.5158324,1.0288168,2.681528,108_208_52_1_20250114_163842_blanket_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.06234022,0.98834115,0.00016248731,0.124943316,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.2008862e-06,2.1205221e-06,114.8449,732.1362,2899.8337,5591.511,0.0057456414,1980.4521,6.2954254,8502317.0,2.5720046,13.082298,-3.1560796e-06,1.3856874,3.9720994e-06,3.2191489,12.55606,5.884203,-1.8086424,3.7710025,0.9352189,-5.0962396,-5.8971767,0.32042646,-1.3436003,-5.26896,-5.388365,-0.61082524,-2.2464583,108_208_52_1_20250114_163842_blanket_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.046367455,0.986214,0.00013243505,0.08707482,0.13661401,0.2772264,0.42726502,0.5489078,0.66855544,0.7615436,0.8453562,0.94418365,0.99436706,1.0317305,1.105126,1.1562458,1.2167741,1.2459059,1.3264488,1.377505,1.4072762,1.4145164,1.4728092,1.413526,1.3382392,1.2347927,1.0723999,0.89984447,0.74219435,0.5822068,2.2044353e-06,7.6154987e-07,86.133675,236.8676,1327.8942,3459.7024,0.0023892533,1202.1248,5.530316,6403512.5,4.1062603,25.449106,-1.8980041e-06,0.8748329,1.6632135e-06,8.163173,13.114865,6.4279747,-2.4435694,0.11423723,-1.0332509,-9.077424,-10.109139,-4.3746896,-2.693326,-2.9862196,-0.9169812,-0.34543815,-2.3415534,108_208_52_1_20250114_163842_blanket_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.038677145,0.98488396,0.0001160997,0.09229025,0.13424048,0.27920246,0.44422498,0.5565296,0.6470509,0.7662239,0.85864234,0.9702532,0.99099404,1.0130147,1.1000818,1.1506361,1.2172707,1.2376174,1.3168825,1.3691206,1.3903275,1.4002103,1.4961601,1.4019362,1.32513,1.2366694,1.0671772,0.90863925,0.7494803,0.5792662,1.8761943e-06,4.2354134e-07,28.711226,236.8676,466.55737,1772.918,0.001651781,856.8511,5.029966,5509696.5,5.488397,38.200478,-1.5160471e-06,0.65590286,1.2838155e-06,13.363045,10.603492,2.4759588,-4.9773197,4.635493,-0.90920895,-8.712342,-10.219364,-5.738262,-5.168386,-0.5779446,3.6478016,1.1733505,1.1866671,108_208_52_1_20250114_163842_blanket_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.035088945,0.98233104,0.00011354149,0.090022676,0.13516657,0.2837595,0.44381145,0.53994024,0.6381312,0.77172804,0.8525827,0.9491479,0.9768345,1.0071474,1.1134825,1.1401021,1.2194608,1.253391,1.3283736,1.3833281,1.4108661,1.4001675,1.4840657,1.3946657,1.3114964,1.2109936,1.044423,0.90851736,0.7568834,0.5821402,1.8859306e-06,3.3566252e-07,28.711226,244.04541,366.0681,990.5373,0.0013044309,723.1531,4.842623,5243912.5,6.1975904,45.221638,-1.4597904e-06,0.56873995,1.1919519e-06,16.428507,10.180736,2.0876253,-4.9577556,6.632241,2.1174395,-8.3573675,-14.6724825,-8.892478,-7.846394,0.70588833,3.8521287,0.80846286,1.583892,108_208_52_1_20250114_163842_blanket_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.033267014,0.9772694,0.00010664676,0.08798186,0.13058631,0.28429,0.434409,0.5398318,0.6517927,0.7763517,0.85959154,0.9159805,0.9527429,0.99045277,1.0803353,1.1231385,1.2080244,1.2607065,1.3156776,1.3916236,1.4205309,1.4030643,1.4580526,1.4047456,1.3102729,1.2081342,1.0366558,0.9062893,0.75164014,0.59408337,1.5820589e-06,3.0452125e-07,21.533419,229.6898,366.0681,969.00385,0.0012404848,696.8616,4.788873,5333893.5,6.4237885,47.403915,-1.3283039e-06,0.5508037,1.0892128e-06,18.399303,9.230241,-0.2658294,-6.195255,6.4361167,3.413253,-5.2143145,-11.012483,-7.8376217,-7.42936,-0.24230413,2.3237276,-0.5008466,-0.96926,108_208_52_1_20250114_163842_blanket_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.0315477,0.97268254,0.000104571576,0.073015876,0.13151184,0.27880052,0.42347583,0.5403375,0.66580707,0.7646312,0.84733963,0.91733074,0.9537899,0.99530554,1.0766927,1.1337713,1.2054442,1.2579092,1.3045913,1.3725195,1.4024271,1.3996235,1.4307004,1.4009914,1.3137405,1.2043589,1.0445858,0.8956633,0.7366979,0.59169865,1.205854e-06,2.532755e-07,21.533419,208.15637,373.24594,961.826,0.001114825,692.3681,4.822272,5569361.0,6.309225,45.593323,-1.1952737e-06,0.5425276,8.4776116e-07,18.786022,10.809005,0.0038279693,-4.250192,5.4170685,5.0534363,-1.7014685,-10.347543,-6.755709,-4.06992,-0.38871112,3.1066563,1.2034446,-2.310856,108_208_52_1_20250114_163842_blanket_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.030975943,0.97286654,0.00010583143,0.075283445,0.12990941,0.27337673,0.4281517,0.56301475,0.6665891,0.74944586,0.8369629,0.91258687,0.9733517,1.0157441,1.0886058,1.1315333,1.1999927,1.232565,1.3029166,1.373552,1.3874134,1.4038543,1.4506521,1.4009401,1.3122644,1.205719,1.0517429,0.88878083,0.7289905,0.5858744,1.6556942e-06,2.204598e-07,21.533419,244.04541,380.4237,933.1148,0.0011766058,678.3383,4.6683083,5240699.5,6.4738884,47.976562,-1.2349587e-06,0.54215026,9.119835e-07,18.964357,12.198873,-1.5901057,-5.8030143,4.595724,5.074081,-1.5714365,-12.922984,-9.156831,-2.4691608,-0.9107523,3.526026,4.1599813,1.261389,108_208_52_1_20250114_163842_blanket_board.wav
