end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.12230732,0.98834115,0.0004380441,0.14444445,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.3444071e-05,2.152197e-05,373.24594,2167.6975,2763.4553,3718.1035,0.00403689,2012.3314,6.6687813,4951437.5,3.5281618,30.577868,-2.1551097e-05,1.4838091,3.1602478e-05,8.701534,4.7166686,-5.85113,0.7996704,4.746721,6.1868834,6.0043755,-10.207654,6.483293,5.5614877,5.9932876,-0.27884912,-3.2460973,-3.8500144,108_208_53_1_20250114_163852_pillow_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.12158472,0.98834115,0.00043655353,0.13922901,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.121104e-05,1.8954464e-05,315.82346,1973.8966,2871.1223,4981.3975,0.0075544617,2167.1858,6.449632,6414548.0,2.627364,18.80214,-2.2241404e-05,1.5538349,3.246139e-05,5.054051,9.239707,0.7945973,3.258393,7.1059766,7.8105164,6.0530453,-12.26564,7.9328613,4.122324,5.3396087,-4.0468163,-5.059956,-5.908174,108_208_53_1_20250114_163852_pillow_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.11150175,0.98834115,0.000407859,0.12902494,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.04081e-05,1.4505895e-05,265.57883,1794.4515,2612.7214,5311.576,0.009273752,2130.5183,6.0972347,7053912.0,2.3118677,12.120198,-2.054477e-05,1.5075959,3.0533407e-05,3.8765361,14.880052,5.1993775,3.6417916,8.163411,6.03062,1.0890507,-16.095186,6.674961,0.63381463,2.1827385,-5.386873,-6.6506095,-7.420847,108_208_53_1_20250114_163852_pillow_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.07264137,0.98834115,0.00024340289,0.08095238,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.654777e-06,3.7886946e-06,157.91174,193.80077,724.95844,3136.7014,0.0062592793,1005.47284,5.209648,4350484.5,4.124947,27.52242,-8.634504e-06,0.7539795,1.0505787e-05,9.414746,13.132287,6.9389267,4.259415,7.081806,6.828489,0.42845187,-12.475968,-1.1901196,-4.164659,-0.9546876,-6.5484085,-5.038909,-6.6664996,108_208_53_1_20250114_163852_pillow_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.054231215,0.99099684,0.00017225556,0.0814059,0.13119496,0.27030042,0.41429123,0.55274105,0.6479084,0.7348562,0.84908944,0.8944195,0.99421173,1.0305263,1.1155409,1.1617885,1.2223867,1.292501,1.3048205,1.3690525,1.4243374,1.4480143,1.4900123,1.4686037,1.3825608,1.2622461,1.0864791,0.89011127,0.7387039,0.5892158,4.180773e-06,1.3078579e-06,129.20052,222.51201,416.31274,2045.6748,0.0035114447,843.3836,5.118265,4338990.5,4.91988,33.977783,-4.3284203e-06,0.65500236,5.0134786e-06,11.896174,12.615799,3.3684227,2.3534832,5.711451,6.052643,-1.5559483,-14.284058,-5.015473,-10.181815,-7.6988845,-6.245632,-3.4095652,-0.44915453,108_208_53_1_20250114_163852_pillow_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.04381169,0.9914476,0.00013051929,0.08594105,0.13152921,0.27634254,0.42026874,0.56733984,0.6582859,0.7411129,0.84995264,0.8747459,1.0035744,1.0387359,1.1328312,1.1455722,1.2353812,1.3098539,1.272867,1.3277357,1.4020766,1.4483099,1.4948201,1.4895912,1.4115076,1.272458,1.0790833,0.8734002,0.7376792,0.58258015,2.5346642e-06,7.048268e-07,129.20052,229.6898,380.42374,1442.7389,0.0023258952,755.6868,4.9400306,4384427.5,5.8286757,44.010464,-2.5819309e-06,0.5969341,2.298298e-06,13.997891,11.205205,1.5658555,1.4039234,4.8254037,7.7846894,-1.1106439,-12.593862,-8.795147,-14.448158,-9.518384,-8.356926,-5.68786,-0.39080158,108_208_53_1_20250114_163852_pillow_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.039408468,0.98674875,0.00011996032,0.09705216,0.13387908,0.28274035,0.4109176,0.56863356,0.6683872,0.74765414,0.8346049,0.8681043,0.9957965,1.0303382,1.1388568,1.1458226,1.2375633,1.3098509,1.270141,1.3297677,1.3978564,1.4311892,1.4715077,1.4848417,1.4189833,1.2559613,1.0626007,0.8579487,0.7302692,0.5712488,2.1465848e-06,5.5742953e-07,86.133675,222.51198,409.13498,1478.628,0.0019371625,770.15607,4.899158,4903804.5,5.8735986,43.099567,-1.8810047e-06,0.6048333,1.682091e-06,14.839627,11.009014,-1.4568454,-0.14156388,9.87466,4.798917,-3.6788962,-12.498174,-7.633468,-11.414383,-9.941065,-5.371618,-2.568418,1.1535841,108_208_53_1_20250114_163852_pillow_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.035776094,0.97785205,0.00011717874,0.08367347,0.13313359,0.27907494,0.41256967,0.5685565,0.66742975,0.7605755,0.83180517,0.88762134,0.984865,1.0187258,1.1230165,1.1388507,1.234532,1.2847582,1.2723137,1.3158249,1.3959599,1.426751,1.4467039,1.443971,1.3757235,1.2243329,1.0458769,0.86113286,0.7207857,0.5692613,1.663468e-06,4.80964e-07,71.77806,179.44514,344.5347,1047.9596,0.0015629032,664.2847,4.660787,4622077.5,6.42003,48.96982,-1.7135208e-06,0.5279093,1.4051875e-06,17.57862,10.429547,-3.2879474,-0.4018062,11.447006,4.647278,-4.087341,-8.324824,-1.6912504,-9.607213,-6.389019,-3.6034186,-1.5912312,-2.9776528,108_208_53_1_20250114_163852_pillow_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03654321,0.9820668,0.00011718555,0.08412699,0.13085215,0.27335945,0.41832814,0.57480264,0.6568323,0.7605017,0.84011465,0.912468,0.98360735,1.0020804,1.0918221,1.1409367,1.2058812,1.2794335,1.3231101,1.3686575,1.4382511,1.4595938,1.466567,1.434886,1.3522013,1.2121466,1.0424094,0.86679363,0.7194627,0.5786392,1.8438877e-06,4.3242645e-07,64.60026,208.15637,423.49057,1033.6041,0.0016218399,697.5044,4.8290257,4850242.5,6.41268,48.37369,-1.6273738e-06,0.5543991,1.4705552e-06,18.237404,9.114375,-1.7891191,-2.7987325,6.0766234,5.274711,-2.8735116,-8.882556,4.7004867,-5.763743,-7.4495378,-1.368375,5.6975822,2.7131243,108_208_53_1_20250114_163852_pillow_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03724501,0.9827745,0.00012119498,0.07437642,0.12902288,0.26608026,0.42829,0.58100086,0.6533948,0.741051,0.8437386,0.9070627,0.9806819,1.0215205,1.1027417,1.1267608,1.1976954,1.2835795,1.3169042,1.3500334,1.4148269,1.4474407,1.4617151,1.4394704,1.3727442,1.2408947,1.0530758,0.8770225,0.7265289,0.5888605,2.830798e-06,3.9134673e-07,78.95587,251.22322,409.13498,911.58136,0.0015104907,648.92316,4.7803197,4248485.5,6.99172,57.856724,-1.8916821e-06,0.5291086,1.7356073e-06,19.194632,9.623714,-1.2991616,-4.6184354,1.0903236,5.3972554,-2.7752535,-10.060994,4.213177,-6.7515283,-6.8100705,0.032046795,6.677447,4.4906445,108_208_53_1_20250114_163852_pillow_board.wav
