time,envelope_change,sway_speed,sway_lean
0.0,-0.0001414236660244,0.0,0.0
0.002,1.868310706708141e-05,0.0,0.0
0.004,0.0001730197261899,0.0,0.0
0.006,0.0003191272943475,0.0,0.0
0.008,0.0004550495345751,0.0,0.0
0.01,0.0005793427656845,0.0,0.0
0.012,0.0006910483207942,0.0,0.0
0.014,0.0007896609963407,0.0,0.0
0.016,0.000875093299415,0.0,0.0
0.018,0.0009476350156073,0.0,0.0
0.02,0.0010079074654793,0.0,0.0
0.022,0.0010568120404692,0.0,0.0
0.024,0.0010954732362907,0.0,0.0
0.026,0.0011251770091711,0.0,0.0
0.028,0.0011473055573227,0.0,0.0
0.03,0.0011632697848001,0.0,0.0
0.032,0.001174441011634,0.0,0.0
0.034,0.0011820837280436,0.0,0.0
0.036,0.0011872909431653,0.0,0.0
0.038,0.0011909288604197,0.0,0.0
0.04,0.001193608916065,0.0,0.0
0.042,0.0011956991750039,0.0,0.0
0.044,0.0011973620316967,0.0,0.0
0.046,0.0011985971711609,0.0,0.0
0.048,0.0011992809473976,0.0,0.0
0.05,0.0011992012173458,0.0,0.0
0.052,0.0011980876446872,0.0,0.0
0.054,0.0011956377724566,0.0,0.0
0.056,0.0011915393347,0.0,0.0
0.058,0.0011854892019448,0.0,0.0
0.06,0.0011772091883934,0.0,0.0
0.062,0.0011664588113673,0.0,0.0
0.064,0.0011530449880433,0.0,0.0
0.066,0.0011368286791846,0.0,0.0
0.068,0.0011177286786547,0.0,0.0
0.07,0.0010957229403949,0.0,0.0
0.072,0.0010708478559497,0.0,0.0
0.074,0.0010431957673963,0.0,0.0
0.076,0.0010129108992745,0.0,0.0
0.078,0.0009801839166961,0.0,0.0
0.08,0.0009452454025343,0.0,0.0
0.082,0.0009083585731798,0.0,0.0
0.084,0.0008698115159051,0.0,0.0
0.086,0.0008299092266613,0.0,0.0
0.088,0.0007889657505458,0.0,0.0
0.09,0.0007472967058653,0.0,0.0
0.092,0.0007052124000353,0.0,0.0
0.094,0.0006630116888781,0.0,0.0
0.096,0.000620976736725,0.0,0.0
0.098,0.0005793688219582,0.0,0.0
0.1,0.0005384252510372,0.0,0.0
0.102,0.0004983573936417,0.0,0.0
0.104,0.0004593498490368,0.0,0.0
0.106,0.000421560707203,0.0,0.0
0.108,0.0003851227897192,0.0,0.0
0.11,0.0003501456805895,0.0,0.0
0.112,0.0003167182340406,0.0,0.0
0.114,0.0002849111228859,0.0,0.0
0.116,0.000254779054954,0.0,0.0
0.118,0.0002263625428482,0.0,0.0
0.12,0.0001996893126498,0.0,0.0
0.122,0.0001747754418685,0.0,0.0
0.124,0.0001516262495159,0.0,0.0
0.126,0.0001302369472917,0.0,0.0
0.128,0.0001105930907124,0.0,0.0
0.13,9.267089341051616e-05,0.0,0.0
0.132,7.643746809700224e-05,0.0,0.0
0.134,6.185103476428439e-05,0.0,0.0
0.136,4.8861121743208185e-05,0.0,0.0
0.138,3.7408839300299465e-05,0.0,0.0
0.14,2.742739269417228e-05,0.0,0.0
0.142,1.8842983378508174e-05,0.0,0.0
0.144,1.157611113231281e-05,0.0,0.0
0.146,5.5431623844269856e-06,0.0,0.0
0.148,6.580907639136291e-07,0.0,0.0
0.15,-3.166046576964924e-06,0.0,0.0
0.152,-6.01586438002408e-06,0.0,0.0
0.154,-7.97673311443885e-06,0.0,0.0
0.156,-9.132055010955996e-06,0.0,0.0
0.158,-9.562622379206351e-06,0.0,0.0
0.16,-9.345989382488086e-06,0.0,0.0
0.162,-8.55581403618802e-06,0.0,0.0
0.164,-7.261169649451497e-06,0.0,0.0
0.166,-5.525887043747517e-06,0.0,0.0
0.168,-3.40802631918338e-06,0.0,0.0
0.17,-9.596059596467493e-07,0.0,0.0
0.172,1.7732575550499626e-06,0.0,0.0
0.174,4.7497067879151824e-06,0.0,0.0
0.176,7.933055730084639e-06,0.0,0.0
0.178,1.1289457249477192e-05,0.0,0.0
0.18,1.4786581927095e-05,0.0,0.0
0.182,1.8392526826717247e-05,0.0,0.0
0.184,2.2075103836446787e-05,0.0,0.0
0.186,2.58015925186736e-05,0.0,0.0
0.188,2.95388974017636e-05,0.0,0.0
0.19,3.325386461017935e-05,0.0,0.0
0.192,3.6913517088298704e-05,0.0,0.0
0.194,4.0485187171844514e-05,0.0,0.0
0.196,4.393669883292901e-05,0.0,0.0
