time,surrogate_000,surrogate_001,surrogate_002,surrogate_003,surrogate_004,surrogate_005,surrogate_006,surrogate_007,surrogate_008,surrogate_009,surrogate_010,surrogate_011,surrogate_012,surrogate_013,surrogate_014,surrogate_015,surrogate_016,surrogate_017,surrogate_018,surrogate_019,surrogate_020,surrogate_021,surrogate_022,surrogate_023,surrogate_024,surrogate_025,surrogate_026,surrogate_027,surrogate_028,surrogate_029,surrogate_030,surrogate_031,surrogate_032,surrogate_033,surrogate_034,surrogate_035,surrogate_036,surrogate_037,surrogate_038,surrogate_039,surrogate_040,surrogate_041,surrogate_042,surrogate_043,surrogate_044,surrogate_045,surrogate_046,surrogate_047,surrogate_048,surrogate_049
1,3.40152,1.502,0.375598,1.85584,4.47246,3.22164,2.35858,4.16812,1.38047,0.157161,3.60704,2.76579,2.11796,0.0326667,0.126444,1.13341,1.24,2.69379,0.706404,1.95229,0.202785,0.900723,3.31957,0.336885,3.37056,1.6039,4.30478,3.27585,1.48034,3.28371,2.01093,0.0387873,3.96561,0.414945,1.91977,3.16935,1.53206,2.11796,3.08978,0.156633,2.26104,0.124255,0.368711,0.440023,2.43647,4.16812,2.14336,0.09,0.266757,1.93929
1.002,3.39289,1.486,0.35912,1.82539,4.45591,3.23865,2.29949,4.13481,1.37957,0.144651,3.71,2.72638,2.16593,0.0337263,0.136374,1.16979,1.11276,2.7755,0.732202,1.96623,0.188667,0.867119,3.30178,0.35702,3.36311,1.59567,4.29445,3.26724,1.4244,3.24996,1.99344,0.0396667,3.91935,0.409468,1.91,3.15774,1.51771,2.08133,3.11006,0.156828,2.26067,0.124889,0.35273,0.439587,2.32121,4.29508,2.056,0.08875,0.238761,1.94076
1.004,3.38667,1.48225,0.344648,1.76373,4.45553,3.29335,2.27981,4.11772,1.37033,0.0985385,3.77145,2.7169,2.19726,0.0387873,0.170286,1.24177,1.04049,2.81817,0.761575,1.94889,0.184452,0.836742,3.30525,0.386529,3.35427,1.56901,4.28303,3.27966,1.3711,3.21189,2.00853,0.0301552,3.87603,0.405505,1.87133,3.146,1.53588,2.04224,3.15472,0.146207,2.25378,0.112804,0.340137,0.447167,2.25139,4.31344,1.9835,0.09125,0.241132,1.95117
1.006,3.386,1.47229,0.318622,1.70697,4.47258,3.3629,2.27979,4.11276,1.31949,0.0639558,3.85925,2.64353,2.21837,0.0488282,0.185741,1.32526,0.985393,2.90862,0.802316,1.94124,0.168686,0.822759,3.32222,0.405505,3.328,1.59627,4.25915,3.28903,1.32071,3.19016,2.02774,0.0326735,3.78382,0.403077,1.88627,3.1361,1.526,1.98627,3.16969,0.141484,2.25146,0.1306,0.357281,0.451957,2.20922,4.30802,1.91727,0.0966667,0.239355,1.94266
1.008,3.40974,1.48829,0.303333,1.62633,4.5035,3.41519,2.3262,4.12456,1.24533,0.06125,3.91553,2.61497,2.20452,0.0483733,0.203103,1.37011,0.926667,2.96889,0.897303,1.88627,0.163451,0.830035,3.33833,0.41541,3.29179,1.61368,4.20887,3.30084,1.31491,3.17483,2.04933,0.0362808,3.61182,0.400396,1.878,3.13628,1.50822,1.93728,3.21174,0.138177,2.22903,0.136586,0.366492,0.478043,2.17148,4.28261,1.86333,0.120563,0.252585,1.98204
1.01,3.40533,1.52809,0.298472,1.5636,4.51839,3.4369,2.37966,4.11949,1.14969,0.05375,3.96561,2.62024,2.20295,0.055,0.203089,1.48388,0.896191,2.98944,0.991333,1.87,0.152857,0.883214,3.37836,0.431148,3.25017,1.60231,4.15023,3.30145,1.30081,3.16219,2.07518,0.0475,3.55694,0.372684,1.85933,3.1331,1.494,1.88194,3.26119,0.133846,2.2221,0.136283,0.366336,0.504089,2.14839,4.28491,1.83067,0.132527,0.238059,1.98905
1.012,3.38895,1.59474,0.280167,1.502,4.52618,3.45676,2.42453,4.15984,1.06683,0.0435762,4.01387,2.62682,2.22698,0.0429023,0.188721,1.57293,0.835783,3.04346,1.043,1.83679,0.144137,0.969109,3.4514,0.436393,3.20787,1.63751,4.15585,3.30488,1.27869,3.16361,2.12173,0.0690244,3.49523,0.335209,1.87067,3.15756,1.43798,1.8667,3.32613,0.128835,2.22941,0.133846,0.382657,0.518499,2.15828,4.21052,1.80667,0.164259,0.267273,2.01093
1.014,3.396,1.64867,0.28,1.422,4.53764,3.4837,2.49688,4.19592,0.968876,0.0492104,4.05695,2.68169,2.22237,0.0483335,0.187721,1.71755,0.817475,3.07667,1.0948,1.838,0.133187,1.06156,3.49497,0.446637,3.18425,1.66796,4.15558,3.30943,1.27102,3.16072,2.17175,0.0748352,3.43682,0.244346,1.86333,3.13418,1.39116,1.85673,3.39798,0.127127,2.22669,0.143814,0.393524,0.532048,2.1559,4.18092,1.77761,0.187749,0.271525,2.03946
1.016,3.40444,1.71686,0.277862,1.34145,4.53521,3.51511,2.54517,4.29851,0.853898,0.0506552,4.11208,2.76154,2.23394,0.0367569,0.196897,1.82125,0.809213,3.07017,1.10637,1.83,0.104444,1.19155,3.53349,0.469996,3.19105,1.71349,4.12203,3.31711,1.25862,3.12667,2.19689,0.0787805,3.39072,0.214348,1.84733,3.1423,1.34901,1.866,3.4799,0.126174,2.24311,0.145419,0.402683,0.529827,2.18138,4.33659,1.762,0.212882,0.281186,2.05484
1.018,3.42687,1.77493,0.276816,1.27869,4.55595,3.52553,2.64289,4.36368,0.770678,0.0559754,4.18829,2.81319,2.25378,0.0254401,0.188908,1.86253,0.795424,3.03332,1.09617,1.82847,0.0964668,1.30833,3.59343,0.499478,3.18065,1.75328,4.07532,3.33072,1.23149,3.06161,2.22007,0.0967107,3.32974,0.190061,1.83667,3.16118,1.31491,1.862,3.59054,0.124167,2.22556,0.145191,0.38488,0.530769,2.20091,4.3536,1.76147,0.276441,0.317461,2.0812
